,Unnamed: 0,Unnamed: 0.1,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,0,0,??5분 메이크업 - 봄 새내기를 위한 데일리 핑크 ?? 꾸안꾸 메이크업  ??,https://i.ytimg.com/vi/lV8Cui-zb50/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLACafjOVrv7ZU9E51dsq6N8alOX4g,11만회,2개월 전,http://www.youtube.com/watch?v=lV8Cui-zb50,2020. 3. 7.,댓글 296개,3.5천개,23개,"
      6:27
    "
1,1,1,(ENG) 현아 FLOWER SHOWER 커버 메이크업 룩 ???????? // HYUNA FLOWER SHOWER Cover makeup tutorial,https://i.ytimg.com/vi/Mtp2CMwFpug/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA6KNmoFif3wE7Zwqde2ivfwoOdCA,11만회,3개월 전,http://www.youtube.com/watch?v=Mtp2CMwFpug,2020. 2. 27.,댓글 356개,3.5천개,23개,"
      8:36
    "
2,2,2,(ENG) 쥐의해를 잡아먹을 고양이상 메이크업 룩... (써니가 돌아왔습니다...) // Cat-like makeup look ????,https://i.ytimg.com/vi/u4aDF3E8ODc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCyo5W7LysfWiBMx0v1Kdk0Oho8jw,11만회,3개월 전,http://www.youtube.com/watch?v=u4aDF3E8ODc,2020. 2. 21.,댓글 381개,3.4천개,53개,"
      24:26
    "
3,3,3,써니의 솔직 리뷰??: 글로시에(glossier) 제품 30만원어치 산 첫인상 + 메이크업 (말 많음주의),https://i.ytimg.com/vi/aGPqTTevtiA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD5VV_gXW3Ul7sdYsQ-3HFrVnq3oA,11만회,6개월 전,http://www.youtube.com/watch?v=aGPqTTevtiA,2019. 11. 9.,댓글 212개,1.6천개,56개,"
      36:07
    "
4,4,4,"(ENG) 이번 가을 레전드 인생립 컬러 10종 추천! 누드, MLBB, 버건디까지 (가을웜톤 착붙핑크????) // MY TOP 10 BEST FALL LIPSTICKS 2019",https://i.ytimg.com/vi/Qo48OLtRs_E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDZ3IzZFtCaoQ3MjYcLRXWfh9QdFw,17만회,7개월 전,http://www.youtube.com/watch?v=Qo48OLtRs_E,2019. 10. 15.,댓글 297개,3.8천개,37개,"
      14:07
    "
5,5,5,(ENG) 여름 to 가을 깔끔 베리 메이크업 룩 ?? 데일리 메이크업 (feat. 중단발) // DAILY FALL BERRY MAKEUP LOOK??,https://i.ytimg.com/vi/36RI_qrpdFg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBGED_-Ek-1v9ICoezwLT5PSzzvew,28만회,8개월 전,http://www.youtube.com/watch?v=36RI_qrpdFg,2019. 9. 22.,댓글 454개,7.6천개,65개,"
      23:48
    "
6,6,6,"5분 메이크업 - 요즘하는 초간단 초가을 데일리 메이크업 (feat. 영어...최소한 섀도우, 새인생 파운데이션) // 5MIN MAKEUP - EARLY FALL LOOK ????",https://i.ytimg.com/vi/ps_37YUQDmM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAcY2TcuSntfkXlWiEmhtwTcfsvAQ,30만회,9개월 전,http://www.youtube.com/watch?v=ps_37YUQDmM,2019. 8. 30.,댓글 392개,1만개,66개,"
      6:11
    "
7,7,7,??LA 햇살 아래 코랄로즈 메이크업 ??(with MAC) // Coral Rose Makeup Look in LA,https://i.ytimg.com/vi/UAAuvIHCiXM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDwAJ4FIJaBObL3L-LszZbUE5ceWQ,20만회,9개월 전,http://www.youtube.com/watch?v=UAAuvIHCiXM,2019. 8. 8.,댓글 379개,5.2천개,56개,"
      26:29
    "
8,8,8,(ENG) 걸그룹 커버 메이크업 & 코스프레하고 케이팝 행사 다녀왔어요! // Dressed up as an idol at a KPOP convention!,https://i.ytimg.com/vi/RN1uIDB5Muo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBLstsIjKS5hy-wQsUd_BMSbl9cAw,15만회,10개월 전,http://www.youtube.com/watch?v=RN1uIDB5Muo,2019. 7. 16.,댓글 232개,3.1천개,54개,"
      18:20
    "
9,9,9,(ENG) 손으로만 하는 빈티지 오렌지 여름 메이크업 // Summer Vintage Orange Makeup Look,https://i.ytimg.com/vi/4-i5q3pLNC8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBYtM0KeAywlSPTAsMhf6Tr08qdyg,12만회,10개월 전,http://www.youtube.com/watch?v=4-i5q3pLNC8,2019. 7. 5.,댓글 153개,3.8천개,21개,"
      7:55
    "
