,Unnamed: 0,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,0,"GRWM 필라테스 가는 날, 같이 준비해요",https://i.ytimg.com/vi/bTO4ClcoVPU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAsYdoTkrambI4avCnGRwi2IXQwlg,7.4만회,2주 전,http://www.youtube.com/watch?v=bTO4ClcoVPU,2020. 5. 20.,댓글 91개,1.7천개,35개,"
      8:35
    "
1,1,VLOG 집콕하는 어느 날 밤 일상,https://i.ytimg.com/vi/uOFLZUxASws/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAYSwodRd8gnPVgBuZcbMRlETVz_w,5.2만회,2주 전,http://www.youtube.com/watch?v=uOFLZUxASws,2020. 5. 17.,댓글 131개,1.9천개,23개,"
      3:10
    "
2,2,FASHION HAUL 요즘 좋아하는 편한 옷들,https://i.ytimg.com/vi/vJdvgnSe3Dc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC6KWvHgnuIOFIscRaKF3E1jbgbqA,7.2만회,1개월 전,http://www.youtube.com/watch?v=vJdvgnSe3Dc,2020. 4. 25.,댓글 134개,2.3천개,21개,"
      11:21
    "
3,3,GRWM 나갈 일 없지만 해 본 메이크업,https://i.ytimg.com/vi/FF88H-qHsyk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAGxHYmNK46FPVXnucrN57THDaX8g,12만회,1개월 전,http://www.youtube.com/watch?v=FF88H-qHsyk,2020. 4. 9.,댓글 206개,3.4천개,45개,"
      13:57
    "
4,4,집콕하는 어느 날 낮 동안의 일상??,https://i.ytimg.com/vi/8INAp-_mac8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAyfaAxpXAyexNjJQSEhxINO9xtHA,5.9만회,1개월 전,http://www.youtube.com/watch?v=8INAp-_mac8,2020. 4. 7.,댓글 133개,1.7천개,34개,"
      4:49
    "
5,5,SPRING MAKEUP 최소한의 제품들로 하는 데일리 코랄 메이크업??,https://i.ytimg.com/vi/189_I60298U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBVSXBpNPcAwOUnZq-kzixTUAU7pQ,10만회,2개월 전,http://www.youtube.com/watch?v=189_I60298U,2020. 3. 18.,댓글 184개,3.3천개,27개,"
      6:30
    "
6,6,VLOG 저 졸업했어요?????@서울대학교,https://i.ytimg.com/vi/huMKxtL0OfU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBxm2iS3Ghr3jk6wm073zUWuEDB1w,28만회,2개월 전,http://www.youtube.com/watch?v=huMKxtL0OfU,2020. 3. 14.,댓글 413개,4.1천개,77개,"
      11:25
    "
7,7,GRWM 자체 졸업식??날 같이 준비해요!,https://i.ytimg.com/vi/eWSkDwsodcI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAls5qj15MnEIXcqEW_fHuAZmofMw,9.8만회,3개월 전,http://www.youtube.com/watch?v=eWSkDwsodcI,2020. 2. 29.,댓글 196개,2.2천개,27개,"
      10:17
    "
8,8,VLOG 운전으로 시작해 운전으로 끝난 한 달??그리고 생일 파티??,https://i.ytimg.com/vi/2Kwi0sKdUII/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC8BpdmGiFn-OZDtFOm3QcGB19OGg,8.7만회,3개월 전,http://www.youtube.com/watch?v=2Kwi0sKdUII,2020. 2. 28.,댓글 199개,1.6천개,43개,"
      21:07
    "
9,9,HAUL 6아우터 6룩??데일리룩 스타일링&하울,https://i.ytimg.com/vi/zU8TdWQxFe4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBjUqybdBZXrtuHFsKl61pWIJafsQ,16만회,3개월 전,http://www.youtube.com/watch?v=zU8TdWQxFe4,2020. 2. 22.,댓글 224개,4.4천개,47개,"
      16:47
    "
10,10,서울대학교 의류학과 Q&A?? 공부법/학교 관련 질문 답변도!,https://i.ytimg.com/vi/eHLLFqiBRdY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAkkHGQXGBjLifG53AAAFsSFIKRRg,14만회,3개월 전,http://www.youtube.com/watch?v=eHLLFqiBRdY,2020. 2. 21.,댓글 208개,2.5천개,32개,"
      25:15
    "
11,11,브랜드 가방 하울??5가지 데일리 백 추천??BAG HAUL,https://i.ytimg.com/vi/-NsZRfmGnnw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDNAA6TSbS-pQ4bjjOvEszFiF6M8w,12만회,3개월 전,http://www.youtube.com/watch?v=-NsZRfmGnnw,2020. 2. 9.,댓글 156개,2천개,70개,"
      6:55
    "
12,12,GRWM 오랜만에 웜톤??살구 메이크업으로 같이 준비해요,https://i.ytimg.com/vi/AhpXCMO7Ofw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBS-jc1w-50VarH2u19ro4s7SlSig,18만회,4개월 전,http://www.youtube.com/watch?v=AhpXCMO7Ofw,2020. 2. 1.,댓글 228개,4.4천개,70개,"
      14:01
    "
13,13,겨울이 가기 전에??촉촉립 추천 My Favorite Glossy Lips,https://i.ytimg.com/vi/aP4vPlNPvZw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDQqyTVe8sah3fsZ50HrU1xySo5dA,18만회,4개월 전,http://www.youtube.com/watch?v=aP4vPlNPvZw,2020. 1. 31.,댓글 208개,5천개,64개,"
      8:06
    "
14,14,FILM,https://i.ytimg.com/vi/bfCdUQk7y7k/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBmTW3QCbV3PrrqlsrrL7oL3Rbbng,5.3만회,4개월 전,http://www.youtube.com/watch?v=bfCdUQk7y7k,2020. 1. 17.,댓글 105개,2.6천개,28개,"
      2:03
    "
15,15,VLOG 11월부터 연말까지 2019 마지막 브이로그??홈파티.운전면허.알차게 놀기,https://i.ytimg.com/vi/7GuOQwJQNSc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBwzfmwxeH66mjfh62qTAcPuTCtIg,9.1만회,5개월 전,http://www.youtube.com/watch?v=7GuOQwJQNSc,2019. 12. 31.,댓글 159개,1.7천개,25개,"
      32:34
    "
16,16,GRWM 연말 룩??같이 준비해요 HOLIDAY LOOK,https://i.ytimg.com/vi/Ytal-20b-7k/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLClXG-IFgz7sQ3ZJsP3bI5QNH8F4g,12만회,5개월 전,http://www.youtube.com/watch?v=Ytal-20b-7k,2019. 12. 18.,댓글 121개,2.3천개,42개,"
      15:00
    "
17,17,VLOG 한 겨울의 테라스 꾸미기??Terrace Interior,https://i.ytimg.com/vi/vBS5Op0E4a8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC1s5an4DuM9h5Iht5pXG_Moaowow,7.5만회,5개월 전,http://www.youtube.com/watch?v=vBS5Op0E4a8,2019. 12. 5.,댓글 103개,1.8천개,19개,"
      17:28
    "
18,18,(eng sub)클렌징+스킨케어 루틴&파데프리 메이크업(with파티온 노스캄 리페어 라인),https://i.ytimg.com/vi/uoxpUZUfees/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCkB9dLsfCdUoQVbpcFlcrKH36_UQ,7.6만회,6개월 전,http://www.youtube.com/watch?v=uoxpUZUfees,2019. 11. 24.,댓글 96개,1.8천개,31개,"
      6:16
    "
19,19,Winter Haul??겨울을 준비하는 패션 하울??,https://i.ytimg.com/vi/4QsAMvcwGz0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCu150dWB1sTdCtqRWI2GLGJSfddg,21만회,6개월 전,http://www.youtube.com/watch?v=4QsAMvcwGz0,2019. 11. 24.,댓글 224개,4.4천개,50개,"
      21:37
    "
