,Unnamed: 0,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,0,NCT 127이 뭐야??? 대단한 사람들이지?????? 슈스스의 NCT 127 ??사복 패션 심층탐구??,https://i.ytimg.com/vi/MzAnKVdqxDc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDftsz7TmblZDFSNQwv3t-mu-DpOA,14만회,12시간 전,http://www.youtube.com/watch?v=MzAnKVdqxDc,2020. 6. 2.,"댓글 1,911개",1.8만개,63개,"
      17:51
    "
1,1,[ENG CC] 쀼의 세계 지선우도 선택한 ??원피스 맛집?? 로렌 랄프 로렌 매장털기?,https://i.ytimg.com/vi/6OvgRe5nlC8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC8qKAr2tvSexgItt1YtJNirVTeGA,22만회,5일 전,http://www.youtube.com/watch?v=6OvgRe5nlC8,2020. 5. 28.,댓글 245개,4.3천개,91개,"
      9:10
    "
2,2,[ENG CC] 슈스스TV ??5월의 픽-크?? 소비요정 슈스스??의 쉴 틈 없는 쇼핑 하울,https://i.ytimg.com/vi/5GP5o1Rkdhs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD4c3AEcQecSacsGeCUDlUt93oxcQ,19만회,1주 전,http://www.youtube.com/watch?v=5GP5o1Rkdhs,2020. 5. 26.,댓글 291개,3.5천개,95개,"
      12:28
    "
3,3,[ENG CC] 이 영상만 보면 지갑사러 백화점 갈 필요 없음! 남자 베이비??들을 위한 남성 명품 지갑?총망라,https://i.ytimg.com/vi/4cxSjm1yuNE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCkSk0JJGwlvUD5MrOl5SpJfkgr2A,15만회,1주 전,http://www.youtube.com/watch?v=4cxSjm1yuNE,2020. 5. 21.,댓글 371개,2.5천개,58개,"
      14:28
    "
4,4,[ENG CC] 핸드폰??마저 패션??으로 해석하는 슈스스?? (feat. LG 벨벳),https://i.ytimg.com/vi/QzhGCDCHeNQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAjlDzrTeWNUMYHKKqh0q37r6gAwQ,6.3만회,2주 전,http://www.youtube.com/watch?v=QzhGCDCHeNQ,2020. 5. 14.,댓글 530개,1.2천개,58개,"
      9:42
    "
5,5,[ENG CC] ?? 핵인싸 새내기룩 영상 하나로 끝내버리기 ??새 학기 내 컨셉은????,https://i.ytimg.com/vi/lBMIZo3g7oc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDFyIsvC7aA804Ujpd--TA9KMnxVQ,9.8만회,3주 전,http://www.youtube.com/watch?v=lBMIZo3g7oc,2020. 5. 12.,댓글 221개,1.8천개,36개,"
      11:45
    "
6,6,[ENG CC] 스위스의 로맨틱한 장인 정신 ?발리 매장 털기?,https://i.ytimg.com/vi/WE2xYKZDhdE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDmdQTZK7ZsN_QwideYJ68YpEzPcg,16만회,4주 전,http://www.youtube.com/watch?v=WE2xYKZDhdE,2020. 5. 5.,댓글 359개,2.8천개,85개,"
      13:11
    "
7,7,[ENG CC] 슈스스TV 4월의 픽-크 ???옷 차림은 가볍게 양 손은 무겁게???,https://i.ytimg.com/vi/9P-vnmU_g2U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCn-Vr6T8iyCoUvjX4fJx4vFDO_3g,23만회,1개월 전,http://www.youtube.com/watch?v=9P-vnmU_g2U,2020. 4. 30.,댓글 327개,3.9천개,265개,"
      11:33
    "
8,8,"[ENG CC] 브라렛??, 그것이 알고싶다?? 인생브라 찾기 2???? (Feat. 엘라코닉)",https://i.ytimg.com/vi/fnENCjSuMS8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAYBFJy0msBHRoaiSzX5hqjmvcu4A,17만회,1개월 전,http://www.youtube.com/watch?v=fnENCjSuMS8,2020. 4. 26.,댓글 295개,3.3천개,58개,"
      14:23
    "
9,9,[ENG CC] 2020 ?신상? 명품백 대잔치 ?? 2??8??개 브랜드 & 5??0??개 제품 총망라??,https://i.ytimg.com/vi/qYSh1cehc9o/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBcCUrJyYefrWpEqfvcT2g270a2iA,64만회,1개월 전,http://www.youtube.com/watch?v=qYSh1cehc9o,2020. 4. 23.,댓글 651개,1.1만개,319개,"
      20:48
    "
