,Unnamed: 0,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,0,2000년대 댄스메들리 라떼는..추억 소환 ? 2000 KPOP HIT SONG / jella 젤라,https://i.ytimg.com/vi/_QRXZR5MLO4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLASKTcFyCL5iBGkcPI_6u_U1lTq6w,7.2만회,4일 전,http://www.youtube.com/watch?v=_QRXZR5MLO4,2020. 5. 29.,댓글 475개,4천개,79개,"
      6:25
    "
1,1,(ENG) 메이크업 아티스트에게 배우는 메이크업 베이스 완벽 정복! (메이크업 전 기초 스킨케어 부터 쿠션으로 광나는 베이스 하는 꿀팁!) ??젤라또 사연 고민 솔루션!,https://i.ytimg.com/vi/y0HzsePX4po/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCvbjQRJJwEsJxMnJ6D7oius558Fw,4.3만회,1주 전,http://www.youtube.com/watch?v=y0HzsePX4po,2020. 5. 21.,댓글 125개,1.1천개,18개,"
      25:55
    "
2,2,?? 아보카도 메이크업.. 이라고 하면 될까?     #korean girl ?  #avocado makeup?? /jella 젤라,https://i.ytimg.com/vi/se42vXHrMoM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAABIhowueVVMFAOwMfn1BNi6ksbw,14만회,2주 전,http://www.youtube.com/watch?v=se42vXHrMoM,2020. 5. 18.,댓글 569개,7.2천개,64개,"
      13:19
    "
3,3,(ENG) 청담동 선생님께 꿀템으로 #ITZY #예지님 .. 메이크업을.. 받아보면..  (*마스크에 안 묻어나!!!!) /jella 젤라,https://i.ytimg.com/vi/lI2AXO7fysM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBuxojFXzl7ge8W3neRGL7rSRimVA,9.2만회,2주 전,http://www.youtube.com/watch?v=lI2AXO7fysM,2020. 5. 17.,댓글 132개,2.2천개,34개,"
      19:07
    "
4,4,(ENG) #전남친 이랑 꾸꾸꾸 메이크업 하고 #두근두근 데이트 ?? 마스크프루프 메이크업 (!드디어! 찾은 인생 선세럼),https://i.ytimg.com/vi/l5S1hzw0l6Q/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAx5UkI7cgxIFl3kEQGLsdZzLWVGQ,11만회,1개월 전,http://www.youtube.com/watch?v=l5S1hzw0l6Q,2020. 4. 30.,댓글 193개,2천개,34개,"
      18:51
    "
5,5,"(ENG) 빈티지 #블랙체리?? 메이크업 Black Cherry MakeUp (24-25호 모여라!) 꿀파데브러쉬, 눈 뒷트임, 입술 볼륨 뽝! / jella 젤라",https://i.ytimg.com/vi/9jKz76yQbpg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLARD4QFPOtrHfAdr5lvVnmEKk9DVA,30만회,1개월 전,http://www.youtube.com/watch?v=9jKz76yQbpg,2020. 4. 26.,댓글 947개,1.3만개,135개,"
      14:34
    "
6,6,(ENG CC) 엄마와 딸 그리고 엄마.. 일 땡땡이치고 하루 종일 로아랑 놀기!! (ft. 로아랑 노는 게 제일 좋은 젤로로) *시카마켓 공지! 오픈!,https://i.ytimg.com/vi/9QirsT54NGo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-7VKbQvLfDA7NaAcN-cyTd7dNVQ,15만회,1개월 전,http://www.youtube.com/watch?v=9QirsT54NGo,2020. 4. 24.,댓글 337개,3.2천개,66개,"
      31:38
    "
7,7,(ENG) 젤(라)또 탈(색) 탈색 머리 블랙으로 5번 덮고 탈색하면? 기우쌤은 또 해냅니다. (*탈색본드*) /jella젤라,https://i.ytimg.com/vi/G5jODVC0g3k/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDxjgQhqKKul0cJL2IjMQ1Vu_H0zg,25만회,1개월 전,http://www.youtube.com/watch?v=G5jODVC0g3k,2020. 4. 19.,댓글 113개,2.8천개,70개,"
      17:37
    "
8,8,(ENG) 같이 빵댕이 흔들자! #살-2kg 가능!!  #ITZY -#WANNABE /있지 - 워너비/ 배우기!   거울모드,https://i.ytimg.com/vi/gV4hS5L-17g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAdTyjWymtSt57FJlCnfw8xznAQNQ,10만회,1개월 전,http://www.youtube.com/watch?v=gV4hS5L-17g,2020. 4. 8.,댓글 187개,2.2천개,30개,"
      34:59
    "
9,9,"(eng) 탈모, 가르마 고속도로, 힘없고 얇은 머리카락, 볼륨 없는 정수리, 비듬, 빗자루 머릿결!! 모두 모여라!! 삶의질 상승 (마켓공지!)",https://i.ytimg.com/vi/5ASH_YRiuzU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDqkFIPKnWZo-VvR6GUGUdFE-kpQQ,6.3만회,1개월 전,http://www.youtube.com/watch?v=5ASH_YRiuzU,2020. 4. 6.,댓글 262개,1.4천개,28개,"
      16:50
    "
10,10,ITZY(있지)-WANNABBE(워너비) COVER (ft.로아있지) /jella 젤라,https://i.ytimg.com/vi/yvQ7v9Gj_t4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDTMRwp3quJyKWleASkHPAF6_r_9w,21만회,2개월 전,http://www.youtube.com/watch?v=yvQ7v9Gj_t4,2020. 4. 2.,댓글 454개,7.1천개,323개,"
      1:57
    "
11,11,(Eng) 나의 첫 #샤넬 ?? 생일 선물만 약 천만 원!!! 나를 위한 Flex?? Jella's Birthday UNBOXING ??  / jella 젤라,https://i.ytimg.com/vi/j5JA35TIKKY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAj02sriC2X7dxawq-vpgTaOYvZ0A,16만회,2개월 전,http://www.youtube.com/watch?v=j5JA35TIKKY,2020. 4. 1.,댓글 200개,2.9천개,91개,"
      18:46
    "
12,12,(With sub) 생리 첫날 집콕 브이로그 / 삶의 질 상승템 (미공개 수분크림!) / 영양제 / 집에서 땀나게 운동하기!,https://i.ytimg.com/vi/M_NHPXKjxkA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAGvNXw78yRwkii0W3aUEoQmAEz5A,25만회,2개월 전,http://www.youtube.com/watch?v=M_NHPXKjxkA,2020. 3. 7.,댓글 297개,3.5천개,70개,"
      23:34
    "
13,13,"(jella) 최애 하이라이터,블러셔 짜릿해? 메이크업? /  K-BEAUTY",https://i.ytimg.com/vi/DFYG4hNvedk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBNyDSdLQ5dVPtnrifWl7GOFxaPiQ,10만회,2개월 전,http://www.youtube.com/watch?v=DFYG4hNvedk,2020. 3. 6.,댓글 230개,4천개,25개,"
      5:43
    "
