,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num
0,[Eng] 지금 딱 필요한✨픽서&파우더 고르고 사용하는 방법 l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/QY0tZiya8aw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB_lEVEhMxSNt2dKjcX-xr8d1Ht_A,7만회,23시간 전,http://www.youtube.com/watch?v=QY0tZiya8aw,,댓글 163개,2.2천개,14개
1,[랜선집들이] 이사배 새로운 집 공개! Welcome To My New House (+Eng) l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/hmVA-ft9nSg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA6ppZzfhK_-iCZHKZVahW_HoSMeQ,60만회,1주 전,http://www.youtube.com/watch?v=hmVA-ft9nSg,,댓글 673개,1.2만개,214개
2,[Eng] (여자)아이들 'OH MY GOD' 민니 커버메이크업 (G)I-DLE MINNIE Makeup Tutorial l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/zORXjXIHX8k/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD0GG1HAedpbALh_x9ayE_xamfIbA,15만회,2주 전,http://www.youtube.com/watch?v=zORXjXIHX8k,,댓글 457개,4.5천개,36개
3,[ASMR] 왓츠 (wrong) 인 마이 백  (Aㅏ..Sㅏ배는..Mㅜ Rㅣ..) Eng sub l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/WjJjuMKkmxY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB4vuDV9VSuWlKJU_peCPw8bWok0Q,9.8만회,3주 전,http://www.youtube.com/watch?v=WjJjuMKkmxY,,댓글 250개,2천개,49개
4,[Eng] 왕초보 기본 메이크업 - 컨실러 100% 활용 꿀팁 Beginner Makeup - Concealer Tips & Uses l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/b2rllU4p7IE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDjkTSIYgpAknt96gJt1xWQzVss-Q,36만회,4주 전,http://www.youtube.com/watch?v=b2rllU4p7IE,,댓글 356개,8.1천개,97개
5,[Eng] 데일리 메이크업에 간단한 아이포인트 주기👀💖 l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/7wJ65r-sGPA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCxzkoPefXGK8hdM9usSUNo_gdW4g,16만회,1개월 전,http://www.youtube.com/watch?v=7wJ65r-sGPA,,댓글 327개,4천개,46개
6,[Eng] 온라인 쇼핑으로 산! 2020 봄 신상🌷패션 하울 🛍  2020 Spring Fashion Haul l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/Z_oIZTjW4KY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDxaINTLoJpi0zwZ_HJMx89o6vHbA,18만회,1개월 전,http://www.youtube.com/watch?v=Z_oIZTjW4KY,,댓글 601개,3.3천개,58개
7,두아 리파 (Dua Lipa) 커버 메이크업 Dua Lipa Makeup Tutorial l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/NaF1GSbexp4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLApmkL3e1olPSgDeABcQcuqjTHTbw,18만회,1개월 전,http://www.youtube.com/watch?v=NaF1GSbexp4,,댓글 773개,6천개,35개
8,[Eng] 간단하게 싹 닦아드립니다✨ 메이크업 제품 묵은 때 벗기기🛁 How to clean your makeup products l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/HrPkC80TPBk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLArqihNlJtg__BZGP1LkSRHiKamQg,26만회,1개월 전,http://www.youtube.com/watch?v=HrPkC80TPBk,,댓글 324개,5.9천개,40개
9,[Eng] 봄신상 간단리뷰 하면서 프레피 룩 메이크업하기💜✨l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/iHufv85IYQo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLACbAPz0aQmFb6prfVGaMRS6A4sVQ,24만회,1개월 전,http://www.youtube.com/watch?v=iHufv85IYQo,,댓글 353개,5.2천개,59개
10,[나혼산 리뷰] ZOZI나 마켓가서 쎗뚜쎗뚜로 다 샀뚜샀뚜♥💸♥ l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/9B2Mn3Wg04E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDsdMM0f4akz1cbfuBPUECnZV2b7g,52만회,2개월 전,http://www.youtube.com/watch?v=9B2Mn3Wg04E,,댓글 745개,1.2만개,127개
