,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,[Eng] 지금 딱 필요한?픽서&파우더 고르고 사용하는 방법 l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/QY0tZiya8aw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDhQ02yun5WLOg5yMepMwML7A533g,14만회,6일 전,http://www.youtube.com/watch?v=QY0tZiya8aw,2020. 5. 27.,댓글 200개,3.5천개,29개,"
      10:04
    "
1,[랜선집들이] 이사배 새로운 집 공개! Welcome To My New House (+Eng) l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/hmVA-ft9nSg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBhHcmZpjPi8kC188a-KtA4AkeUdw,65만회,1주 전,http://www.youtube.com/watch?v=hmVA-ft9nSg,2020. 5. 20.,댓글 701개,1.2만개,238개,"
      16:30
    "
2,[Eng] (여자)아이들 'OH MY GOD' 민니 커버메이크업 (G)I-DLE MINNIE Makeup Tutorial l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/zORXjXIHX8k/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB_95UhoJxzroo1o293DxkM1EFuvg,15만회,2주 전,http://www.youtube.com/watch?v=zORXjXIHX8k,2020. 5. 14.,댓글 467개,4.7천개,38개,"
      10:27
    "
3,[ASMR] 왓츠 (wrong) 인 마이 백  (Aㅏ..Sㅏ배는..Mㅜ Rㅣ..) Eng sub l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/WjJjuMKkmxY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLARlDChjE90IpO3bozX2hF4Yu1zLg,9.9만회,3주 전,http://www.youtube.com/watch?v=WjJjuMKkmxY,2020. 5. 7.,댓글 250개,2천개,50개,"
      13:40
    "
4,[Eng] 왕초보 기본 메이크업 - 컨실러 100% 활용 꿀팁 Beginner Makeup - Concealer Tips & Uses l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/b2rllU4p7IE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB0o0zEMD9acmShoDzOYAy-bhsOAg,37만회,1개월 전,http://www.youtube.com/watch?v=b2rllU4p7IE,2020. 4. 29.,댓글 359개,8.3천개,99개,"
      18:09
    "
5,[Eng] 데일리 메이크업에 간단한 아이포인트 주기???? l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/7wJ65r-sGPA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB9OR0qL3hYAQ_39YC3sKzEyJ3gsw,17만회,1개월 전,http://www.youtube.com/watch?v=7wJ65r-sGPA,2020. 4. 22.,댓글 329개,4천개,46개,"
      15:03
    "
6,[Eng] 온라인 쇼핑으로 산! 2020 봄 신상??패션 하울 ??  2020 Spring Fashion Haul l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/Z_oIZTjW4KY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCcfYoi_EOh1PRU4y9E56JhPAweoA,18만회,1개월 전,http://www.youtube.com/watch?v=Z_oIZTjW4KY,2020. 4. 17.,댓글 602개,3.3천개,58개,"
      14:36
    "
7,두아 리파 (Dua Lipa) 커버 메이크업 Dua Lipa Makeup Tutorial l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/NaF1GSbexp4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBwLLGMCXMmkpjFWqvyVJKYCc8OBA,18만회,1개월 전,http://www.youtube.com/watch?v=NaF1GSbexp4,2020. 4. 14.,댓글 774개,6천개,35개,"
      3:23
    "
8,[Eng] 간단하게 싹 닦아드립니다? 메이크업 제품 묵은 때 벗기기?? How to clean your makeup products l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/HrPkC80TPBk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDTp-W3e28VniZX8BV09pMAGFXs9A,27만회,1개월 전,http://www.youtube.com/watch?v=HrPkC80TPBk,2020. 4. 8.,댓글 324개,5.9천개,40개,"
      12:20
    "
9,[Eng] 봄신상 간단리뷰 하면서 프레피 룩 메이크업하기???l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/iHufv85IYQo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBRorlDcoRE_Eh8qpPb6N9rOVyMrA,25만회,2개월 전,http://www.youtube.com/watch?v=iHufv85IYQo,2020. 4. 2.,댓글 352개,5.3천개,59개,"
      13:55
    "
10,[나혼산 리뷰] ZOZI나 마켓가서 쎗뚜쎗뚜로 다 샀뚜샀뚜♥??♥ l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/9B2Mn3Wg04E/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDncDpTw6yJTGfMorYDIrEjC2a-Qg,52만회,2개월 전,http://www.youtube.com/watch?v=9B2Mn3Wg04E,2020. 3. 28.,댓글 745개,1.2만개,127개,"
      8:32
    "
11,[세로 메이크업] ?????? l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/xryJf4ja11Y/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCNx8-zM_Ox4xiz5sTcHfZIABK8WA,10만회,2개월 전,http://www.youtube.com/watch?v=xryJf4ja11Y,2020. 3. 25.,댓글 251개,2.3천개,23개,"
      4:13
    "
12,[Eng] #풀뱅 #겉보속촉 #레드립 ??♥? l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/Cvzoa2jFUaQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB3vAZu6ZfY2jv_sEvte11czEWDRQ,18만회,2개월 전,http://www.youtube.com/watch?v=Cvzoa2jFUaQ,2020. 3. 19.,댓글 358개,3.5천개,61개,"
      15:29
    "
13,[Eng] 봄빛 가득??내추럴 글로우 메이크업 Natural Glow Makeup l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/OLjE6SP3XMM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB2ib5Z9PkL0R8WHTaSRGRvqa_MKw,32만회,2개월 전,http://www.youtube.com/watch?v=OLjE6SP3XMM,2020. 3. 13.,댓글 421개,8천개,70개,"
      15:25
    "
14,[Eng] 인기 많았던 뉴욕 메이크업??l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/FOIW4ll_zM4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBkebpnzvM8CS1Qhlo7mX7quJ37sQ,31만회,3개월 전,http://www.youtube.com/watch?v=FOIW4ll_zM4,2020. 2. 26.,댓글 285개,5.3천개,123개,"
      14:41
    "
15,[Eng] TMC(=투 머치 캐리어)?? 이사배 캐리어 속 아이템 대방출! l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/r755UjB7OC0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCRe-xN-iWvNIrq7IJO-oOhgL4hLg,20만회,3개월 전,http://www.youtube.com/watch?v=r755UjB7OC0,2020. 2. 20.,댓글 242개,3.2천개,57개,"
      11:30
    "
16,[Eng] 이사배 최애브러시 등극 쾌거 Top5 ??? l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/KUlbbGBTQ2I/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBVtEwzjCOXFWWutegyGTr6CUkE3A,22만회,3개월 전,http://www.youtube.com/watch?v=KUlbbGBTQ2I,2020. 2. 12.,댓글 240개,3.8천개,75개,"
      8:02
    "
17,[Eng] No광고! 취향저격 당한 샤넬 신상컬렉션으로 풀 메이크업 Full Face Using CHANEL Makeupl 이사배(RISABAE Makeup),https://i.ytimg.com/vi/HkZqpQUWYFM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqyJnFamgbrP37ufcvHN2Gv9YePQ,29만회,3개월 전,http://www.youtube.com/watch?v=HkZqpQUWYFM,2020. 2. 5.,댓글 371개,5.9천개,87개,"
      11:33
    "
18,[Eng] 파운데이션 별 도구 궁합 간단요약정리! - 백투베이직 l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/4_jBs2OG718/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCKIZFUY9J9wHjE-F9i_Qvi46Mffg,24만회,4개월 전,http://www.youtube.com/watch?v=4_jBs2OG718,2020. 1. 30.,댓글 335개,5.1천개,61개,"
      14:02
    "
19,요청폭주로 돌아온! 대체 저걸 누가 사??????♀? 2탄 ! ! (ft.누가 좀 말려주세요?????♀?) l 이사배(RISABAE Makeup),https://i.ytimg.com/vi/f2k9G-k3k7E/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCBl69HWlUhLP41GYYQCwwnqskTOg,37만회,4개월 전,http://www.youtube.com/watch?v=f2k9G-k3k7E,2020. 1. 10.,댓글 981개,8.2천개,92개,"
      11:14
    "
