날짜,빈도수
2020-04-01,100.0
2020-04-02,74.65178
2020-04-03,56.82969
2020-04-04,50.30864
2020-04-05,53.06267
2020-04-06,45.1646
2020-04-07,41.10477
2020-04-08,37.23488
2020-04-09,35.81829
2020-04-10,31.35485
2020-04-11,30.81671
2020-04-12,30.15194
2020-04-13,31.90883
2020-04-14,54.23393
2020-04-15,39.79107
2020-04-16,36.03197
2020-04-17,31.73472
2020-04-18,29.86704
2020-04-19,31.30737
2020-04-20,30.52389
2020-04-21,29.92244
2020-04-22,31.3786
2020-04-23,30.54764
2020-04-24,36.66508
2020-04-25,33.22253
2020-04-26,41.04938
2020-04-27,37.29028
2020-04-28,31.30737
2020-04-29,30.67426
2020-04-30,31.34694
2020-05-01,34.1168
2020-05-02,29.6138
2020-05-03,30.15194
2020-05-04,28.1339
2020-05-05,39.37955
2020-05-06,39.40329
2020-05-07,28.25261
2020-05-08,26.81228
2020-05-09,30.50807
2020-05-10,31.77429
2020-05-11,31.53687
2020-05-12,30.9275
2020-05-13,31.0383
2020-05-14,28.27635
2020-05-15,25.59354
2020-05-16,24.98417
2020-05-17,25.98923
2020-05-18,25.57771
2020-05-19,25.83887
2020-05-20,25.87844
2020-05-21,24.64387
2020-05-22,22.3251
2020-05-23,21.31212
2020-05-24,22.46755
2020-05-25,22.37258
2020-05-26,21.47831
2020-05-27,18.7401
2020-05-28,17.03861
2020-05-29,18.09116
2020-05-30,17.27603
2020-05-31,19.72934
2020-06-01,18.96169
2020-06-02,20.37828
2020-06-03,18.14656
2020-06-04,18.48686
2020-06-05,19.38113
2020-06-06,20.31497
2020-06-07,21.82652
2020-06-08,21.62076
2020-06-09,20.53656
2020-06-10,22.90281
