,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,"[ENG] 사회적 거리두기 봄나들이 | 무인호텔 호캉스, 드라이브 스루, 배달의 민족 Social Distancing Vlog",https://i.ytimg.com/vi/xTqrM39-r1E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBVWKpGfhGEfjJCzWYuqLAhghkJ6w,2.5만회,1개월 전,http://www.youtube.com/watch?v=xTqrM39-r1E,2020. 4. 17.,댓글 71개,451개,36개,"
      6:58
    "
1,[ENG] Room Tour | 아늑하고 빈티지한 나의 침실 ??랜선집들이,https://i.ytimg.com/vi/QpSlf4TER5Y/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCwmg0p3_X9E6xUg5oln2jk41OLnw,1.6만회,1개월 전,http://www.youtube.com/watch?v=QpSlf4TER5Y,2020. 4. 11.,댓글 33개,400개,16개,"
      13:53
    "
2,진짜 넘 웃기다고요..붙임머리 맛집 브이로그 : Beauty Day vlog,https://i.ytimg.com/vi/4Egh8US4UjA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBBRpNw_aEBaZHHXhNAWJADdr8C5Q,2.3만회,2개월 전,http://www.youtube.com/watch?v=4Egh8US4UjA,2020. 3. 21.,댓글 21개,317개,31개,"
      9:13
    "
3,6년차 뷰티유튜버의 화장대 + 유튜브 작업실 : Beauty + Youtube Room Tour,https://i.ytimg.com/vi/SDs6AyfnQvQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBpbGT4si8Rw1SlcEiwEV7_RH8_8w,2.3만회,2개월 전,http://www.youtube.com/watch?v=SDs6AyfnQvQ,2020. 3. 6.,댓글 26개,541개,22개,"
      19:38
    "
4,영롱 그 자체 ?핑크 글리터 메이크업 : Pink Glitter Makeup,https://i.ytimg.com/vi/lXYP1MGKsd0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBtS8pTTrznal6VvNM1JG6SnO3DPA,4.2만회,2개월 전,http://www.youtube.com/watch?v=lXYP1MGKsd0,2020. 3. 4.,댓글 97개,872개,33개,"
      6:09
    "
5,깔끔 데일리 메이크업 : Everyday Makeup,https://i.ytimg.com/vi/0N1ySyVNbCw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD6oLvKZLmi2xnEhGUFlj3v0jndLw,4.1만회,3개월 전,http://www.youtube.com/watch?v=0N1ySyVNbCw,2020. 2. 28.,댓글 105개,1천개,51개,"
      5:12
    "
6,"[ENG] 우울증, 폭식증 약 3년만에 끊음 + 뇌진탕 판정까지 | 일상 VLOG",https://i.ytimg.com/vi/WeEt-druOKY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBBE8EETHB8O5K8nwSGHqprlUWM8g,9.3만회,5개월 전,http://www.youtube.com/watch?v=WeEt-druOKY,2019. 12. 29.,댓글 260개,1.1천개,58개,"
      13:50
    "
7,[ENG] 고급미+분위기 뿜뿜 ? 연말 메이크업 - Holiday Makeup GRWM,https://i.ytimg.com/vi/Zab8iHsGB2g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD2R5A7XFtqxmL-OeFj_CaRJYXVbg,6.1만회,5개월 전,http://www.youtube.com/watch?v=Zab8iHsGB2g,2019. 12. 20.,댓글 125개,1.2천개,53개,"
      18:45
    "
8,갈비뼈 금가서 정형외과 가는 메이크업 겟레디윗미 : Get Ready With Me !,https://i.ytimg.com/vi/tBpLhxaDp4A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCvoyzHEUMIb-YULKinCTgic4Hc4g,10만회,6개월 전,http://www.youtube.com/watch?v=tBpLhxaDp4A,2019. 11. 16.,댓글 245개,1.8천개,84개,"
      21:22
    "
9,맥x포니 컬렉션 런칭파티 겟레디윗미! 갓포니 영접 ??,https://i.ytimg.com/vi/pDtBfq3u3jo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAiJuRoaKunH42M3ySs-SLWJkiRsQ,8.3만회,7개월 전,http://www.youtube.com/watch?v=pDtBfq3u3jo,2019. 10. 6.,댓글 192개,1.4천개,67개,"
      12:40
    "
10,최애템 모음 ? 핑크빔 겟레디윗미 : Pink beam GRWM,https://i.ytimg.com/vi/Nd6Vrxccdh4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCi8stL7suKl9SjZ1VNoUAsv-L_bA,5.8만회,8개월 전,http://www.youtube.com/watch?v=Nd6Vrxccdh4,2019. 9. 26.,댓글 195개,1.1천개,97개,"
      21:58
    "
11,[다또아X홀리] 속터지는 사연과 사이다 답변의 콜라보 + 겟레디윗미 !,https://i.ytimg.com/vi/24mXj0dl-tc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCgIJCD9nVTlCy3c_weV7n_oyA8tw,4.1만회,9개월 전,http://www.youtube.com/watch?v=24mXj0dl-tc,2019. 8. 28.,댓글 76개,638개,44개,"
      15:53
    "
12,자연광? 생일파티 겟레디윗미! 같이 준비해요 -Get Ready With Me + VLOG | 다또아,https://i.ytimg.com/vi/bRotvlIuE8E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAMZiGMczfbd2kU6j0owdLG3BQVMA,12만회,10개월 전,http://www.youtube.com/watch?v=bRotvlIuE8E,2019. 7. 31.,댓글 168개,1.7천개,125개,"
      22:52
    "
13,-10kg! 삭센다 다이어트 후기 + 유튜버의 삶 vlog,https://i.ytimg.com/vi/SDBY-kyoiU8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBO78oFV8AB8m_ADFFJAaZ02HLzog,26만회,10개월 전,http://www.youtube.com/watch?v=SDBY-kyoiU8,2019. 7. 17.,댓글 285개,3.1천개,135개,"
      17:45
    "
14,"박서준, 강소라와의 방송 ♥?  + 펑크날뻔한 뒷 이야기",https://i.ytimg.com/vi/0YZ2kdX4Y78/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBIVt33uWJH3secvenBZvGKaf5kRQ,5.2만회,10개월 전,http://www.youtube.com/watch?v=0YZ2kdX4Y78,2019. 7. 6.,댓글 53개,529개,73개,"
      3:51
    "
15,"박서준, 강소라와 함께하는 Q&A 라이브 ?",https://i.ytimg.com/vi/I8c8BmCt2gc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAr8G58E0dz7H07MMlCgeONqZhP5Q,11만회,11개월 전,http://www.youtube.com/watch?v=I8c8BmCt2gc,2019. 6. 24.,댓글 33개,356개,30개,"
      16:29
    "
