,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,(ENG/JPN) 대학생 동생에게 데일리룩 코디해주기??,https://i.ytimg.com/vi/zeJ8oAJmrtE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBWATZzgw8O8guAXz2ej-67ObwLLA,49만회,1개월 전,http://www.youtube.com/watch?v=zeJ8oAJmrtE,2020. 4. 24.,댓글 701개,2.4만개,123개,"
      14:58
    "
1,(ENG/JPN) 좋아하는 쇼핑몰 추천하면서??봄옷 하울 Spring Fashion Haul,https://i.ytimg.com/vi/Y7NeDs9ldy4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLANDeSceFVbK6YJVHMQWCI6O3qY0A,23만회,1개월 전,http://www.youtube.com/watch?v=Y7NeDs9ldy4,2020. 4. 11.,댓글 361개,8.4천개,43개,"
      11:04
    "
2,(ENG/JPN) 단발에 벚꽃 메이크업??Spring Makeup,https://i.ytimg.com/vi/bq0HTi1IfLY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDjpAhMuYqck0jatGxYbi5O_7Zn5Q,10만회,1개월 전,http://www.youtube.com/watch?v=bq0HTi1IfLY,2020. 4. 8.,댓글 324개,4.3천개,23개,"
      8:41
    "
3,집순이 자취생의 하루 ?? 집청소 / 재난가방 만들기,https://i.ytimg.com/vi/SpDXBA05CWM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAlsUr6aeTQAI8pyCvxict2EiobbA,21만회,2개월 전,http://www.youtube.com/watch?v=SpDXBA05CWM,2020. 3. 16.,댓글 453개,8천개,56개,"
      16:49
    "
4,[도영이] 세상의 모든 쇼핑몰 리뷰??아뜨랑스 편 /샤랄라 20대 봄 옷 모음!,https://i.ytimg.com/vi/iO5Q6Ebe9Hs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDLz16ZwQfx0edOjU3sN9MGowWU2Q,14만회,2개월 전,http://www.youtube.com/watch?v=iO5Q6Ebe9Hs,2020. 3. 14.,댓글 357개,3.1천개,29개,"
      8:57
    "
5,스무살 친동생에게 대학생 필수품 선물해주기??새내기 동생들 다드루와~??,https://i.ytimg.com/vi/LQVfZTaY7bg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCPX_NWz-jeDCdE5Ag5SLHXcr1RNg,25만회,2개월 전,http://www.youtube.com/watch?v=LQVfZTaY7bg,2020. 3. 6.,"댓글 1,960개",7.5천개,69개,"
      15:33
    "
6,평범한 셔츠 하나로 8가지 코디 돌려입기?? 8 different Looks with 1 Shirt,https://i.ytimg.com/vi/nU9BI-VbQPo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCwHvGDjBCmrG7i-1hUSrY8IBJHpQ,37만회,3개월 전,http://www.youtube.com/watch?v=nU9BI-VbQPo,2020. 3. 3.,댓글 462개,2.2만개,78개,"
      1:45
    "
7,셀프 톤다운 염색&셀프 단발커트??8년만에 단발머리로 싹둑..?,https://i.ytimg.com/vi/sy3_Q6z6WSk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAKk7VKOjRzuf9V0W8G4NthpoJlSA,26만회,3개월 전,http://www.youtube.com/watch?v=sy3_Q6z6WSk,2020. 2. 28.,댓글 319개,7.7천개,40개,"
      8:46
    "
8,오랜만에 부산 일상 VLOG?? 동생졸업식 / 첫 음주로그 ??,https://i.ytimg.com/vi/VE5yYyP4IeE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqJz6dYniDkbkLrZZRfPEqncgU8w,33만회,3개월 전,http://www.youtube.com/watch?v=VE5yYyP4IeE,2020. 2. 26.,댓글 606개,1.3만개,49개,"
      13:34
    "
9,방콕여행 3일내내 같이 준비해요??GRWM in Bangkok,https://i.ytimg.com/vi/Z7nsEcjek8g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA_JQvYfK4r6T3WqehaZG2tg6gP0g,15만회,3개월 전,http://www.youtube.com/watch?v=Z7nsEcjek8g,2020. 2. 9.,댓글 273개,4.3천개,33개,"
      28:00
    "
