,Unnamed: 0,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,0,(eng)수다GRWM* 웜톤인데 쿨톤인 척하는 SUMMER MAKEUP LOOK ??????????  | dear.jerry,https://i.ytimg.com/vi/GWf3ojkLFJI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCNDWQAujv3SqNSvDpsGtkMsjWlaw,8.9만회,4일 전,http://www.youtube.com/watch?v=GWf3ojkLFJI,2020. 5. 30.,댓글 174개,2.5천개,44개,"
      14:57
    "
1,1,"(eng) /VLOG/ ??비오는날의 산책, 오랜만의 맛집탐방, 자라 향수, 오이샌드위치 만들기, 차량 점검, 이마트 새벽배송 하울 브이로그 | dear.jerry",https://i.ytimg.com/vi/HvTRiwSSQv0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBZOYI8_9E67Yl5LGWIt__GCmcyXQ,9.9만회,1주 전,http://www.youtube.com/watch?v=HvTRiwSSQv0,2020. 5. 24.,댓글 244개,2.4천개,58개,"
      24:51
    "
2,2,(sub) Early Summer Lookbook & Haul ?? 여름을 준비하는 나의 패션 룩북 | dear.jerry,https://i.ytimg.com/vi/PXfzCgyfkFA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCDqyeQjYH2Nh1krF0aXkItS3o9Zg,19만회,2주 전,http://www.youtube.com/watch?v=PXfzCgyfkFA,2020. 5. 17.,댓글 348개,6.3천개,61개,"
      6:36
    "
3,3,(eng) 갑분 동년배 모드 GRWM??얘드라 뭐해? 같이 준비하자???? | dear.jerry,https://i.ytimg.com/vi/1kDRsNT6E9A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBHCfzEWQZROoiirIg4T2E6D_pfyg,15만회,1개월 전,http://www.youtube.com/watch?v=1kDRsNT6E9A,2020. 5. 4.,댓글 213개,3.4천개,47개,"
      15:53
    "
4,4,"(eng)/VLOG/ 일상모음zip (투표하고, 염색하고, 좋아하는 아이템들, 똥손 집순이의 하루??) | dear.jerry",https://i.ytimg.com/vi/YqojdEnA9Ng/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDnSmSYTrvRNKzn16HqRRPBzyZuIQ,11만회,1개월 전,http://www.youtube.com/watch?v=YqojdEnA9Ng,2020. 4. 26.,댓글 211개,2.7천개,57개,"
      19:37
    "
5,5,(sub) 꽃을 닮은????나의 특별한 메이크업 꿀조합?? Flower Moode Makeup Look | dear.jerry (sub soon),https://i.ytimg.com/vi/hW8YQ9bw1XE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDZGNAVIcD7dYSSgELNsTTv9-NX3A,6.5만회,1개월 전,http://www.youtube.com/watch?v=hW8YQ9bw1XE,2020. 4. 16.,댓글 139개,1.7천개,57개,"
      3:48
    "
6,6,"(eng)??Spring Fashion Haul 봄에 꼭 사야할 20가지 아이템 모음zip (옷,신발,가방,악세사리 하울) | dear.jerry",https://i.ytimg.com/vi/hQRT1wAqDeo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBEHznITd-j3OfSbautmSFE111fkQ,17만회,1개월 전,http://www.youtube.com/watch?v=hQRT1wAqDeo,2020. 4. 11.,댓글 250개,4.9천개,75개,"
      14:37
    "
7,7,(eng)??My Designer Bag Collection 나의 가방이야기! 명품백편 (#CELINE #CHANEL #BOTTEGAVENETA etc) | dear.jerry,https://i.ytimg.com/vi/RLLafivi4Xg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBATSTdqcU4npHfTNGp-Hbb4NyKxg,26만회,1개월 전,http://www.youtube.com/watch?v=RLLafivi4Xg,2020. 4. 7.,댓글 363개,5.2천개,133개,"
      28:59
    "
8,8,"(eng) /VLOG/ 혼자서도 잘먹고 잘놀기??(집순이의 일상, 장보고 집밥해먹기, 갑분 빈티지가방&이북리더기 하울) | dear.jerry",https://i.ytimg.com/vi/cis82bIe20M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBOj2IVbXUyTqvLbsf3kc5OQ69bag,18만회,2개월 전,http://www.youtube.com/watch?v=cis82bIe20M,2020. 3. 27.,댓글 271개,3.7천개,77개,"
      26:18
    "
9,9,(eng) chit chat GRWM??앞머리 자르고 레드립 찹찹! 왕수다겟레디?? | dear.jerry,https://i.ytimg.com/vi/gyFL35R8rHs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCUTV4GnmkALEu62mDXq4seEClAmg,12만회,2개월 전,http://www.youtube.com/watch?v=gyFL35R8rHs,2020. 3. 20.,댓글 190개,3천개,46개,"
      19:48
    "
