,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,"VLOG?? 일상 브이로그! (생일선물 언박싱, 요즘 산 것들, 신상 화장품 뜯기 등등..?)",https://i.ytimg.com/vi/7IyD0GCYuKo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLADCU88QRgEDXlqpMMQETJvE8GxSA,19만회,1주 전,http://www.youtube.com/watch?v=7IyD0GCYuKo,2020. 5. 23.,"댓글 1,072개",5.5천개,94개,"
      31:23
    "
1,90년대생 모여라!! 추억의 문구완구 하울?? #엠알케이 #러브짱 아는 사람..? (ㄹr떼는 말이야..??),https://i.ytimg.com/vi/hRM-IzTBRdo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAAi9LYQF_eWyRFGw01Oe5Z_XPI1w,9.5만회,3주 전,http://www.youtube.com/watch?v=hRM-IzTBRdo,2020. 5. 7.,"댓글 1,235개",3.9천개,53개,"
      14:19
    "
2,??옷장공개?? 로즈하 드레스룸 털기!! 알록달록 취향의 옷들을 공개합니당!!ㅋㅋㅋ,https://i.ytimg.com/vi/-AMsmBBdd1U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqDE0b9azcY61DFt6XffBA8pCElw,22만회,1개월 전,http://www.youtube.com/watch?v=-AMsmBBdd1U,2020. 4. 26.,"댓글 1,258개",6.4천개,103개,"
      26:45
    "
3,??생일기념 구독자 역조공 이벤트??,https://i.ytimg.com/vi/Qit9eCFnXAQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAHc9KGEMMUChrR3Urxpnt1a_rhJA,27만회,1개월 전,http://www.youtube.com/watch?v=Qit9eCFnXAQ,2020. 4. 15.,"댓글 28,886개",1.7만개,69개,"
      7:23
    "
4,VLOG???? 대충 다닌 LA 브이로그?? 뭐 한 게 없어...!ㅇㅅaㅇ (feat.헤이즐언니쓰),https://i.ytimg.com/vi/e6OMpR1GNGw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCGcJRZiodFuJtEWdzTliiYCLC8Gw,26만회,1개월 전,http://www.youtube.com/watch?v=e6OMpR1GNGw,2020. 4. 8.,댓글 882개,5.7천개,115개,"
      21:29
    "
5,??하고싶어서 해본..! 디즈니st 핑크보라 메이크업????,https://i.ytimg.com/vi/WufK4OVSkMQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAHdPPp8yp-gr0FnFQwaq7pbb4soA,11만회,1개월 전,http://www.youtube.com/watch?v=WufK4OVSkMQ,2020. 4. 7.,댓글 792개,3.6천개,75개,"
      13:06
    "
6,상큼한 봄 패션 하울??????????????,https://i.ytimg.com/vi/6WflWB_7x9o/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAMYNXjrYzOFC1-Ldy0235cwGSOIw,22만회,2개월 전,http://www.youtube.com/watch?v=6WflWB_7x9o,2020. 3. 29.,댓글 885개,5.8천개,96개,"
      13:09
    "
7,??해리포터 컨셉으로 다이어리 꾸미기?? Harry Potter Diary!,https://i.ytimg.com/vi/FTG-yQQmqDg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAU83WHTgMhc3glDEPSwxrIRkaSaQ,12만회,2개월 전,http://www.youtube.com/watch?v=FTG-yQQmqDg,2020. 3. 19.,댓글 692개,4.9천개,66개,"
      16:39
    "
8,드디어 봄???? 깔끔하고 상큼하게 봄 메이크업! (feat.디올 Dior) +나눔이벤트??,https://i.ytimg.com/vi/S7sqbS-1n4g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAzNiFG8lg54lSrJt3mdGrF54DULw,18만회,2개월 전,http://www.youtube.com/watch?v=S7sqbS-1n4g,2020. 3. 6.,"댓글 4,295개",6천개,78개,"
      8:53
    "
9,존예템 가득한 파우치 소개???????? +요즘 잘쓰는 블러셔 추천까지♡???ω???,https://i.ytimg.com/vi/KmWiLW-dkfI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDRUQJnwyiBFsq7HirMNtFDnwa-zw,30만회,2개월 전,http://www.youtube.com/watch?v=KmWiLW-dkfI,2020. 3. 5.,"댓글 1,164개",8.2천개,149개,"
      16:06
    "
10,"그동안 영상 안 올린 이유..?! 근황 얘기하면서 편하게, 2020 첫 GRWM????",https://i.ytimg.com/vi/KL4lTg6o8us/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD43mZsH2QLJTpdcc3aajWdHJyQ6g,38만회,3개월 전,http://www.youtube.com/watch?v=KL4lTg6o8us,2020. 3. 1.,"댓글 1,420개",1만개,288개,"
      22:19
    "
