,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,"5월 은밀한 새벽??깜짝 이벤트, 반려식물, 치료경과",https://i.ytimg.com/vi/Ifh32Yo9ph4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDctpkhKnT9GJx8eapyiRX5SIvCiQ,9.1만회,3일 전,http://www.youtube.com/watch?v=Ifh32Yo9ph4,2020. 5. 31.,댓글 180개,2.1천개,26개,"
      19:36
    "
1,"[sub] 숏컷 붙임머리 (+티 안나게 스타일링, 남친반응ㅋㅋ)",https://i.ytimg.com/vi/2caTgHmgn3E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAchtQLiLBOo3MErnFD7sqm4qnCtA,11만회,1주 전,http://www.youtube.com/watch?v=2caTgHmgn3E,2020. 5. 25.,댓글 126개,1.8천개,41개,"
      15:01
    "
2,[sub] 달달주의 퇴근 후 리얼일상??최애 꿀템들 대방출 ㅋㅋㅋㅋㅋ,https://i.ytimg.com/vi/kzzSvMijm5s/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCCUhRWkQdgamoudhmHM1usv1VScQ,6.7만회,2주 전,http://www.youtube.com/watch?v=kzzSvMijm5s,2020. 5. 14.,댓글 74개,1.1천개,24개,"
      18:28
    "
3,내 홈카페에 놀러올래???야채총각등장????(신제품으로 데일리 끝판왕 메이크업),https://i.ytimg.com/vi/ytI2dxNnoqg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBlyuTV7KLFP-AF8NYGOu2AB--66g,5.8만회,3주 전,http://www.youtube.com/watch?v=ytI2dxNnoqg,2020. 5. 7.,댓글 132개,1천개,21개,"
      23:48
    "
4,"??상황별 자외선 차단제 BEST??인생 선세럼, 파우더 찾음!!!",https://i.ytimg.com/vi/weItuZPLWQI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-kqUj-GmidCfCp442lsdy8gRa9w,9.6만회,1개월 전,http://www.youtube.com/watch?v=weItuZPLWQI,2020. 5. 2.,댓글 124개,1천개,134개,"
      10:33
    "
5,4월 은밀한 새벽?????♀?저 살아있어요 / 잠깐의 휴식기,https://i.ytimg.com/vi/4FT2q3fy9Q0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCxGjEOekWyxqWpjxE6sWq2Z7Yd-g,7.7만회,1개월 전,http://www.youtube.com/watch?v=4FT2q3fy9Q0,2020. 4. 30.,댓글 129개,1.5천개,26개,"
      15:55
    "
6,이사한 집에서 첫 GRWM (파데프리 메이크업 / 요즘 최애틴트 / 수다작렬 ),https://i.ytimg.com/vi/i_s9FwkVY34/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDaykamXUzF6qvWr-fcFEVBnsaYeg,10만회,1개월 전,http://www.youtube.com/watch?v=i_s9FwkVY34,2020. 4. 18.,댓글 191개,1.7천개,56개,"
      15:48
    "
7,스타일리스트가 골라준 청량한 개안룩 ????쇼핑팁 와르르르르르르,https://i.ytimg.com/vi/pi8ZkKz97aI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC5eSi1DsV3GrkYJmsmtIwOOH1aKg,5.7만회,1개월 전,http://www.youtube.com/watch?v=pi8ZkKz97aI,2020. 4. 14.,댓글 61개,756개,34개,"
      22:04
    "
8,새벽의 라디오 ep.3 친구들이 나 빼고 단톡방 만들었을때..???,https://i.ytimg.com/vi/Ps1ddlJUX6c/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBOMkwtTLpcPLe-OotBLD0o763XRA,3.1만회,1개월 전,http://www.youtube.com/watch?v=Ps1ddlJUX6c,2020. 4. 8.,댓글 65개,545개,14개,"
      17:01
    "
9,물빛 크리스탈 메이크업??유리알 피부 파데!,https://i.ytimg.com/vi/0-fTZlNPnxQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC6H0-wTiJuQIhap_bqkTEsJO4M8Q,11만회,2개월 전,http://www.youtube.com/watch?v=0-fTZlNPnxQ,2020. 4. 3.,댓글 116개,1.1천개,112개,"
      16:56
    "
10,3월 은밀한 새벽??도플갱어 만남 /두피관리/미친뷰 호캉스/집콕,https://i.ytimg.com/vi/A76YPYsnuAg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC_vQTcCrOY8n7Ng2-Tor-ZXENqpg,7.1만회,2개월 전,http://www.youtube.com/watch?v=A76YPYsnuAg,2020. 3. 31.,댓글 70개,1천개,35개,"
      26:48
    "
11,'z플립' 으로 찍은 하루밀착 '반말' 브이로그 (ver.바쁘다 바빠 현대사회),https://i.ytimg.com/vi/j2hdd40ebXQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDBn7sBWPUGoIFaG6AG2u4WLrDphA,7.3만회,2개월 전,http://www.youtube.com/watch?v=j2hdd40ebXQ,2020. 3. 28.,댓글 129개,1천개,26개,"
      13:11
    "
12,Spring daisy make up??언젠가 봄은 오니까요 !!,https://i.ytimg.com/vi/cE7EISfjt3Q/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCInvqHrC6jp43bU0CTubmn8HiNuQ,10만회,2개월 전,http://www.youtube.com/watch?v=cE7EISfjt3Q,2020. 3. 24.,댓글 492개,4천개,48개,"
      3:48
    "
13,"선긋는(?) 반말 GRWM + TMI 대방출??#젤리스킨, #쿨톤인생팔레트 #쿨톤팔레트",https://i.ytimg.com/vi/RwvQRKTtJ84/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBDb9gngyEJW11LXuCdJeZlx9-bNA,10만회,2개월 전,http://www.youtube.com/watch?v=RwvQRKTtJ84,2020. 3. 21.,댓글 364개,2.3천개,48개,"
      27:18
    "
14,스윗 포니하우스????에서 1박2일 사육 당한.. 뭐 그런 브이로그,https://i.ytimg.com/vi/kPjh8tnlSOs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBBTQDH_G70AKTkVr9hxhngutCDMA,33만회,2개월 전,http://www.youtube.com/watch?v=kPjh8tnlSOs,2020. 3. 18.,댓글 335개,6.7천개,84개,"
      20:55
    "
15,"실패없는 요즘 가장 좋아하는 블러셔 조합 ??(쿨톤, 웜톤 모오두)",https://i.ytimg.com/vi/uJyzQyjc87Q/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA_h0TNsE69_DQSE0BV3yt4Qmhl2g,9.9만회,2개월 전,http://www.youtube.com/watch?v=uJyzQyjc87Q,2020. 3. 13.,댓글 245개,1.6천개,32개,"
      10:17
    "
16,"가격 실화야..??! 새벽박스 야심찬 구성품 공개 (109,900 → 39,900)",https://i.ytimg.com/vi/xt12JzdMxcs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAtLBzFuFkCyY5bs-fBPw257x96PQ,14만회,2개월 전,http://www.youtube.com/watch?v=xt12JzdMxcs,2020. 3. 9.,댓글 254개,2.2천개,59개,"
      15:41
    "
17,8년 아이폰 덕후의 갤럭시 Z플립 리뷰 (No협찬)(아이폰11pro사진비교),https://i.ytimg.com/vi/3cbhp0PtuC0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBUGfviUpuAziU7W1cw4Sv_Ia39IQ,66만회,3개월 전,http://www.youtube.com/watch?v=3cbhp0PtuC0,2020. 3. 4.,"댓글 1,149개",1.2만개,327개,"
      14:52
    "
18,2월 은밀한새벽??봄만 와.. 코로나는 오지마.. / Z플립 충동구매,https://i.ytimg.com/vi/kcX0MK6e9jM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDzQQWb7qjOtHPvA2aSd0h3ejiDJA,9.6만회,3개월 전,http://www.youtube.com/watch?v=kcX0MK6e9jM,2020. 2. 28.,댓글 128개,1.5천개,66개,"
      23:25
    "
19,여러분..드디어.. 음원이 나와요!!??,https://i.ytimg.com/vi/6TodQkUW-Es/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCvl5dp6lAVV9eb82JetUV2PK_6cg,3.4만회,3개월 전,http://www.youtube.com/watch?v=6TodQkUW-Es,2020. 2. 22.,댓글 78개,656개,55개,"
      3:44
    "
