,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,*요즘 핫 신상 립?? 31개 발라보기 (에스쁘아+머지+클리오+에크멀),https://i.ytimg.com/vi/Qk73OYLOnAc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDIdA3v_5_95-6f0UPgE12IiImpPg,8.2만회,1일 전,http://www.youtube.com/watch?v=Qk73OYLOnAc,['2020. 6. 2.'],댓글 242개,3.7천개,55개,"
      36:14
    "
1,*[홀랜] 오늘 점심 시간은요??? (콩.불 리턴즈),https://i.ytimg.com/vi/GLfq86dA8uU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA-o298BPJtiHzJW5t-wln2ZqGVpw,13만회,5일 전,http://www.youtube.com/watch?v=GLfq86dA8uU,['2020. 5. 29.'],댓글 242개,3.7천개,55개,"
      12:03
    "
2,*[업무보고??#1] 라이크 홀리 그립톡 제작+립제품 화보+홀리 화보촬영기+편백촬영,https://i.ytimg.com/vi/h-DXmP-S62U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDdipUwIDvIZJeseGAqEO7Xs5eHDg,10만회,1주 전,http://www.youtube.com/watch?v=h-DXmP-S62U,['2020. 5. 25.'],댓글 242개,3.7천개,55개,"
      12:15
    "
3,* 주라주라?????♀?둘째이모 홀다비 이모 겐네디잇미??,https://i.ytimg.com/vi/7EvuegLMsGI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-T20Y2Pmxeb4G6OvihAcnrNTO3g,22만회,1주 전,http://www.youtube.com/watch?v=7EvuegLMsGI,['2020. 5. 22.'],댓글 242개,3.7천개,55개,"
      9:06
    "
4,*[비만 시리즈 #3] 간단한' 브런치 편.,https://i.ytimg.com/vi/_VZaST0XQTk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBCT1ExVcdnseb-bz6eY31vVfRn4A,29만회,2주 전,http://www.youtube.com/watch?v=_VZaST0XQTk,['2020. 5. 19.'],댓글 242개,3.7천개,55개,"
      13:05
    "
5,*쩌어번에 약속했던 메이크업이에요??(+홀맘 홀완규??),https://i.ytimg.com/vi/zTY-XTv5W4M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLATYVijYgCZSGsR5IbfUIoBFmtaVg,11만회,2주 전,http://www.youtube.com/watch?v=zTY-XTv5W4M,['2020. 5. 15.'],댓글 242개,3.7천개,55개,"
      16:35
    "
6,*??브이로그에 안 넣었던 B컷 일상 모음 편집본!??,https://i.ytimg.com/vi/9mNNQJq3IEs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBdGja5sroQEVpln7FOteWax5pr1w,13만회,3주 전,http://www.youtube.com/watch?v=9mNNQJq3IEs,['2020. 5. 13.'],댓글 242개,3.7천개,55개,"
      11:11
    "
7,*오전 9시에 해본 메이크업 디쥭박쥭 쌈바쌈바,https://i.ytimg.com/vi/48-KD-A9ooE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBT_Y0gyca0-VjabA-Ve76xZA2Pyw,11만회,3주 전,http://www.youtube.com/watch?v=48-KD-A9ooE,['2020. 5. 10.'],댓글 242개,3.7천개,55개,"
      25:01
    "
8,*[VLOG] 하마터면 다이어트 할 뻔.(월남쌈+세리미네+뚱김밥+뚱샌드위치+칼소폭매운맛+당근주스+혬&현),https://i.ytimg.com/vi/y35bTjwe7iY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAGbzZQk09LC3ahtZ7OwKNmiyr4kw,40만회,3주 전,http://www.youtube.com/watch?v=y35bTjwe7iY,['2020. 5. 7.'],댓글 242개,3.7천개,55개,"
      29:54
    "
9,"*우리 애 자랑 좀 해보자면요.. ??""라이크홀리""  Q&A!!",https://i.ytimg.com/vi/mj7lRdbJKBE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDCKRJozPXo4DiE8Q2J1swwEc_zFA,7.8만회,1개월 전,http://www.youtube.com/watch?v=mj7lRdbJKBE,['2020. 5. 3.'],댓글 242개,3.7천개,55개,"
      33:43
    "
