,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,선크림vs태닝오일 반반 바르고 태워봤습니다 feat.크레이브 뷰티,https://i.ytimg.com/vi/fxX2kHEVNRg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAlkQDZf-4xYnK_Mb4Y_nCmeScP7g,5.6만회,2일 전,http://www.youtube.com/watch?v=fxX2kHEVNRg,2020. 5. 30.,댓글 155개,855개,40개,"
      20:08
    "
1,"회사원의 단골 옷집, 하이지나미를 소개합니다",https://i.ytimg.com/vi/mXd9aAfyu4E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA-Nep9oxPJQBTBek30xHe5z9RlYg,7.5만회,3일 전,http://www.youtube.com/watch?v=mXd9aAfyu4E,2020. 5. 29.,댓글 158개,1.3천개,30개,"
      14:26
    "
2,피부를 위해 믹스커피??밀가루??튀김 끊어봤습니다 feat.닥터자르트,https://i.ytimg.com/vi/fWMpPjWIorU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDJ5_Xiy2Xx171iPEjcOmzjV6D_4w,13만회,1주 전,http://www.youtube.com/watch?v=fWMpPjWIorU,2020. 5. 22.,"댓글 1,173개",2.6천개,103개,"
      12:06
    "
3,설화수 어디까지 써 봤니? 설화수 브랜드 뽀개기!!,https://i.ytimg.com/vi/o8yLnvCBprw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDofsbGsyNxcuernxbeI53lltof_w,14만회,2주 전,http://www.youtube.com/watch?v=o8yLnvCBprw,2020. 5. 16.,"댓글 1,366개",3.9천개,84개,"
      15:40
    "
4,컴싸 아라...ㄱ나늬?...홍영기님께 10년 전 얼짱 화장 받아 봄,https://i.ytimg.com/vi/tG615YX-C88/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA9T5R03K06VNBVBbEMh5fZSUYzTw,56만회,2주 전,http://www.youtube.com/watch?v=tG615YX-C88,2020. 5. 15.,댓글 724개,8.1천개,155개,"
      11:36
    "
5,??파티복 유트루??행사의상 회사원A??패션계 양대산맥이 만났다! ZARA쇼핑 대결!!,https://i.ytimg.com/vi/TH2dC_yPcn4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA33zaC9IGj5tnjCoEbOf5Wu-i8GA,19만회,3주 전,http://www.youtube.com/watch?v=TH2dC_yPcn4,2020. 5. 9.,댓글 880개,5.7천개,86개,"
      14:22
    "
6,??급식체로 10대 인기템??급여체로 30대 인기템??으로 풀메이크업 해 봄,https://i.ytimg.com/vi/jA3nD8wGKaU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDyUg6vPAE2Vwz4H5KS2DgfZ6ZpSA,22만회,1개월 전,http://www.youtube.com/watch?v=jA3nD8wGKaU,2020. 5. 2.,댓글 699개,4.2천개,150개,"
      14:01
    "
7,화장솜 없이 클렌징의 좋은 예vs나쁜 예 제가 한 번 해 봤습니다,https://i.ytimg.com/vi/xi2Ns8Yzxcw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB0SwvVv6T7nitFoqH9tjMJlvdnMA,9.3만회,1개월 전,http://www.youtube.com/watch?v=xi2Ns8Yzxcw,2020. 4. 24.,댓글 150개,1.4천개,77개,"
      9:50
    "
8,레오제이님에게 화보메이크업 받아 봄,https://i.ytimg.com/vi/OfGtB_A-ZUk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD6WA603_XuHcx4PAH_5SZ_a1GG-Q,22만회,1개월 전,http://www.youtube.com/watch?v=OfGtB_A-ZUk,2020. 4. 18.,댓글 485개,4.6천개,109개,"
      20:48
    "
9,??젖은 머리 넣으면??마른 머리가 나오는??진공 드라이기 써 봄,https://i.ytimg.com/vi/FvgkXG5PeAU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCZH6pI0gruMLtj0FhchoDPpIGY8A,42만회,1개월 전,http://www.youtube.com/watch?v=FvgkXG5PeAU,2020. 4. 11.,댓글 461개,4.7천개,123개,"
      13:18
    "
10,회사원A의 홈캉스 3일 밀착 VLOG,https://i.ytimg.com/vi/J2Ys-lYn_e0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBXF9uGDsnAPbhPaaenwC1mrdaWKw,14만회,1개월 전,http://www.youtube.com/watch?v=J2Ys-lYn_e0,2020. 4. 4.,댓글 384개,2.6천개,96개,"
      19:09
    "
11,??인간 삼각김밥??,https://i.ytimg.com/vi/0-48ntcmV_o/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD8WuK0nLx39J4qMP6qM6ygMMzVvw,20만회,2개월 전,http://www.youtube.com/watch?v=0-48ntcmV_o,2020. 4. 1.,댓글 621개,3.5천개,113개,"
      11:38
    "
12,75만원짜리!! 자동으로 화장 지워주는 기계라굽쇼???,https://i.ytimg.com/vi/sjqDoSC6Fe4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCk1zGI3tOJDtX9bEDc6E9W7Mm4Yw,24만회,2개월 전,http://www.youtube.com/watch?v=sjqDoSC6Fe4,2020. 4. 1.,"댓글 1,330개",6.1천개,713개,"
      10:11
    "
13,기한 지난 화장품 뿌시는 ASMR,https://i.ytimg.com/vi/iBEuBEu0HNQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA24uXiyBgsCSTQN10PWL6jovRJYw,33만회,2개월 전,http://www.youtube.com/watch?v=iBEuBEu0HNQ,2020. 3. 27.,댓글 728개,5.7천개,251개,"
      20:26
    "
14,이게 250만원이라굽쇼? 에르메스 립스틱 써 봄,https://i.ytimg.com/vi/V5mD2iedQzI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDX65Q3pwSpU6WKaBuSsme49uALDA,73만회,2개월 전,http://www.youtube.com/watch?v=V5mD2iedQzI,2020. 3. 21.,댓글 918개,9.8천개,342개,"
      14:57
    "
15,세상에서 제일 비싼 85만원짜리 스위스퍼펙션 마스크팩 써 봄,https://i.ytimg.com/vi/1l1w5ADsuAs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA5CVKf1OTMV9eddUcGeJy2PI6ttA,27만회,2개월 전,http://www.youtube.com/watch?v=1l1w5ADsuAs,2020. 3. 20.,댓글 414개,5.1천개,135개,"
      16:31
    "
16,함경식 선생님에게??아이돌 뮤비촬영용 존버 메이크업??받아 봄feat.더마토리,https://i.ytimg.com/vi/KtFUgxQ3lik/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC5Me3D9cUzkw_wTcNMMEuTbqVqmw,42만회,2개월 전,http://www.youtube.com/watch?v=KtFUgxQ3lik,2020. 3. 14.,댓글 650개,7.8천개,179개,"
      18:54
    "
