,Unnamed: 0,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,0,(Eng|Esp?) 드라이브하면서 남자친구랑 Q&A (feat. 지프 랭글러 오버랜드) ??부끄?? feat. bf,https://i.ytimg.com/vi/DepxAACeZy0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBAGMkfBwh0cIbH0VviTkbsm0zz-g,7만회,4일 전,http://www.youtube.com/watch?v=DepxAACeZy0,2020. 5. 29.,댓글 231개,2.1천개,46개,"
      23:02
    "
1,1,(Eng|Esp?|Jpn cc) 쫀쫀 귤메이크업??하고 출근+인테리어쇼핑 Vlog????,https://i.ytimg.com/vi/7GjFqSKrLxA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA31Cz7P48HtBIWhIJWQ5CftBrkjg,6.8만회,1주 전,http://www.youtube.com/watch?v=7GjFqSKrLxA,2020. 5. 22.,댓글 329개,2.7천개,33개,"
      17:09
    "
2,2,다이어트 전 내가 먹은것들 ??꿀꿀 | what I ate these days,https://i.ytimg.com/vi/MSGc2V0QTNQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDugzwf8wb4G0Sq2Uxt0CM0NVB1-Q,6.3만회,2주 전,http://www.youtube.com/watch?v=MSGc2V0QTNQ,2020. 5. 18.,댓글 268개,1.7천개,32개,"
      24:11
    "
3,3,"지금까지 받아본 피부과 시술 후기 얘기하면서??  GRWM! (연어주사,팔뚝 지방분해 주사,더모톡신,리프팅)",https://i.ytimg.com/vi/Nx9fMtTnoo8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDncZXQXCZwwmZ21339EnAMsqrWww,12만회,2주 전,http://www.youtube.com/watch?v=Nx9fMtTnoo8,2020. 5. 14.,댓글 434개,5.2천개,48개,"
      17:23
    "
4,4,Color Therapy???? 파스텔톤 스프링 룩북,https://i.ytimg.com/vi/fD2RF-37Brw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCupHoP2kFZ0oLAy1HTSBz4tvq3Dw,8.8만회,3주 전,http://www.youtube.com/watch?v=fD2RF-37Brw,2020. 5. 8.,댓글 218개,4.1천개,32개,"
      5:01
    "
5,5,(Eng|Esp?) 요즘 자주하는 웨이브 잔뜩 넣고 핑끄 메이크업?? GRWM,https://i.ytimg.com/vi/7kCuhWiehYQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDDwfvOwMCAEOwXxAUt7WDYm43LEQ,7.3만회,1개월 전,http://www.youtube.com/watch?v=7kCuhWiehYQ,2020. 4. 29.,댓글 256개,3.3천개,17개,"
      12:20
    "
6,6,(Eng|Esp?) 사진빨 잘 받는 인스타 메이크업 ???? ?? Instagram Makeup,https://i.ytimg.com/vi/zIULQNrzbb0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAhtM9O3d_6uLqU_EqMvWvSO5DG-Q,14만회,1개월 전,http://www.youtube.com/watch?v=zIULQNrzbb0,2020. 4. 24.,댓글 291개,6.2천개,45개,"
      7:10
    "
7,7,"(Eng|Esp?) 그냥 요즘 내 일상???? | 뉴자동차(?),출근일상,후추랑후추후추 | Daily Vlog",https://i.ytimg.com/vi/h8BcrhWknSI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCEbAhgDGF2njTbp-EbVcWJ__kblA,17만회,1개월 전,http://www.youtube.com/watch?v=h8BcrhWknSI,2020. 4. 18.,댓글 413개,5.1천개,85개,"
      16:12
    "
8,8,En Espa?ol! (너무 힘들었던..ㅎ) 스페인어로 말하면서 하는 GRWM????,https://i.ytimg.com/vi/9UsP_qyRHDw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAp1lBsqn7LYCLTEsDtHCkXrO5o5Q,27만회,1개월 전,http://www.youtube.com/watch?v=9UsP_qyRHDw,2020. 4. 10.,"댓글 2,556개",2.1만개,73개,"
      10:44
    "
9,9,(Esp?|Eng) 포근한 복숭아 메이크업?? Peach Makeup,https://i.ytimg.com/vi/C7l9S09zLI8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDJqSyD2Mb_tzmaHM5Xt3VyvB9W1g,15만회,2개월 전,http://www.youtube.com/watch?v=C7l9S09zLI8,2020. 4. 2.,댓글 384개,6.9천개,65개,"
      12:50
    "
10,10,(Esp?|Eng) 알록달록 봄 츄리닝 하울???? | Colorful outfits!,https://i.ytimg.com/vi/VhSjG1uQoIQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDvKDeuyj6vbVfKhLto1zrYrBOeVQ,7.5만회,2개월 전,http://www.youtube.com/watch?v=VhSjG1uQoIQ,2020. 3. 25.,댓글 209개,2.9천개,30개,"
      11:06
    "
