,name,thumbnail,view,previous_time,video_url,comment,likes_num,unlikes_num,time_duration,start_date2
0,출시한지 10년 지난 '명품 레전드폰'을 미개봉으로 구했습니다. LG 프라다폰 3.0 언빡싱!,https://i.ytimg.com/vi/BiYwkW20DbA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB548-S3cOKpkBEnOdqTiN15hIY9w,50만회,21시간 전,http://www.youtube.com/watch?v=BiYwkW20DbA,"댓글 2,890개",7천개,191개,"
      15:45
    ",2020. 6. 1.
1,870g..미쳤습니까 휴먼..? 100만원대 노트북계 생태계 교란종 ASUS B9 일주일 사용기!,https://i.ytimg.com/vi/LFk33sFmMhQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB9UzHeD_LrbQnOwyQCP7wa87s5nQ,49만회,2일 전,http://www.youtube.com/watch?v=LFk33sFmMhQ,"댓글 1,485개",6.6천개,204개,"
      13:52
    ",2020. 5. 30.
2,가성비 쩝니다.. 3만원짜리 조명 하나로 게이밍? 컴퓨터 책상 갬성(?)넘치도록 멋있게 만드는법! (오만상사),https://i.ytimg.com/vi/ZtCwPETdFz0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCCrOLeFte3r8NSYAAR-k5Xb7tudQ,42만회,5일 전,http://www.youtube.com/watch?v=ZtCwPETdFz0,"댓글 1,570개",5.9천개,125개,"
      10:13
    ",2020. 5. 27.
3,미친 업데이트...아이폰에 곧 '애플페이 & 통화녹음' 가능해질까? 현재 이슈중인 2가지 루머 총정리!,https://i.ytimg.com/vi/aPaNfD2JpXE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBKzeJIJFu7X2eW7-Cn7twVMFDsIQ,63만회,1주 전,http://www.youtube.com/watch?v=aPaNfD2JpXE,"댓글 2,291개",7.9천개,223개,"
      8:47
    ",2020. 5. 25.
4,아.. 또 사기 당했다. 초대형 에어팟 프로를 4만원에 팔길래 사봤습니다.,https://i.ytimg.com/vi/q6kQ9pmBXWY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDRQbWNO42pF5IE-M90_BlhCZP8JA,67만회,1주 전,http://www.youtube.com/watch?v=q6kQ9pmBXWY,"댓글 2,549개",9.1천개,270개,"
      8:18
    ",2020. 5. 23.
5,에어컨에서 바람이 안나와요? AI 스피커까지 달린 700만원짜리 삼성 무풍 갤러리 에어컨 설치했습니다.,https://i.ytimg.com/vi/Rylf88ODVV0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAIQjRlc7glMMahqjHl4lw8rO_fkQ,43만회,1주 전,http://www.youtube.com/watch?v=Rylf88ODVV0,"댓글 1,489개",5.7천개,213개,"
      9:04
    ",2020. 5. 20.
6,앗! CPU 신발보다 싸다! 엄청 예쁘고 쪼끄만 가성비 '게이밍 컴퓨터' 조립하기! (feat. AMD 라이젠3 3300X) #1,https://i.ytimg.com/vi/OEBf7klDNNA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBFp9fnxjeaIzuyi9MQUL_fx--gXg,62만회,2주 전,http://www.youtube.com/watch?v=OEBf7klDNNA,"댓글 1,633개",7.4천개,225개,"
      12:19
    ",2020. 5. 18.
7,삼성의 진짜 아이폰 SE 대항마?! 50만원대 '갤럭시 A51 5G' 언빡싱&살펴보기!,https://i.ytimg.com/vi/r9I_K1vfb54/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLACyH3s9mQDVtJQWPjhyFOL0GtDfA,65만회,2주 전,http://www.youtube.com/watch?v=r9I_K1vfb54,"댓글 2,601개",7.7천개,232개,"
      13:35
    ",2020. 5. 16.
8,출시하기도 전에 망한 스마트폰? 전설의 현대카드 x 팬택 콜라보 스마트폰을 구해왔습니다.,https://i.ytimg.com/vi/B3vxniv9dPY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCr-uARN625CypkuY5OcLZh2wskIA,71만회,2주 전,http://www.youtube.com/watch?v=B3vxniv9dPY,"댓글 2,167개",7.2천개,228개,"
      10:07
    ",2020. 5. 14.
9,삼성 S펜 200% 활용하는 법? 욕하니 드디어 패치해준 가성비 '갤럭시탭 S6 Lite' 떡상 업데이트 소식,https://i.ytimg.com/vi/IMrSxBuVCjA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBrxu1KKNm9tsUrevBP_QBxeMPDGg,40만회,3주 전,http://www.youtube.com/watch?v=IMrSxBuVCjA,"댓글 1,544개",5.5천개,118개,"
      7:14
    ",2020. 5. 11.
