,name,thumbnail,view,previous_time,video_url,comment,likes_num,unlikes_num,time_duration,start_date2
0,50M 상공! 창문 밖을 닦아주는 로봇청소기! 떨어지면 어떡해..?!,https://i.ytimg.com/vi/XhZKdYw-L9g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDxbH4jjSt1nlvx5OwRrTR2GZ3bZw,5.3만회,2일 전,http://www.youtube.com/watch?v=XhZKdYw-L9g,댓글 518개,1.2천개,44개,"
      10:02
    ",2020. 5. 31.
1,15만원에 공수해온 짝퉁 갤럭시S20 울트라 언박싱! [100배줌 ㅆㄱㄴ?!],https://i.ytimg.com/vi/sK67JOpTIPE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCNXoZ0gSa4Th1vm89qYAucc6EGtg,8.6만회,3일 전,http://www.youtube.com/watch?v=sK67JOpTIPE,댓글 585개,1.8천개,88개,"
      10:35
    ",2020. 5. 29.
2,아이폰12는 맛보기?! 애플의 미친 신제품! 애플 글라스가 유출됐다! [디자인/사용법/한정판/스펙/가격/출시일 등!],https://i.ytimg.com/vi/CMX78TKThxw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAL4c9UvP2L1BLSFIgEm4BD1aQV_A,20만회,6일 전,http://www.youtube.com/watch?v=CMX78TKThxw,"댓글 1,275개",3.4천개,238개,"
      10:58
    ",2020. 5. 26.
3,LG벨벳 언박싱! 그리고..절대 사지 말아야 하는 이유 6가지!,https://i.ytimg.com/vi/6MPgs-IVu9o/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAuCIGZma1S2911nXA8i6UnbjV9yA,14만회,1주 전,http://www.youtube.com/watch?v=6MPgs-IVu9o,"댓글 1,584개",2.8천개,391개,"
      13:32
    ",2020. 5. 23.
4,"스트레스야 잘가라! 아이폰, 마스크 착용하고 잠금해제 하는 아주 신박한 방법 3가지!",https://i.ytimg.com/vi/9aQ5fEbS7j4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAElptk2oX6vVjlNoB2Ruow4oVpmQ,11만회,1주 전,http://www.youtube.com/watch?v=9aQ5fEbS7j4,댓글 517개,2.2천개,105개,"
      7:24
    ",2020. 5. 21.
5,내 스마트폰이 좋은지 안좋은지 확인하는 아주 신박한 방법! 요즘 인기 쩌~~는 '금붕어 TEST',https://i.ytimg.com/vi/5JYEd1ZYans/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAFg3gt49FXnOqQYKdEZsAtqOXW0g,18만회,2주 전,http://www.youtube.com/watch?v=5JYEd1ZYans,"댓글 3,366개",2.4천개,130개,"
      6:04
    ",2020. 5. 16.
6,아이폰12 유출! [저렴한가격/새로운색상/각진디자인/120Hz/카메라/스펙/5G/출시일 등등!],https://i.ytimg.com/vi/k30dlzq7q-U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAYya5NLpQogmGtCvL1iR938rcHJQ,51만회,2주 전,http://www.youtube.com/watch?v=k30dlzq7q-U,"댓글 2,052개",6.6천개,482개,"
      10:08
    ",2020. 5. 15.
7,1억 5천만원! 테슬라 모델X로 차 바꿨습니다. 사야 하는 이유 VS 사지 말아야 하는 이유!,https://i.ytimg.com/vi/0iprwoT5byE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC9O12i8ghXMkLl1BiINVEHEfDilg,16만회,2주 전,http://www.youtube.com/watch?v=0iprwoT5byE,댓글 791개,2.5천개,239개,"
      18:37
    ",2020. 5. 12.
8,'LG벨벳' 팩트폭행! 그래도 이건 좀 아니지..;,https://i.ytimg.com/vi/dHizaGyk_ms/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCPLPhfeZXxSn7mJkF748qkxoCIMA,8.9만회,3주 전,http://www.youtube.com/watch?v=dHizaGyk_ms,댓글 929개,1.8천개,280개,"
      7:52
    ",2020. 5. 9.
9,아이폰SE 판매자도 모른다?! [구매자는 필수로 알아야 할 꿀팁 대공개!],https://i.ytimg.com/vi/6s_O4jg7Kyc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBzWO_XAnX0ZGjREPX00MaAZVnycQ,13만회,3주 전,http://www.youtube.com/watch?v=6s_O4jg7Kyc,댓글 844개,2.8천개,216개,"
      10:20
    ",2020. 5. 5.
10,케이스계의 애플?! 생폰느낌 끝판왕?! 혁신으로 무장한 쩌는 케이스가 나타났다! [청량케이스 리뉴얼 완료&라인업 확대!],https://i.ytimg.com/vi/cgpWvi32wNE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCmUEQAnG1MifvN34u-iTrD49L0Ig,23만회,1개월 전,http://www.youtube.com/watch?v=cgpWvi32wNE,"댓글 39,092개",6.6천개,923개,"
      17:38
    ",2020. 4. 29.
11,갤럭시 Z 플립 톰브라운 에디션 언빡싱! Galaxy Z Flip [THOM BROWNE EDITION] UNBOXING!,https://i.ytimg.com/vi/mphwDTUJ8Fo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBjxTcif3VJrh5HenQGQ3v1Cn4H9w,28만회,2개월 전,http://www.youtube.com/watch?v=mphwDTUJ8Fo,"댓글 1,722개",4.5천개,390개,"
      16:57
    ",2020. 3. 13.
12,165만원에 구입한 갤럭시Z플립! 디자인...실화냐?!,https://i.ytimg.com/vi/7s-q9A8aKto/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDYqKSjTfpTBp-BZD_3hcJ5OE8QNw,16만회,2개월 전,http://www.youtube.com/watch?v=7s-q9A8aKto,댓글 645개,2.7천개,223개,"
      12:19
    ",2020. 3. 4.
13,갤럭시 S20은 LG U+에서 사야겠네요...한정판 '클라우드 핑크' 리뷰! 사전예약 혜택까지?!,https://i.ytimg.com/vi/iLr_07h24wo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAqR2KJm6bMxIDuePRp3RBysV6jrA,16만회,3개월 전,http://www.youtube.com/watch?v=iLr_07h24wo,댓글 988개,2.9천개,177개,"
      7:47
    ",2020. 2. 19.
14,갤럭시S20 / S20+ / S20 Ultra / 갤럭시버즈+ / 문화상품권을 전부 다 드립니다!,https://i.ytimg.com/vi/Ppe99FFZ0rU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA49pU33JKWS27YGSBlTEYzBGm7vg,8.6만회,3개월 전,http://www.youtube.com/watch?v=Ppe99FFZ0rU,"댓글 1,002개",3.9천개,133개,"
      9:42
    ",2020. 2. 18.
15,'청량 케이스' 감사인사 / 주의사항 / 정식판매 / 배송안내 등등!,https://i.ytimg.com/vi/nIfptoUxNJc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB-Gcy4_-CLapFOfIohZKRLuCps9A,11만회,3개월 전,http://www.youtube.com/watch?v=nIfptoUxNJc,댓글 926개,1.8천개,541개,"
      1:35
    ",2020. 2. 13.
