,name,thumbnail,view,previous_time,video_url,comment,likes_num,unlikes_num,time_duration,start_date2
0,친구 대여 금지🙅🙅‍♂️;;; 안드로이드 10에서 절대 이 배경 설정하지 마세요!! [4K],https://i.ytimg.com/vi/XskG3IkkqYo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBJ65Ax_DICBKpwZRz2nPW4R92Pjg,13만회,1일 전,http://www.youtube.com/watch?v=XskG3IkkqYo,댓글 850개,2.3천개,53개,"
      5:58
    ",2020. 6. 1.
1,교육용 태블릿은~ 갤럭시 탭S6 라이트 리뷰 [4K],https://i.ytimg.com/vi/8mBP5H9YdFs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-RCOg57lHU0vhdIr7Z1tMEAd2WA,7.8만회,4일 전,http://www.youtube.com/watch?v=8mBP5H9YdFs,댓글 496개,1.3천개,42개,"
      12:12
    ",2020. 5. 28.
2,이마에 점 찍고 돌아왔다!! 홍미 노트 9S 개봉기 [4K],https://i.ytimg.com/vi/2TSJTGr-9YU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDVZLYhNjPoh2B69tHIjWk8MCGFhA,9.8만회,1주 전,http://www.youtube.com/watch?v=2TSJTGr-9YU,댓글 582개,1.6천개,75개,"
      11:38
    ",2020. 5. 25.
3,삼성 갤럭시 A31 리뷰: 으 답답해 [4K],https://i.ytimg.com/vi/pLQw5ijoQjw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB-QFE7sw69guPgTjia2kA48PRbOw,12만회,1주 전,http://www.youtube.com/watch?v=pLQw5ijoQjw,"댓글 1,125개",1.8천개,81개,"
      12:24
    ",2020. 5. 24.
4,스피커도 고쳤네?? 갤럭시 S20 울트라 5G 카메라 업데이트 프리뷰 [4K],https://i.ytimg.com/vi/govll0RXPNM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBKNvsIWVRuHgzFHYgFps9YA4-SYA,10만회,1주 전,http://www.youtube.com/watch?v=govll0RXPNM,댓글 786개,1.7천개,40개,"
      4:37
    ",2020. 5. 22.
5,코로나19 대응!! iOS 13.5 업데이트 프리뷰 [4K],https://i.ytimg.com/vi/bheAqFY8H0c/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCkx743El66wTD1j_ZcUxpQ1ZOtlQ,11만회,1주 전,http://www.youtube.com/watch?v=bheAqFY8H0c,댓글 451개,1.7천개,46개,"
      3:41
    ",2020. 5. 21.
6,저렴이 TV에 맞는 귀여운 사운드바!!🔊🔊보스 솔로 5 개봉기 [4K],https://i.ytimg.com/vi/4Nv3Xq2Dxhc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAzCJSGi0vbOYTis1ykg8ZWNS1Kaw,5.8만회,1주 전,http://www.youtube.com/watch?v=4Nv3Xq2Dxhc,댓글 200개,909개,24개,"
      7:14
    ",2020. 5. 19.
7,화소빨에 속지말자. 모토로라 원 하이퍼 리뷰 [4K],https://i.ytimg.com/vi/-HmXvm7m9DI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBp7dFwqG9XGBx9FzCMtf3TXseoaw,7.6만회,2주 전,http://www.youtube.com/watch?v=-HmXvm7m9DI,댓글 212개,1.1천개,35개,"
      9:20
    ",2020. 5. 18.
8,G9 대신 왔다! LG 벨벳 개봉기 [4K],https://i.ytimg.com/vi/yxUpwKtQiis/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDmMrePV8Off8BqPKqhskVEXJwMAA,27만회,2주 전,http://www.youtube.com/watch?v=yxUpwKtQiis,"댓글 2,145개",3.6천개,177개,"
      10:09
    ",2020. 5. 15.
9,아이폰 SE(2세대) 리뷰: 중급형 뒤집기 [4K],https://i.ytimg.com/vi/lEOVrRJsyh0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAYJoezd6DPQVaGmnVa4uZSlve80Q,26만회,2주 전,http://www.youtube.com/watch?v=lEOVrRJsyh0,"댓글 1,655개",3.6천개,177개,"
      12:48
    ",2020. 5. 13.
10,성능 하극상!! A71보다 좋은 갤럭시 A51 5G 개봉기 [4K],https://i.ytimg.com/vi/yNDCctmfsnw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBtBHiTn1hTedM6zYP5J4a8RvBRvQ,21만회,3주 전,http://www.youtube.com/watch?v=yNDCctmfsnw,댓글 921개,2.3천개,140개,"
      9:16
    ",2020. 5. 9.
11,족보는 꼬였지만 가성비 S펜 태블릿?? 갤럭시 탭S6 라이트 개봉기 [4K],https://i.ytimg.com/vi/8BtrQBR8fGs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCZUO8Gr7fuZXn1o1qM8RTnfyrMmQ,11만회,3주 전,http://www.youtube.com/watch?v=8BtrQBR8fGs,댓글 456개,1.5천개,83개,"
      8:29
    ",2020. 5. 6.
12,S20 닮은 보급형?? 5000mAh 배터리 갤럭시 A31 개봉기 [4K],https://i.ytimg.com/vi/WMGbxqhPeo8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBjy-gcS0hyt9xh9f54_a9cnZ1FAA,18만회,3주 전,http://www.youtube.com/watch?v=WMGbxqhPeo8,댓글 897개,2천개,101개,"
      7:41
    ",2020. 5. 5.
13,"당장 코스트코로! 699,000원짜리 65"" 안드로이드 TV, TCL P8S 개봉기 [4K]",https://i.ytimg.com/vi/zsWVkGlnk_I/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC9SQwv82aJsIawR9tmKEuZoFcYgQ,16만회,4주 전,http://www.youtube.com/watch?v=zsWVkGlnk_I,댓글 365개,1.8천개,121개,"
      11:29
    ",2020. 5. 4.
14,노트북도 리사~수!! ROG 제피루스 G14 (2020) 개봉기 [4K],https://i.ytimg.com/vi/JUpwCqOBYjQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC3n48T00szhkhjh96wYqeE4mMxNQ,13만회,4주 전,http://www.youtube.com/watch?v=JUpwCqOBYjQ,댓글 346개,1.7천개,57개,"
      12:43
    ",2020. 5. 3.
15,솜사탕에 벌꿀을?? 스파이더 캔디 프리뷰 [4K],https://i.ytimg.com/vi/IVpXaQviIGk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCB7tyOOcbYKjIkZeCDM6C8uIcTtw,5.7만회,1개월 전,http://www.youtube.com/watch?v=IVpXaQviIGk,댓글 566개,1.5천개,79개,"
      5:15
    ",2020. 5. 1.
16,AI 비서 내장 피처폰! LG 폴더 2 개봉기 [4K],https://i.ytimg.com/vi/dZsHYG-Fh98/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAvMENviywqXWy3VKPIUi338gO5hw,19만회,1개월 전,http://www.youtube.com/watch?v=dZsHYG-Fh98,댓글 802개,2.1천개,88개,"
      10:12
    ",2020. 4. 30.
17,아이폰 SE(2세대) vs. 아이폰 8 모든 색깔 비교!! [4K],https://i.ytimg.com/vi/7ISBRPjx6cM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC2i7EUgHxnCOzxiZ9W99EH7Oj8WA,25만회,1개월 전,http://www.youtube.com/watch?v=7ISBRPjx6cM,댓글 925개,3천개,113개,"
      5:17
    ",2020. 4. 28.
18,팔 때마다 손해?? 화웨이 폴더블 폰 메이트 Xs 개봉기 [4K],https://i.ytimg.com/vi/MCtOUPyzpck/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCnNrSFUsmMzRIFRirNV0D7dkj36w,43만회,1개월 전,http://www.youtube.com/watch?v=MCtOUPyzpck,"댓글 1,971개",4.3천개,252개,"
      13:20
    ",2020. 4. 27.
19,이 가격 이 성능에 이 베젤을?? 아이폰 SE (2세대) 개봉기 [4K],https://i.ytimg.com/vi/7r8mu3Ub0J4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLASylmnZqqc3eBzIw8VncRh3YFW-A,70만회,1개월 전,http://www.youtube.com/watch?v=7r8mu3Ub0J4,"댓글 2,846개",7.1천개,510개,"
      7:59
    ",2020. 3. 1.
