,name,thumbnail,view,previous_time,video_url,comment,likes_num,unlikes_num,time_duration,start_date2
0,26만원?! 갓성비 스마트폰  샤오미 홍미노트9s 직구냐 정발이냐? 그것이 문제로다!,https://i.ytimg.com/vi/0Up4pQ2uYSY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBvWG2QPk7JaXhEiXMvkXJBVLrQIw,1.4만회,3일 전,http://www.youtube.com/watch?v=0Up4pQ2uYSY,댓글 149개,371개,17개,"
      10:02
    ",2020. 5. 30.
1,외계에서 오셨나요? 완전 유니크한 ITX 게이밍PC를 조립해 봤습니다! [5월 말방구PC],https://i.ytimg.com/vi/ZSbGePH_bhA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBbXc1Hs6q3_-UM-XNkxphrNJ-ztg,1.9만회,6일 전,http://www.youtube.com/watch?v=ZSbGePH_bhA,댓글 122개,410개,17개,"
      7:19
    ",2020. 5. 27.
2,갓성비 풀사이즈 무선 기계식키보드 작업부터 게임까지! 5월 말방구 키보드,https://i.ytimg.com/vi/UN1W-_Dh9Fg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB15WNMQEoJsO2gUvdvNtY5m7ajpA,2.9만회,1주 전,http://www.youtube.com/watch?v=UN1W-_Dh9Fg,댓글 123개,543개,24개,"
      9:09
    ",2020. 5. 23.
3,모던PC 노트북4종 비교 갤럭시북플렉스?이온? 20년형 그램17 아니면 삼성노트북플러스?,https://i.ytimg.com/vi/9MhPL1HuRoA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBoODDDw0wOttFHFBgL87SHVKqakA,2만회,1주 전,http://www.youtube.com/watch?v=9MhPL1HuRoA,댓글 92개,266개,27개,"
      10:11
    ",2020. 5. 21.
4,대박 ASUS TUF FA506IV 게이밍노트북 미친스펙에 이가격이 말이 된다고 생각해? (빅스마일데이 할인중),https://i.ytimg.com/vi/3eHsh3McR-w/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBV8DcMF32_wts5AkNzcY2nO-BpRw,5.6만회,2주 전,http://www.youtube.com/watch?v=3eHsh3McR-w,댓글 322개,816개,34개,"
      8:03
    ",2020. 5. 19.
5,LG벨벳 스마트폰 DEX모드를 지원하잖아! 상품페이지에 없는 숨은기능! 꼭 안알려줘야만 했느야?!,https://i.ytimg.com/vi/4apubp2q3K8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA3BS7QTlOlaz6x6v0RvJM3mf8gBg,3.7만회,2주 전,http://www.youtube.com/watch?v=4apubp2q3K8,댓글 219개,675개,43개,"
      7:34
    ",2020. 5. 15.
6,레알 18년전 노트북 맞아? 도킹스테이션을 지원하는 삼성SENS Q760  설마 스타크래프트가 돌아갈까? [응답하라 테크],https://i.ytimg.com/vi/vP3xJheSWdE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBFbbciBXW6BWvBsA92-gGO7Xueeg,3.4만회,2주 전,http://www.youtube.com/watch?v=vP3xJheSWdE,댓글 229개,547개,19개,"
      10:23
    ",2020. 5. 14.
7,말방구라이브 코로나19 함께 극복해요! feat 삼양렌즈 (75mm f1.8) 렌즈1개 BHC 치킨20마리 머그잔20개 이벤트 종료,https://i.ytimg.com/vi/qdf4xi37Z5Y/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB-6KHPoq7nRSUqWVymkScvLNEXRQ,4.6천회,3주 전,http://www.youtube.com/watch?v=qdf4xi37Z5Y,댓글 127개,153개,4개,"
      1:04:56
    ",2020. 5. 10.
8,LG 벨벳 스마트폰 달라진 듀얼스크린과 액티브펜의 조합! 전체적인 성능은?,https://i.ytimg.com/vi/ACrLRIVg540/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDqvpNE4uQGbc7lF-eWiNnSiXFeIg,11만회,3주 전,http://www.youtube.com/watch?v=ACrLRIVg540,댓글 701개,1.6천개,205개,"
      7:58
    ",2020. 5. 9.
9,LG 벨벳 스마트폰 함께 감상해요! 이벤트 벨벳1대+던킨20개는 덤! 댓글12시 마감됩니다!,https://i.ytimg.com/vi/s0R0yyw6o7Y/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCpfjHTcNHffczXXOqNsZZ70U92eQ,1.5만회,3주 전,http://www.youtube.com/watch?v=s0R0yyw6o7Y,댓글 751개,477개,19개,"
      32:10
    ",2020. 5. 6.
