,name,thumbnail,view,previous_time,video_url,comment,likes_num,unlikes_num,time_duration,start_date2
0,내돈주고 삼! LG 게이밍모니터 2대면 할 수 있는 기능! 32인치 모니터 살때는 이거 사세요!,https://i.ytimg.com/vi/MoP2w-LSzDU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLADQKtDKChZipK-d5Pfe7CpDlfhJA,74회,21시간 전,http://www.youtube.com/watch?v=MoP2w-LSzDU,댓글 9개,6개,0개,"
      6:01
    ",2020. 6. 2.
1,알람 시계 라디오 되는 레트로 감성 입은 무선 블루투스 스피커 에이투 AT331! 이벤트,https://i.ytimg.com/vi/1cH7VyJBi8c/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAeSyADyt7F_nQ6krRFKhI2eXN9Qg,238회,2주 전,http://www.youtube.com/watch?v=1cH7VyJBi8c,댓글 37개,29개,1개,"
      5:04
    ",2020. 5. 18.
2,세균도 잡는 공기청정기가 필요한 이유! 캐리어 클라윈드 공기청정기 써보니,https://i.ytimg.com/vi/2f0Qfp9G81Y/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB8rjoZn3X7TRIL8CY6gs9qqyfs3Q,144회,3주 전,http://www.youtube.com/watch?v=2f0Qfp9G81Y,댓글 18개,12개,1개,"
      8:14
    ",2020. 5. 11.
3,[최초공개] LG 벨벳 신박한 개봉기 (feat. 싹다 바꿔버렸다! LG VELVET Unboxing),https://i.ytimg.com/vi/gLx8Tf8_FKU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBdzlh114WFWU3QToxLshaUJvPntg,1.7천회,3주 전,http://www.youtube.com/watch?v=gLx8Tf8_FKU,댓글 27개,36개,7개,"
      6:54
    ",2020. 5. 6.
4,LG 코드제로 A9S 청소기 업그레이드 했다!! 개봉기 맛집 (feat.  A9 무선청소기 3년차 첫느낌),https://i.ytimg.com/vi/wZLJ7WfBwnI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCh2Z5Ubvr1APPqN9K0Nc4EnbVV_g,1.8천회,1개월 전,http://www.youtube.com/watch?v=wZLJ7WfBwnI,댓글 29개,22개,6개,"
      11:03
    ",2020. 4. 25.
5,"스마트폰 구매 할인 받는 방법! 아이폰11, 갤럭시S20 최신폰 구매할 때 호갱되지 않기",https://i.ytimg.com/vi/dMI2drpe3Vo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC49YAQ5sfjw9Psw-aI0XKSSz1Usw,414회,1개월 전,http://www.youtube.com/watch?v=dMI2drpe3Vo,댓글 37개,17개,1개,"
      7:17
    ",2020. 4. 22.
6,"아이폰11, 갤럭시S20 와이파이 속도 높이기! 메시 와이파이6 공유기 링크시스 MX5300! (구독자 이벤트 선물)",https://i.ytimg.com/vi/agdauWPB0ns/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBd_bD6HLILFx4Cz-wXEFKhXIlLyQ,510회,1개월 전,http://www.youtube.com/watch?v=agdauWPB0ns,댓글 60개,45개,1개,"
      12:21
    ",2020. 4. 13.
7,"넷기어 RAX80, UFO 닮은 50만원대 최상위 공유기! 왜 공짜 공유기 대신 사제공유기를 쓰는가",https://i.ytimg.com/vi/xJy6ivCwMtY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBW4pgWWTQy86aIrKVurpBr880NQw,290회,1개월 전,http://www.youtube.com/watch?v=xJy6ivCwMtY,댓글 17개,17개,0개,"
      11:49
    ",2020. 4. 3.
8,방수스피커를 물밖에서 들릴까? 아웃도어 휴대용 방수 블루투스 스피커 에이투 AT351,https://i.ytimg.com/vi/DIx1T782WBM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAMHICL1BpVeWuom_oPYVmctW9jsQ,316회,2개월 전,http://www.youtube.com/watch?v=DIx1T782WBM,댓글 43개,34개,1개,"
      9:27
    ",2020. 3. 26.
9,인텔 9세대 i7-9700K CPU 오버클럭 하면 개이득인 이유? (i5-9600KF VS 시네벤치 점수비교! 컴퓨터 PC 조립 초보자도 쉽다),https://i.ytimg.com/vi/Mh_BX_A3pbs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAfxHgRZtPdheWx9HfUHtfeE-TqTA,552회,2개월 전,http://www.youtube.com/watch?v=Mh_BX_A3pbs,댓글 15개,9개,0개,"
      9:46
    ",2020. 3. 21.
10,"갤럭시S20 울트라 구매하고 받은 사은품 공개!!! (네모닉 미니, 갤럭시 홈 미니 득템일까? 아님 흑우?)",https://i.ytimg.com/vi/F3Bhcrgiqd0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD3tQisMaINCU1mYXtWIaD1cLmbWQ,510회,2개월 전,http://www.youtube.com/watch?v=F3Bhcrgiqd0,댓글 9개,11개,0개,"
      11:56
    ",2020. 3. 20.
11,폴더블폰 원조와 갤럭시 Z플립 사용기! 갤럭시 Z 플립 VS LG V50S 비교 리뷰  | Galaxy Z Flip vs LG V50S,https://i.ytimg.com/vi/fNHxqT_wYGM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAhbWDedyf31FtN-FVC1mffmQq8iA,665회,2개월 전,http://www.youtube.com/watch?v=fNHxqT_wYGM,댓글 9개,10개,0개,"
      8:16
    ",2020. 3. 14.
12,프리미엄 만들어버리는 보급형스마트폰 클라쓰~ LG Q51 30만원대 가성비 스마트폰 써봤더니,https://i.ytimg.com/vi/MSBUuGbxMGs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDRijG2PDl1ysgkA5KzO3h9PSU3aQ,1천회,2개월 전,http://www.youtube.com/watch?v=MSBUuGbxMGs,댓글 11개,22개,0개,"
      15:12
    ",2020. 3. 10.
13,[4K] 갤럭시 Z플립 색상 초근접 4K촬영!! 정장하고 잘어울릴까? [Galaxy Z Flip 미러퍼플 넌 너무 이뻐!],https://i.ytimg.com/vi/eAWKoARMEZ0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDFTAY8qqCyFGm_vdYFKY4gI_hGWA,734회,2개월 전,http://www.youtube.com/watch?v=eAWKoARMEZ0,댓글 14개,12개,1개,"
      13:12
    ",2020. 3. 3.
14,갤럭시 Z플립 사용법! 필수 초기설정 꼭하세요! [Galaxy Z Flip Tip 후기 활용팁 6가지],https://i.ytimg.com/vi/naGjP-f6wSY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCj4DaVFMGlY4zqSXw1qNk74br0gQ,8.3천회,3개월 전,http://www.youtube.com/watch?v=naGjP-f6wSY,댓글 26개,89개,5개,"
      12:05
    ",2020. 3. 2.
15,갤럭시S20 울트라 리뷰! 갤럭시 Z플립 소개는 덤! [Galaxy S20 Ultra VS Galaxy Z Flip Unboxing],https://i.ytimg.com/vi/edApgxR0SOg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBXao3DC5HQkOEc2S8JC-V32E8Mqw,1.3천회,3개월 전,http://www.youtube.com/watch?v=edApgxR0SOg,댓글 14개,17개,1개,"
      10:48
    ",2020. 2. 29.
16,"갤럭시S20 울트라 강화유리 무엇을 붙일까? (완벽 돔글라스 부착법! 물결, 주름문제, 터치불량 Galaxy S20 Ultra Tempered Glass)",https://i.ytimg.com/vi/CXqDaEfFDMg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBQYfm4F9CUQBaAWiwuIFpQUH8uPA,1.3만회,3개월 전,http://www.youtube.com/watch?v=CXqDaEfFDMg,댓글 51개,81개,12개,"
      13:24
    ",2020. 2. 26.
17,"갤럭시 S20 카메라 스페이스줌 어디까지 될까? (도촬, 망원 카메라의 경계[Galaxy S20 Review])",https://i.ytimg.com/vi/-90blh5Jm_I/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAIhSf5_3zuTgSemEXz0HaFZ4U1-A,3천회,3개월 전,http://www.youtube.com/watch?v=-90blh5Jm_I,댓글 15개,26개,6개,"
      7:40
    ",2020. 2. 22.
