,name,thumbnail,view,previous_time,video_url,comment,likes_num,unlikes_num,time_duration,start_date2
0,NuType F1 | 맥북프로 타이핑하다 신경질 난 사람이 만든 키보드,https://i.ytimg.com/vi/na2uK_sCZHw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAiqCjOxebI9HFS2BZGySHp6qdf-w,3.6만회,1일 전,http://www.youtube.com/watch?v=na2uK_sCZHw,"댓글 1,503개",951개,29개,"
      7:44
    ",2020. 6. 1.
1,시놀로지 DS620 Slim | 거실용 완벽 무소음 나스 만들기,https://i.ytimg.com/vi/JgPoTKuFQ8k/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAXTAZwJQQJWxAsV-CmYD_a3wI3pA,1.9만회,4일 전,http://www.youtube.com/watch?v=JgPoTKuFQ8k,댓글 213개,517개,14개,"
      6:51
    ",2020. 5. 29.
2,소니 ZV-1 | 야 RX100에 뷰티효과는 반칙아니냐,https://i.ytimg.com/vi/czIYtpt-D-4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCtksXHUN1elvESxYXt9U4LbXL3Ig,2.3만회,1주 전,http://www.youtube.com/watch?v=czIYtpt-D-4,댓글 335개,612개,53개,"
      10:48
    ",2020. 5. 26.
3,브라운 IPL 제모의료기기 | 필요해서 하는 진정성 충만 소개,https://i.ytimg.com/vi/Ash_PBCapa0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLACFsviIx9fthaif-nsrlqB7dBE0A,7천회,1주 전,http://www.youtube.com/watch?v=Ash_PBCapa0,댓글 88개,192개,10개,"
      3:55
    ",2020. 5. 23.
4,심심한데 케이스나 바꾸면서 수다 좀 떨까요? feat. CASETiFY,https://i.ytimg.com/vi/VqelzLIomvM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC32faRd5zalkQTZzamm5Fc7RG6eQ,9.3천회,1주 전,http://www.youtube.com/watch?v=VqelzLIomvM,댓글 20개,198개,6개,"
      1:01:26
    ",2020. 5. 21.
5,맥북프로 세팅 | 처음에 해둬야 후회안하는 MacOS 설정,https://i.ytimg.com/vi/WP1_CrtufvY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAFC3VPW9dbs_bIFgKMHwud4H1WbQ,5.6만회,2주 전,http://www.youtube.com/watch?v=WP1_CrtufvY,댓글 359개,2.2천개,37개,"
      6:20
    ",2020. 5. 19.
6,DockCase 보조배터리 | 진짜 100W,https://i.ytimg.com/vi/0gZej_1SHdc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB74EE-_grY0XJhdplA9zau5Ph2Dg,2.4만회,2주 전,http://www.youtube.com/watch?v=0gZej_1SHdc,댓글 283개,578개,19개,"
      4:31
    ",2020. 5. 17.
7,포스픽 75인치 TV | 100만원인데 뭘 더 바라겠어요?,https://i.ytimg.com/vi/fXG4sfTcK6E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBYmzaBiMJ_oO8XYw5_DAM1FEcNEA,3.4만회,2주 전,http://www.youtube.com/watch?v=fXG4sfTcK6E,댓글 233개,673개,30개,"
      6:16
    ",2020. 5. 15.
8,DJI 매빅 에어 2 | 하극상,https://i.ytimg.com/vi/9aDrdi8KhtI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDgwOGYGy72s0eQz7xc357jRGiZXg,7.4만회,2주 전,http://www.youtube.com/watch?v=9aDrdi8KhtI,댓글 432개,1.1천개,51개,"
      8:27
    ",2020. 5. 13.
9,"퀵 릴리즈 플레이트 | 이거 만든 사람, 제발 행복하게 해주세요",https://i.ytimg.com/vi/2oQ0pbcAFLM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA9vuyfxE1BP4MQo1C9OaTu73VVTQ,6.8만회,3주 전,http://www.youtube.com/watch?v=2oQ0pbcAFLM,댓글 218개,894개,42개,"
      4:08
    ",2020. 5. 10.
10,그냥 창고 소개 | 테크 좋아하는 사람이 IT 유튜버를 하면 벌어지는 일,https://i.ytimg.com/vi/-oM_qU-ajIA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDmgjUHtR4gjCc-lfa35S9B8tsmPg,5.8만회,3주 전,http://www.youtube.com/watch?v=-oM_qU-ajIA,댓글 485개,1.2천개,31개,"
      6:48
    ",2020. 5. 7.
11,2019 맥프로 Ep.07 | 과거로 돌아가 맥프로를 다시 구입할 수 있다면...,https://i.ytimg.com/vi/0P3Uhm_u978/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBsm-CwfYHbHRRYeIRuWtPyizjjkg,4.6만회,4주 전,http://www.youtube.com/watch?v=0P3Uhm_u978,댓글 286개,703개,37개,"
      6:31
    ",2020. 5. 5.
12,홀리랜드 MARS400S | 이제 HDMI 선 따위 개나 줘버렷 (무선 영상 송수신기),https://i.ytimg.com/vi/C8UH9JXW-RM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBIFQJIPNx0gI_KkCPr2kP1JbUFJA,2.8만회,1개월 전,http://www.youtube.com/watch?v=C8UH9JXW-RM,댓글 197개,609개,23개,"
      6:36
    ",2020. 5. 2.
13,이그닉 By24Z | 저한테 일체형 PC 보낸 건 실수하신 겁니다,https://i.ytimg.com/vi/wnRDeGZNufw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBAFk7d9EyZzrLn3Qd-hDPLkZQHSw,9만회,1개월 전,http://www.youtube.com/watch?v=wnRDeGZNufw,댓글 622개,1.3천개,52개,"
      8:31
    ",2020. 4. 29.
14,2019 맥프로 Ep.06 | 384기가 램 업그레이드. 기가당 만원이면 선방?,https://i.ytimg.com/vi/tY3JnSiYtBg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCAohqwZbZw3CQqsiToESY2Ft1noQ,8.1만회,1개월 전,http://www.youtube.com/watch?v=tY3JnSiYtBg,댓글 407개,1.2천개,62개,"
      6:27
    ",2020. 4. 27.
15,미로 맑음 공기청정기 | 이 브랜드를 모를 수 밖에 없는 이유,https://i.ytimg.com/vi/vCKQ3A_6auc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBb8siSBBREONtMxf0_MMFOB3RLRg,8.8천회,1개월 전,http://www.youtube.com/watch?v=vCKQ3A_6auc,댓글 160개,299개,29개,"
      6:04
    ",2020. 4. 25.
