,name,thumbnail,view,previous_time,video_url,comment,likes_num,unlikes_num,time_duration,start_date2
0,[영태형의 실수] 150Kg의 무게도 거뜬히 버텨내는 천하무적 휴대용 접이식 의자라고?,https://i.ytimg.com/vi/03c9MmyzaCk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCNi9MEVQEZomOGHbndMcOA68wD9Q,3.7천회,3일 전,http://www.youtube.com/watch?v=03c9MmyzaCk,댓글 32개,206개,5개,"
      4:57
    ",2020. 5. 30.
1,"[택배요플러스] 가성비 온라인 수업 특화 컴퓨터 환경 만들기! (feat. CHUWI UBook 11.6"")",https://i.ytimg.com/vi/Q3g89y7vlN4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLApENWskwUMnhfuKfLcWzEf3CjEzA,1.9천회,6일 전,http://www.youtube.com/watch?v=Q3g89y7vlN4,댓글 20개,92개,3개,"
      21:15
    ",2020. 5. 27.
2,"[집단지성 이벤트] 13.9 멀티젠더, 이걸 어떻게 써보면 좋을까?",https://i.ytimg.com/vi/SdC4js83DY0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAlLxVKQh0GnNO4t86cCrq80dHM1w,3.2천회,3주 전,http://www.youtube.com/watch?v=SdC4js83DY0,댓글 43개,130개,6개,"
      6:23
    ",2020. 5. 6.
3,[택배요플러스] 아이디어 상품모음 - 생활을 보다 윤택하게!!,https://i.ytimg.com/vi/7yOXu2Jsd8A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLASWkvPPf8_dW_i2xcXey_j0r56Wg,9.4천회,1개월 전,http://www.youtube.com/watch?v=7yOXu2Jsd8A,댓글 26개,308개,15개,"
      22:08
    ",2020. 5. 1.
4,집콕 확찐자를 위한 건강 관리 비법! (feat. 아놀드홍),https://i.ytimg.com/vi/JTIETLCsi-0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCMEBTsTo9m2NB1vlWKVdQN_tDCrQ,1.5천회,1개월 전,http://www.youtube.com/watch?v=JTIETLCsi-0,댓글 20개,50개,9개,"
      20:09
    ",2020. 4. 14.
5,[택배요플러스] 세정 - 모든 것을 깨끗하게 씻어내자!,https://i.ytimg.com/vi/TfdSQjiuDfo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAawmHDCTRXgOsASmbJ2mTd-k8nHw,2.4천회,1개월 전,http://www.youtube.com/watch?v=TfdSQjiuDfo,댓글 23개,113개,7개,"
      18:28
    ",2020. 4. 6.
6,맘 편히 쓸 수 있는 실속형 중저가 스마트폰 LG Q51,https://i.ytimg.com/vi/gRxE8o2fS2g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCqojXQWR9qLJ9TbXFLZEbU34aI_g,7.3천회,2개월 전,http://www.youtube.com/watch?v=gRxE8o2fS2g,댓글 29개,189개,20개,"
      14:00
    ",2020. 3. 29.
7,[택배요플러스] 소형 생활가전제품 모음,https://i.ytimg.com/vi/j8xFGNst26s/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCfgVNA-HiTKoZSiYz-zTtszzGb6Q,8.1천회,2개월 전,http://www.youtube.com/watch?v=j8xFGNst26s,댓글 34개,315개,12개,"
      15:45
    ",2020. 3. 22.
8,"보이로가열식 가습기, 제대로 쓰고 있나요? (ft. 초간편 석회제거 팁)",https://i.ytimg.com/vi/SZ9t6Y5OtQc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAviugeUA0Tcq0xHd5te9h8qLuD0A,2.4천회,2개월 전,http://www.youtube.com/watch?v=SZ9t6Y5OtQc,댓글 27개,107개,0개,"
      10:11
    ",2020. 3. 8.
9,"[택배요플러스] 충전, CHARGE!! (ft. 세상 별난 충전기들)",https://i.ytimg.com/vi/XsaMHKVRxoQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBQtOigLY0adkoCej_mAl6PBNlmwA,8.7천회,2개월 전,http://www.youtube.com/watch?v=XsaMHKVRxoQ,댓글 43개,288개,9개,"
      19:25
    ",2020. 3. 3.
