날짜,빈도수
2020-04-01,93
2020-04-02,100
2020-04-03,92
2020-04-04,92
2020-04-05,86
2020-04-06,92
2020-04-07,86
2020-04-08,89
2020-04-09,92
2020-04-10,81
2020-04-11,100
2020-04-12,91
2020-04-13,82
2020-04-14,87
2020-04-15,79
2020-04-16,86
2020-04-17,87
2020-04-18,92
2020-04-19,99
2020-04-20,73
2020-04-21,76
2020-04-22,74
2020-04-23,80
2020-04-24,73
2020-04-25,82
2020-04-26,77
2020-04-27,73
2020-04-28,77
2020-04-29,64
2020-04-30,87
2020-05-01,79
2020-05-02,64
2020-05-03,60
2020-05-04,73
2020-05-05,72
2020-05-06,72
2020-05-07,80
2020-05-08,67
2020-05-09,75
2020-05-10,81
2020-05-11,76
2020-05-12,69
2020-05-13,64
2020-05-14,61
2020-05-15,74
2020-05-16,75
2020-05-17,66
2020-05-18,62
2020-05-19,67
2020-05-20,86
2020-05-21,70
2020-05-22,74
2020-05-23,69
2020-05-24,70
2020-05-25,72
2020-05-26,64
2020-05-27,77
2020-05-28,74
2020-05-29,76
2020-05-30,63
2020-05-31,67
2020-06-01,69
2020-06-02,60
2020-06-03,65
2020-06-04,67
2020-06-05,66
2020-06-06,66
2020-06-07,66
2020-06-08,67
2020-06-09,75
2020-06-10,68
