날짜,빈도수
2020-04-01,58
2020-04-02,51
2020-04-03,60
2020-04-04,56
2020-04-05,64
2020-04-06,57
2020-04-07,62
2020-04-08,55
2020-04-09,61
2020-04-10,65
2020-04-11,59
2020-04-12,55
2020-04-13,45
2020-04-14,61
2020-04-15,51
2020-04-16,60
2020-04-17,64
2020-04-18,60
2020-04-19,52
2020-04-20,65
2020-04-21,57
2020-04-22,67
2020-04-23,56
2020-04-24,66
2020-04-25,64
2020-04-26,59
2020-04-27,65
2020-04-28,63
2020-04-29,64
2020-04-30,63
2020-05-01,61
2020-05-02,60
2020-05-03,59
2020-05-04,65
2020-05-05,81
2020-05-06,72
2020-05-07,66
2020-05-08,72
2020-05-09,82
2020-05-10,79
2020-05-11,64
2020-05-12,69
2020-05-13,76
2020-05-14,80
2020-05-15,63
2020-05-16,100
2020-05-17,87
2020-05-18,68
2020-05-19,73
2020-05-20,78
2020-05-21,73
2020-05-22,79
2020-05-23,98
2020-05-24,92
2020-05-25,62
2020-05-26,70
2020-05-27,67
2020-05-28,80
2020-05-29,72
2020-05-30,95
2020-05-31,83
2020-06-01,67
2020-06-02,77
2020-06-03,75
2020-06-04,74
2020-06-05,80
2020-06-06,83
2020-06-07,97
2020-06-08,61
2020-06-09,76
2020-06-10,81
