날짜,빈도수
2020-04-01,98.58557
2020-04-02,93.49363
2020-04-03,84.58274
2020-04-04,79.06647
2020-04-05,73.69165
2020-04-06,74.96463
2020-04-07,73.69165
2020-04-08,85.28995
2020-04-09,84.29985
2020-04-10,76.37906
2020-04-11,70.43847
2020-04-12,82.88543
2020-04-13,84.01697
2020-04-14,73.26732
2020-04-15,71.42857
2020-04-16,75.53041
2020-04-17,71.28712
2020-04-18,57.00141
2020-04-19,63.9321
2020-04-20,71.14568
2020-04-21,100.0
2020-04-22,88.11881
2020-04-23,78.21782
2020-04-24,61.81046
2020-04-25,58.69872
2020-04-26,67.04384
2020-04-27,72.56011
2020-04-28,67.04384
2020-04-29,66.61951
2020-04-30,80.33946
2020-05-01,83.30975
2020-05-02,66.19519
2020-05-03,66.05374
2020-05-04,61.9519
2020-05-05,64.35643
2020-05-06,61.81046
2020-05-07,59.26449
2020-05-08,67.8925
2020-05-09,54.73833
2020-05-10,60.96181
2020-05-11,78.5007
2020-05-12,81.75388
2020-05-13,65.62942
2020-05-14,64.9222
2020-05-15,61.38613
2020-05-16,58.27439
2020-05-17,56.85997
2020-05-18,64.49787
2020-05-19,62.80056
2020-05-20,64.21499
2020-05-21,64.35643
2020-05-22,65.48797
2020-05-23,60.25459
2020-05-24,68.03394
2020-05-25,78.35926
2020-05-26,71.71145
2020-05-27,66.76096
2020-05-28,68.17538
2020-05-29,61.52758
2020-05-30,51.48514
2020-05-31,50.3536
2020-06-01,53.74823
2020-06-02,64.35643
2020-06-03,67.32673
2020-06-04,48.79773
2020-06-05,55.86987
2020-06-06,48.09052
2020-06-07,54.17256
2020-06-08,53.88967
2020-06-09,57.99151
2020-06-10,60.53748
