날짜,빈도수
2020-04-01,82.69961
2020-04-02,83.36501
2020-04-03,74.71482
2020-04-04,56.46387
2020-04-05,48.47908
2020-04-06,82.79467
2020-04-07,79.94296
2020-04-08,83.1749
2020-04-09,75.85551
2020-04-10,70.43726
2020-04-11,51.52091
2020-04-12,54.27756
2020-04-13,88.49809
2020-04-14,72.14828
2020-04-15,58.46007
2020-04-16,81.27376
2020-04-17,75.47528
2020-04-18,59.03041
2020-04-19,55.98859
2020-04-20,82.03422
2020-04-21,85.8365
2020-04-22,76.90114
2020-04-23,84.69581
2020-04-24,77.56653
2020-04-25,56.65399
2020-04-26,56.93916
2020-04-27,85.74144
2020-04-28,87.35741
2020-04-29,81.65399
2020-04-30,58.26996
2020-05-01,55.89353
2020-05-02,51.80608
2020-05-03,50.66539
2020-05-04,70.24714
2020-05-05,59.12547
2020-05-06,83.1749
2020-05-07,89.44866
2020-05-08,74.90494
2020-05-09,54.1825
2020-05-10,54.65779
2020-05-11,80.13307
2020-05-12,81.46387
2020-05-13,100.0
2020-05-14,88.11787
2020-05-15,78.70722
2020-05-16,59.12547
2020-05-17,57.31939
2020-05-18,93.25095
2020-05-19,98.09885
2020-05-20,88.49809
2020-05-21,84.03041
2020-05-22,78.61216
2020-05-23,56.46387
2020-05-24,51.99619
2020-05-25,80.70342
2020-05-26,93.82129
2020-05-27,77.66159
2020-05-28,79.75285
2020-05-29,74.90494
2020-05-30,54.46768
2020-05-31,51.90114
2020-06-01,85.93155
2020-06-02,78.51711
2020-06-03,74.23954
2020-06-04,89.73384
2020-06-05,86.40684
2020-06-06,59.31558
2020-06-07,55.41825
2020-06-08,88.40304
2020-06-09,77.75665
2020-06-10,77.28136
