날짜,빈도수
2020-04-01,60.66089
2020-04-02,66.16837
2020-04-03,66.79779
2020-04-04,70.49567
2020-04-05,67.89929
2020-04-06,62.7852
2020-04-07,59.08733
2020-04-08,64.98819
2020-04-09,61.29032
2020-04-10,66.08969
2020-04-11,69.86624
2020-04-12,73.72147
2020-04-13,68.37136
2020-04-14,63.57199
2020-04-15,67.1125
2020-04-16,57.35641
2020-04-17,68.45003
2020-04-18,67.34854
2020-04-19,75.29504
2020-04-20,61.99842
2020-04-21,66.48308
2020-04-22,68.05664
2020-04-23,62.54917
2020-04-24,65.22423
2020-04-25,61.91974
2020-04-26,61.91974
2020-04-27,59.24468
2020-04-28,61.68371
2020-04-29,59.40204
2020-04-30,55.9402
2020-05-01,54.36664
2020-05-02,54.05192
2020-05-03,61.68371
2020-05-04,62.94256
2020-05-05,75.76711
2020-05-06,100.0
2020-05-07,60.50354
2020-05-08,60.50354
2020-05-09,67.42722
2020-05-10,57.67112
2020-05-11,58.22187
2020-05-12,59.79543
2020-05-13,56.25491
2020-05-14,52.87175
2020-05-15,69.39417
2020-05-16,65.61762
2020-05-17,68.37136
2020-05-18,66.4044
2020-05-19,71.36113
2020-05-20,58.92997
2020-05-21,54.44531
2020-05-22,57.7498
2020-05-23,53.26514
2020-05-24,62.23446
2020-05-25,58.92997
2020-05-26,55.31077
2020-05-27,54.99606
2020-05-28,56.72698
2020-05-29,53.50118
2020-05-30,57.35641
2020-05-31,50.03933
2020-06-01,56.80566
2020-06-02,58.06451
2020-06-03,56.88434
2020-06-04,55.31077
2020-06-05,56.25491
2020-06-06,53.81589
2020-06-07,49.96066
2020-06-08,60.18882
2020-06-09,57.98583
2020-06-10,60.66089
