날짜,빈도수
2020-04-01,77.85016
2020-04-02,77.85016
2020-04-03,79.47882
2020-04-04,68.4039
2020-04-05,69.3811
2020-04-06,78.50162
2020-04-07,83.06188
2020-04-08,79.80456
2020-04-09,81.43322
2020-04-10,79.80456
2020-04-11,57.00325
2020-04-12,57.98045
2020-04-13,80.13029
2020-04-14,93.1596
2020-04-15,65.47231
2020-04-16,86.31921
2020-04-17,81.10749
2020-04-18,59.93485
2020-04-19,59.28338
2020-04-20,77.19869
2020-04-21,90.22801
2020-04-22,85.01628
2020-04-23,86.64495
2020-04-24,64.49511
2020-04-25,63.84364
2020-04-26,56.67752
2020-04-27,78.17589
2020-04-28,73.2899
2020-04-29,72.3127
2020-04-30,65.47231
2020-05-01,68.4039
2020-05-02,60.26058
2020-05-03,55.04885
2020-05-04,74.91856
2020-05-05,80.45602
2020-05-06,91.20521
2020-05-07,78.50162
2020-05-08,86.31921
2020-05-09,78.82736
2020-05-10,80.78175
2020-05-11,82.73615
2020-05-12,93.48534
2020-05-13,99.34853
2020-05-14,91.20521
2020-05-15,99.34853
2020-05-16,86.31921
2020-05-17,87.62214
2020-05-18,78.50162
2020-05-19,92.18241
2020-05-20,95.76547
2020-05-21,91.53094
2020-05-22,94.1368
2020-05-23,79.80456
2020-05-24,80.45602
2020-05-25,84.36482
2020-05-26,99.67426
2020-05-27,94.46254
2020-05-28,100.0
2020-05-29,98.0456
2020-05-30,74.2671
2020-05-31,83.71335
2020-06-01,81.10749
2020-06-02,97.0684
2020-06-03,85.34201
2020-06-04,81.75895
2020-06-05,84.03908
2020-06-06,78.17589
2020-06-07,79.80456
2020-06-08,69.3811
2020-06-09,95.43973
2020-06-10,95.43973
