,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,??WHAT I'VE BEEN LOVING: February & March Favorites??,https://i.ytimg.com/vi/Jt5HWZ1YhX4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA5SvvdY49kyRFZezzM9MwB3cyV-Q,5.9만회,2개월 전,http://www.youtube.com/watch?v=Jt5HWZ1YhX4,2020. 4. 1.,댓글 259개,2.3천개,42개,"
      11:39
    "
1,"""New Year, New Skincare Routine"" ft. Edward Avila",https://i.ytimg.com/vi/4e4P0kBZxd0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDpASO6qu5X5xk24_w0JtfjDAPlRQ,6.3만회,3개월 전,http://www.youtube.com/watch?v=4e4P0kBZxd0,2020. 2. 26.,댓글 166개,2.5천개,52개,"
      14:49
    "
2,"??PERFUME COLLECTION | 향수 추천 ft. Le Labo, 조말론, 바이레도, 샤넬, and etc. ?",https://i.ytimg.com/vi/baWx9hZ5Gbc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBOA4dPUy6XmRrpEQ3pE8Ec53efJA,6.9만회,3개월 전,http://www.youtube.com/watch?v=baWx9hZ5Gbc,2020. 2. 19.,댓글 251개,2.5천개,55개,"
      19:38
    "
3,"???BEAUTY EMPTIES | 2019년 공병들 ft. 라네즈, Dr. Jart+, 올리브영, & etc.???",https://i.ytimg.com/vi/o3mputrIsxE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCe8McXQezgEj_NUjZJ3AK2gpurWA,6.6만회,3개월 전,http://www.youtube.com/watch?v=o3mputrIsxE,2020. 2. 12.,댓글 122개,2.1천개,43개,"
      15:26
    "
4,??JANUARY FAVORITES 2020 | 1월 페이보릿 제품들 ??,https://i.ytimg.com/vi/JjxxugbcNRQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCM-1wY0F78bDVYVSN3f1j1eebwbQ,6.8만회,3개월 전,http://www.youtube.com/watch?v=JjxxugbcNRQ,2020. 2. 5.,댓글 184개,2.5천개,45개,"
      10:51
    "
5,????연말선물 언박싱 | Gift Swap With ft. kinda cool??,https://i.ytimg.com/vi/UNlqOl5FFAQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDkKye658iqlVskcEnTN4YBYa5kvw,6.2만회,5개월 전,http://www.youtube.com/watch?v=UNlqOl5FFAQ,2019. 12. 25.,댓글 230개,2.5천개,43개,"
      21:54
    "
6,?? CHRISTMAS GIFT GUIDE | 크리마스 선물 뭐할까?? 홀리데이 쇼핑 가이드 ??,https://i.ytimg.com/vi/sN-gRO1NZtM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLClJ20cyXPu-YaRZzRC66YPUOAG5g,6.2만회,5개월 전,http://www.youtube.com/watch?v=sN-gRO1NZtM,2019. 12. 11.,댓글 186개,2.3천개,58개,"
      14:19
    "
7,??BEST OF K-BEAUTY™ | 3만원의 행복 | 스킨케어 추천 ft. Charlotte Cho ??,https://i.ytimg.com/vi/dwj-kJBiRtk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB_1Ga6_CswUREMma-Bw-JQuts7MA,12만회,6개월 전,http://www.youtube.com/watch?v=dwj-kJBiRtk,2019. 12. 3.,댓글 177개,3.4천개,61개,"
      22:34
    "
8,??BEST OF BEAUTY 2019: 핫한 스킨케어제품 추천 ft. Edward Avila ??,https://i.ytimg.com/vi/zWdZl1ecPcA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB-aqD4e_sXlFKk8gUNVltcW0zM3Q,26만회,6개월 전,http://www.youtube.com/watch?v=zWdZl1ecPcA,2019. 11. 27.,댓글 741개,6.2천개,168개,"
      36:11
    "
9,??MOM'S SKINCARE ROUTINE | 마 스킨케어 루틴 따라해봤어요~??,https://i.ytimg.com/vi/FCWXyYemFDU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBIL6tlO6CYYPmQZ16NcfklmLS5vQ,5.4만회,7개월 전,http://www.youtube.com/watch?v=FCWXyYemFDU,2019. 10. 8.,댓글 265개,3.5천개,26개,"
      8:44
    "
