,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,제니가 될 수 없어서 신발이라도 제니가 되어보기로 했다. ??(ft.시간순삭 집순이 취미생활) | LAMUQE,https://i.ytimg.com/vi/905gLU6BPVQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBUMg9L3PSef_yMBocyO4I4dIWdtQ,4만회,3일 전,http://www.youtube.com/watch?v=905gLU6BPVQ,2020. 5. 29.,댓글 43개,732개,19개,"
      13:24
    "
1,[GRWM] 꾸안꾸 메이크업하고 같이 카페 출근해요??(ft.바리스타 st) | LAMUQE,https://i.ytimg.com/vi/vO5VJpFT6jU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBskGG8mgFYG2tA-t9gSTedln0PLg,10만회,1주 전,http://www.youtube.com/watch?v=vO5VJpFT6jU,2020. 5. 23.,댓글 162개,2천개,59개,"
      17:59
    "
2,[ENG] 톤이 다른 셋이 똑같은 색을 발라본다면?! (feat. 쿨톤vs웜톤vs뮤트) | LAMUQE,https://i.ytimg.com/vi/0YELCDUK0PI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAD3LSXblvXcaUOIWZGo5-tQ6z_lQ,29만회,2주 전,http://www.youtube.com/watch?v=0YELCDUK0PI,2020. 5. 17.,댓글 757개,6.5천개,73개,"
      29:00
    "
3,[ENG] 자칭 톤 파괴 립!?? 에크멀 팁스틱 10종 발색 리뷰??| LAMUQE,https://i.ytimg.com/vi/itSNbzu731U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB4Nb-j5kRWrvM6TIM6-qcVXhbSsQ,11만회,3주 전,http://www.youtube.com/watch?v=itSNbzu731U,2020. 5. 10.,댓글 337개,2.5천개,51개,"
      21:26
    "
4,2020살 뱀파이어라서 오늘은 반말이야 얘들아 ?????♀? #컨셉챙겨 #반말모드 | LAMUQE,https://i.ytimg.com/vi/Mg0jZ3yZtVY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDEWPS7bhynSQWF-CJX71AdeMDQ2Q,7.9만회,1개월 전,http://www.youtube.com/watch?v=Mg0jZ3yZtVY,2020. 5. 1.,댓글 228개,1.6천개,38개,"
      18:18
    "
5,요청 폭주?? 뷰튜버 인생 처음으로 퍼스널 컬러 진단 받았어요(ft.뜻밖의 결과)| LAMUQE,https://i.ytimg.com/vi/D91MscL0EkU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDp1qaq2vU6kmKg9js1iDL9IsXvug,16만회,1개월 전,http://www.youtube.com/watch?v=D91MscL0EkU,2020. 4. 25.,댓글 240개,2.4천개,39개,"
      11:54
    "
6,과즙 팡팡! 생기 톡톡! 잘~ 익은 복숭살구?? 메이크업 (feat. 미세먼지 차단 베이스) | LAMUQE,https://i.ytimg.com/vi/kN8t_zdS_NI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCHK3Jgygj9EgXoXNZc2ujXgI6pQg,15만회,1개월 전,http://www.youtube.com/watch?v=kN8t_zdS_NI,2020. 4. 18.,댓글 259개,3.4천개,54개,"
      18:06
    "
7,최초 남자 옷장털기?? 건드리지 말아야 할 곳을 건드렸다...?????♂?(ft.큐영) | LAMUQE,https://i.ytimg.com/vi/LuyLilMtQus/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCMWZ-ercMZSGFVplLUYJVyHR_YuA,13만회,1개월 전,http://www.youtube.com/watch?v=LuyLilMtQus,2020. 4. 11.,댓글 288개,2.6천개,45개,"
      29:21
    "
8,집에 있는 기본템으로 센스있어 보이는 스타일링 법 ?[캐주얼 편] | LAMUQE,https://i.ytimg.com/vi/S628Yf3afHk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAYap6gMkeuoOmJUtUxmP3PCq9v7g,12만회,1개월 전,http://www.youtube.com/watch?v=S628Yf3afHk,2020. 4. 7.,댓글 186개,2.4천개,59개,"
      13:21
    "
9,홀린듯 빠져드는 오드아이 메이크업(ft.아이라인 없이 청순 왕눈이 makeup) | LAMUQE,https://i.ytimg.com/vi/RJUwIdAyQyA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBbMonW-W0q4-V0NFkjKZYhPfuTpg,11만회,2개월 전,http://www.youtube.com/watch?v=RJUwIdAyQyA,2020. 3. 21.,댓글 180개,2.8천개,42개,"
      9:56
    "
10,마스크에 묻어남 없는 EASY 베이스법 알랴드림??(feat. 남몰래 하는 피부관리 핵 꿀팁) | LAMUQE,https://i.ytimg.com/vi/IGi28CPnshw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAT7-q8cNTIg20ucAtcaUmPBCSMJQ,10만회,2개월 전,http://www.youtube.com/watch?v=IGi28CPnshw,2020. 3. 18.,댓글 114개,1.2천개,81개,"
      14:43
    "
11,다음에 또 만날 수 있을까요??? 성공률 100% 소개팅 메이크업??| LAMUQE,https://i.ytimg.com/vi/dLckvWo9v2o/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCFPouE1-z5vpCzoXNlC-N-rDofYw,10만회,2개월 전,http://www.youtube.com/watch?v=dLckvWo9v2o,2020. 3. 6.,댓글 187개,2.5천개,48개,"
      9:22
    "
12,가격차이가 무려 40배????! 샤넬 코트 900만 원 VS 25만 원?? | LAMUQE,https://i.ytimg.com/vi/6L_eeU8SRzQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCWsZMqq-SNg2gkR_EwIVuIz-_KDw,24만회,2개월 전,http://www.youtube.com/watch?v=6L_eeU8SRzQ,2020. 3. 4.,댓글 393개,2.6천개,167개,"
      8:54
    "
13,"ENG [라뮤끄 성형외과] 착시효과 포인트 성형 메이크업 (ft.아토피,요철)| LAMUQE",https://i.ytimg.com/vi/g8ok0tOJToU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAryAvjKlXudtUY5m2iuqLkhVlqJA,18만회,4개월 전,http://www.youtube.com/watch?v=g8ok0tOJToU,2020. 1. 25.,댓글 423개,4.3천개,55개,"
      15:50
    "
14,ENG [라뮤끄 성형외과] 무쌍눈 분위기 성형 메이크업?(ft.비대칭 해결) | LAMUQE,https://i.ytimg.com/vi/SJxVE6N6SFs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAlRu5VEj-DerMr17hHMjiPNY0HkQ,25만회,4개월 전,http://www.youtube.com/watch?v=SJxVE6N6SFs,2020. 1. 18.,댓글 409개,6.2천개,48개,"
      14:24
    "
15,ENG/VIET/IDN [VLOG] 집순이는 정말 좋아?? 택배 언박싱/백종원 김치밥/냥집사/스킨케어 | LAMUQE,https://i.ytimg.com/vi/rURiA6A4lpU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBMwo4w2-LDhDR8qoNWZ5SuHzpXWw,17만회,4개월 전,http://www.youtube.com/watch?v=rURiA6A4lpU,2020. 1. 17.,댓글 108개,1.6천개,38개,"
      13:59
    "
16,[ENG]묶으면 완전 예쁜!! 넓은이마/M자이마 완벽 커버 SELF 잔머리펌?? | LAMUQE,https://i.ytimg.com/vi/3xpWIZQZ5-k/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCIBiiwctQV8wVQt-kbUldPGUyptg,11만회,4개월 전,http://www.youtube.com/watch?v=3xpWIZQZ5-k,2020. 1. 14.,댓글 138개,1.8천개,50개,"
      10:56
    "
17,[ENG]??2015-2019 MAKEUP AWARDS??여러분의 최애 라뮤끄는? | LAMUQE,https://i.ytimg.com/vi/K9iS_Ew3Lrs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDA4zMaWhnJ33yf5pH6E12lx40csg,6.5만회,5개월 전,http://www.youtube.com/watch?v=K9iS_Ew3Lrs,2019. 12. 31.,댓글 204개,1.2천개,56개,"
      14:23
    "
18,ENG [VLOG] 영상과 음악의 나이스 콜라보레이션 ‘영상읽기’ | LAMUQE,https://i.ytimg.com/vi/bpIyi1e-ebw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD9OGTR8Y01t_DVEoHb-3dJKWg_FQ,22만회,5개월 전,http://www.youtube.com/watch?v=bpIyi1e-ebw,2019. 12. 30.,댓글 70개,595개,22개,"
      17:40
    "
19,[ENG] '브러시맛집' [찐 브러시 찐 사용법] 화장 잘 하고 싶으면 보쎄오(2편) | LAMUQE,https://i.ytimg.com/vi/P-0dO6NNNHk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAWfI4Hv1A05tZ_WWRx4nBow1n4Mw,9.7만회,5개월 전,http://www.youtube.com/watch?v=P-0dO6NNNHk,2019. 12. 23.,댓글 189개,1.6천개,20개,"
      25:43
    "
