,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,"[샒의삶] 5년차 유투버, 총직원수 2명, 강사원이 관찰한 홍사장의 리얼한 하루 VLOG / 옥외광고 찍던 날",https://i.ytimg.com/vi/kInwRxtEhDw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCZYK9nQnULOt95--WXdrnbATvtbg,14만회,1일 전,http://www.youtube.com/watch?v=kInwRxtEhDw,최초 공개: 2020. 6. 3.,댓글 272개,4.1천개,44개,"
      20:39
    "
1,"[샒의삶] 집순이 끝판왕.avi_ ""옥상 테라스""에서 텐트치고??홈캠핑??(feat.고깃집 테이블) / 목살+삼겹살+차돌박이+닭꼬치,,,!",https://i.ytimg.com/vi/n-HFkOQncUg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBevztihtnyE4ylpxI1dwWXIXWjqw,20만회,6일 전,http://www.youtube.com/watch?v=n-HFkOQncUg,2020. 5. 29.,댓글 819개,5.9천개,73개,"
      20:28
    "
2,[샒의삶] 자취생이면 다 이정도 있는건지 판단해 주실 분..? 왓츠 인 마이 냉장고 / 냉장고만 두 대?! 낱낱ㅇㅣ 털어보았다!,https://i.ytimg.com/vi/Rh2MWRCE4wk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDVXRz_VV8fsxTbAaCIUNQr15UjEw,18만회,1주 전,http://www.youtube.com/watch?v=Rh2MWRCE4wk,2020. 5. 25.,댓글 554개,3.9천개,99개,"
      26:51
    "
3,[샒의삶] 일상 : 청보라 옴브레??염색 + 청보라 나비??네일 = 청보라 인간이 되었다! / 주희랑 오랜만에 홍대 외출 VLOG,https://i.ytimg.com/vi/7_rmnrYnPec/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDNYCa6Rehr_u30yMJKBCmfpPzc8w,20만회,2주 전,http://www.youtube.com/watch?v=7_rmnrYnPec,2020. 5. 21.,댓글 451개,4.6천개,65개,"
      16:04
    "
4,"[샒의삶] ??띵호와 세림반점??/ 집에서 짬짜면 만들어 식탁으로 배달하기 / 멘보샤, 칠리새우까지..!",https://i.ytimg.com/vi/tyy3jSrXR-8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCWMKrThIsWRcSi5hrCuJuqLoeEcw,23만회,2주 전,http://www.youtube.com/watch?v=tyy3jSrXR-8,2020. 5. 17.,"댓글 1,024개",6.1천개,91개,"
      21:46
    "
5,[샒의삶] 일상: 홍작가의 인생 첫 '책' 출판 브이로그 ??/ 여행+에세이+꿀팁+만화+다이어리+스티커.. 책마저 맥시멀리스트 / 대박 애장품 이벤트까지??,https://i.ytimg.com/vi/pg5MdREnqDk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA-IyVwxu17YSst1evexMWg_lXiVA,17만회,3주 전,http://www.youtube.com/watch?v=pg5MdREnqDk,최초 공개: 2020. 5. 13.,댓글 476개,4.5천개,74개,"
      28:08
    "
6,"[샒의삶] 자취생, 다이어터 모여라! 집밥 홍선생의 초간단 저염 밑반찬 7가지 만들기 / 집밥 브이로그 VLOG / 레시피 더보기에!",https://i.ytimg.com/vi/8r-gKtKqP1U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBJTHtNIL5Fe00RlikLmszKY2qoSQ,17만회,3주 전,http://www.youtube.com/watch?v=8r-gKtKqP1U,2020. 5. 9.,댓글 355개,4.1천개,73개,"
      24:27
    "
7,[한달 브이로그] 4월 편: 다이어트 꿀 필수템! 직접 만든 다이어트 다이어리와 추천템 소개 / 다이어트 일상 모음집.zip,https://i.ytimg.com/vi/4prhheN3KrM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDkYAjx682ijhPh1W3bSo-Ju1UTjg,29만회,4주 전,http://www.youtube.com/watch?v=4prhheN3KrM,최초 공개: 2020. 5. 5.,댓글 530개,5.2천개,109개,"
      49:18
    "
8,"[샒의삶] 집에서 누구보다 찐허게 전통 홈카페 즐기는 브이로그 ??/ 직접 만든 도자기에, 한복입고, 인절미-흑임자 라떼 만들기 (feat. 극한의 컨셉) + 미니 겟레디",https://i.ytimg.com/vi/_N0GfS3lhIo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBgGNojDtpFODx53fIj5IO6mnm97Q,22만회,1개월 전,http://www.youtube.com/watch?v=_N0GfS3lhIo,최초 공개: 2020. 5. 3.,댓글 461개,5.4천개,79개,"
      29:08
    "
9,"[샒의삶] 샒의 뉴-트로 분식점에 초대합니다! / 옛날 떡볶이와 팔뚝김밥, 추억의 피카츄 돈까스 만들기 / 레트로 게임기로 남극탐험, 버블버블, 서커스??",https://i.ytimg.com/vi/kiM78LSr9XU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAyGy6vq-h5uOFY5-wNSJN55Tap7w,32만회,1개월 전,http://www.youtube.com/watch?v=kiM78LSr9XU,2020. 4. 29.,댓글 672개,7.1천개,107개,"
      22:55
    "
