,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,경험한 사람은 잊지 못하는 2002 월드컵 총정리,https://i.ytimg.com/vi/fHgNWmy8vwU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAxUZXnA2BJhyHmscNPTZ6Th1XjhQ,4.3만회,1일 전,http://www.youtube.com/watch?v=fHgNWmy8vwU,2020. 6. 3.,댓글 420개,1천개,21개,"
      10:10
    "
1,클래식에 가성비를 녹인 축구화 [ 실착 리뷰 ],https://i.ytimg.com/vi/X29kt5tyYUc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDjCsrrYfiv-v1pwThRdDvvdmv8yw,9.1만회,5일 전,http://www.youtube.com/watch?v=X29kt5tyYUc,2020. 5. 30.,댓글 683개,1.3천개,18개,"
      10:35
    "
2,과학적으로 설명 불가능한 골ㄷㄷ 가능하신 분 찾습니다!!,https://i.ytimg.com/vi/7057jTfL0b0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAOP6F6oMqfog2-i1_C9YI7KSdnLQ,23만회,1주 전,http://www.youtube.com/watch?v=7057jTfL0b0,2020. 5. 24.,댓글 531개,1.6천개,39개,"
      0:25
    "
3,경기 중에 이런 패스하면 (안)되나요?,https://i.ytimg.com/vi/Tf5K2yy77G8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDIY6-LaCq7JFcd_eF7VE0K6Ow-tw,6.1만회,1주 전,http://www.youtube.com/watch?v=Tf5K2yy77G8,2020. 5. 23.,댓글 162개,1천개,23개,"
      10:16
    "
4,프로와 간극을 좁히고 있는 아마추어 슛팅 세계??,https://i.ytimg.com/vi/DGMn0AI0NxI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBTbMtIXZqY6SG3CIcrpKX4LZ5hiA,9.9만회,2주 전,http://www.youtube.com/watch?v=DGMn0AI0NxI,2020. 5. 19.,댓글 277개,1.1천개,28개,"
      10:50
    "
5,무회전 슛 해명합니다. 한 번만 봐(see)주세요.,https://i.ytimg.com/vi/kEDPD5HEOJ4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDDrFkqTq3pmo7XJ-JoC-UYAo1mTQ,36만회,2주 전,http://www.youtube.com/watch?v=kEDPD5HEOJ4,2020. 5. 15.,댓글 542개,2.6천개,127개,"
      10:01
    "
6,메시 발목 함부로 따라하면 (안)됩니다!,https://i.ytimg.com/vi/jQ1IqNXjY0c/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD7elW-D6zcf1qWixkVxKcUPeQEbA,47만회,3주 전,http://www.youtube.com/watch?v=jQ1IqNXjY0c,2020. 5. 8.,댓글 465개,2.8천개,79개,"
      10:13
    "
7,이런 오버헤드킥도 가능할까? SNS 축구 기술 따라하기!,https://i.ytimg.com/vi/ZdcdGqcS86M/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD91DpQ4NxrPSIzCDxMD2AhHn6UJw,16만회,1개월 전,http://www.youtube.com/watch?v=ZdcdGqcS86M,2020. 5. 2.,댓글 382개,2.7천개,62개,"
      10:42
    "
8,JK 여동생은 축구를 얼마나 잘할까?,https://i.ytimg.com/vi/xyw64Nj2YPY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCK3zvXr0EI-tpent3_0H2HOxFfWQ,59만회,1개월 전,http://www.youtube.com/watch?v=xyw64Nj2YPY,2020. 4. 25.,"댓글 1,012개",5.8천개,78개,"
      10:11
    "
9,공이 화면 밖으로 나갔다 들어옴ㄷㄷ 그래픽 감아차기?,https://i.ytimg.com/vi/DEcdw1-ydGQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCoJMvF_LHrox56tzA6bnoo5ODArQ,16만회,1개월 전,http://www.youtube.com/watch?v=DEcdw1-ydGQ,2020. 4. 18.,댓글 509개,1.8천개,35개,"
      10:48
    "
10,선출 구독자 축구팀 대단하네요ㄷㄷ 삼형제FC와 경기 했습니다,https://i.ytimg.com/vi/BJoL-sa-UqI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAhVEOFpQ2tmt6TmQ3rr1B1wFMESA,17만회,1개월 전,http://www.youtube.com/watch?v=BJoL-sa-UqI,2020. 4. 14.,댓글 307개,1.6천개,43개,"
      8:01
    "
11,공 하나로 시간 순삭 되는 놀이 Top4,https://i.ytimg.com/vi/3dOIz2f5ND0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB3zWvvqP0NWkRqRA3SRvJJg8FgJQ,9.1만회,1개월 전,http://www.youtube.com/watch?v=3dOIz2f5ND0,2020. 4. 11.,댓글 388개,1.5천개,23개,"
      11:06
    "
12,??축구부 학생들만 보거라??,https://i.ytimg.com/vi/_9ZsRMqQuyg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC6YOdUulQL7eGne6_KgQ-F-gqwtQ,10만회,1개월 전,http://www.youtube.com/watch?v=_9ZsRMqQuyg,2020. 4. 10.,댓글 687개,2.4천개,30개,"
      1:52
    "
13,혼축 훈련 비법 [ 순두부 볼감각 향상 / 심장 2개 체력 증진 ],https://i.ytimg.com/vi/IsnN5MABkyE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDr0Z96Z8UrUCQrBJU6eDhOsZlWIQ,9.1만회,2개월 전,http://www.youtube.com/watch?v=IsnN5MABkyE,2020. 4. 4.,댓글 524개,1.7천개,21개,"
      10:13
    "
14,자존심 버렸다ㅠ 슛 좀 알려주세요? 제발..,https://i.ytimg.com/vi/mpDM6RLYZV4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAcrCaruuQfH8IQ7nVJavV3ILhW2w,28만회,2개월 전,http://www.youtube.com/watch?v=mpDM6RLYZV4,2020. 4. 3.,"댓글 1,002개",4.2천개,114개,"
      3:40
    "
15,가성비 레게노 축구화는 무엇?! ※장비빨 주의※,https://i.ytimg.com/vi/Oba7G33UBYc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLANB-ncs-j84tbDSq5Oyj6gyGu_3w,33만회,2개월 전,http://www.youtube.com/watch?v=Oba7G33UBYc,2020. 3. 28.,"댓글 1,028개",3.1천개,66개,"
      10:07
    "
16,해리 케인의 스승? 잉글랜드 대표팀 축구 스킬 트레이너 따라잡기ㄷㄷ,https://i.ytimg.com/vi/ihPMxAHM28E/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC04MPuEa7dytIbcXtCQrjHdhAzUQ,58만회,2개월 전,http://www.youtube.com/watch?v=ihPMxAHM28E,2020. 3. 21.,댓글 812개,4.1천개,176개,"
      11:08
    "
17,호나우지뉴? 브라질 클라쓰 축구 기술 top3 꿀팁! [ 박제로이 출연 ],https://i.ytimg.com/vi/9u8Mi0haf-c/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBSYY3s8iGpT58uMMFMCSkFQGEEqg,22만회,2개월 전,http://www.youtube.com/watch?v=9u8Mi0haf-c,2020. 3. 14.,댓글 470개,2.8천개,73개,"
      11:29
    "
18,프로 뺨 긁는? 일반인의 라보나킥 정확성ㄷㄷ 슛팅은 또 뭐지...,https://i.ytimg.com/vi/s2kO8lryFIs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAhvGYXshP-1XVhYrx3ETIW7WuseA,14만회,2개월 전,http://www.youtube.com/watch?v=s2kO8lryFIs,2020. 3. 13.,댓글 341개,1.5천개,38개,"
      15:45
    "
19,(ENG) Korean Shooting Battle - 한쿡살암보지마라요,https://i.ytimg.com/vi/8BpkqkRNYPI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLButAHQmOcQOiTdRc1kyBO98RURGA,12만회,2개월 전,http://www.youtube.com/watch?v=8BpkqkRNYPI,2020. 3. 10.,댓글 537개,1.7천개,43개,"
      11:44
    "
