,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,수영복 100벌 입기 / 1Girl 100 Swimsuits  ??,https://i.ytimg.com/vi/bPOwuNmxoSA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAlvcAd2hTRvu6Qe3kpnFSbdlbfcA,16만회,2일 전,http://www.youtube.com/watch?v=bPOwuNmxoSA,2020. 6. 4.,댓글 115개,1.3천개,51개,"
      10:13
    "
1,"내가 수영 유튜버가 된 이유 , ??  ( 로망으로 남기지마, 수영 ! )",https://i.ytimg.com/vi/P_1WCDmNHLQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBWDqFnDJvcEqzZOgOaVvRKLxu0fQ,1.4만회,1주 전,http://www.youtube.com/watch?v=P_1WCDmNHLQ,2020. 5. 30.,댓글 53개,372개,14개,"
      10:02
    "
2,러블리뷰 ) 나이키 레거시 수경  ( + 구독자 이벤트 ),https://i.ytimg.com/vi/4GpzUerZCEI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC_IRVdgMCPvRFOzrxUc2I9qZEv2g,1.3만회,2개월 전,http://www.youtube.com/watch?v=4GpzUerZCEI,2020. 3. 25.,댓글 400개,651개,10개,"
      4:29
    "
3,수영중독자에게 수영 못하게 하면 생기는 일 (feat.율무),https://i.ytimg.com/vi/gMNiOWIN0-4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDj98dhW7A_WQvowkr5KlKnifefGQ,1.3만회,2개월 전,http://www.youtube.com/watch?v=gMNiOWIN0-4,2020. 3. 19.,댓글 51개,223개,15개,"
      3:48
    "
4,발목이 너무 아파서 병원에 다녀왔어요 ( 발목 재활 운동 공유),https://i.ytimg.com/vi/uRz0ZcaPcWw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAKhH_Nkbz8n8KyvWles8fOu_oWVA,8.1천회,2개월 전,http://www.youtube.com/watch?v=uRz0ZcaPcWw,2020. 3. 17.,댓글 47개,169개,11개,"
      2:51
    "
5,수영장 문 닫았으니까.. 집에서 하자^^ / 집에서 접영하기 / Butterfly stroke,https://i.ytimg.com/vi/a_fkT_JtntY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBKnvw4St9fhLMJdym41ZuhwuZKAQ,5.2만회,2개월 전,http://www.youtube.com/watch?v=a_fkT_JtntY,2020. 3. 10.,댓글 106개,1천개,29개,"
      3:19
    "
6,자/배/평/접 수영턴만 하는 영상/설명無 (feat.물소리),https://i.ytimg.com/vi/FArRFMRqfdU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBxIZwX2OAtGXKyyvTKZNazRYmNTw,4.7만회,3개월 전,http://www.youtube.com/watch?v=FArRFMRqfdU,2020. 3. 4.,댓글 77개,741개,15개,"
      2:26
    "
7,ENG) 중급 자유형 발차기 (지상/수중)  |  CUS intermediate #freestyle,https://i.ytimg.com/vi/YATtc_NRFok/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCRkuOeWPsfZJ1ycG-hsPhSQ-_1mA,1.5만회,3개월 전,http://www.youtube.com/watch?v=YATtc_NRFok,2020. 3. 2.,댓글 84개,461개,8개,"
      2:55
    "
8,""" 수영 60분 """,https://i.ytimg.com/vi/kFeaQ7M-Em0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBOVuwUN1Kw_QIc0iL4JyxsKrB7_Q,1.2만회,3개월 전,http://www.youtube.com/watch?v=kFeaQ7M-Em0,2020. 3. 1.,댓글 6개,174개,13개,"
      2:18:21
    "
9,TO. 수영장이 그리운 분들 두 손에 (feat.물소리),https://i.ytimg.com/vi/-U4fb-W8c1Q/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLClMDwm2Yxsnx1LAAX1y0yi1G4BoQ,3.4만회,3개월 전,http://www.youtube.com/watch?v=-U4fb-W8c1Q,2020. 2. 29.,댓글 122개,735개,18개,"
      5:57
    "
