,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,후반9홀! 거포 VS 신노스 자존심 대결! 두명의 언더플레이 심짱과 하기원은 즐기면서 봤다. [골프존카운티 한림용인],https://i.ytimg.com/vi/epTah26ZvB4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCoCa49UCeZ1MvVBqMmSZ0RnGdQTQ,3.3만회,10시간 전,http://www.youtube.com/watch?v=epTah26ZvB4,2020. 6. 5.,댓글 143개,743개,19개,"
      1:17:30
    "
1,심짱알림/ #20만구독자감사 #티스캐너x심짱 #나드짱선수모집,https://i.ytimg.com/vi/zT8VAuRl6-8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDp5YtLy2TZbX8ByetTMbN9_xsqUw,7.1천회,1일 전,http://www.youtube.com/watch?v=zT8VAuRl6-8,2020. 6. 5.,댓글 138개,398개,1개,"
      5:27
    "
2,김세영프로의 드라이버 비거리 영업비밀! 기록 깨졌다 [심짱의 나드짱],https://i.ytimg.com/vi/QOL2kWif7Cg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBBxOMHuNunFpC5Qgx3nEXn5oepAA,12만회,2일 전,http://www.youtube.com/watch?v=QOL2kWif7Cg,2020. 6. 3.,댓글 214개,2.3천개,47개,"
      19:57
    "
3,"2,3,4 피스 골프볼의 백스핀차이는? 우리가 생각한 차이일까? [심짱실험X키고스]",https://i.ytimg.com/vi/W7pmYAEvkAw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBGY52v3XLivfbOiBIupDDN-4N6zg,3.9만회,4일 전,http://www.youtube.com/watch?v=W7pmYAEvkAw,2020. 6. 1.,댓글 39개,511개,7개,"
      19:13
    "
4,"무적 신노스와 장타왕 거포의 등장! 필드에서 장타쇼! 너무 작아진 심짱, 하기원 [골프존카운티 한림용인]",https://i.ytimg.com/vi/6yU084LNDSA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBAaYZniwsPfsxmasXY6QEniUZxwQ,19만회,6일 전,http://www.youtube.com/watch?v=6yU084LNDSA,2020. 5. 31.,댓글 239개,2천개,118개,"
      1:24:27
    "
5,최나연 프로의 드라이버 비법! 오늘 모든 걸 알려주었다! [심짱의 나드짱],https://i.ytimg.com/vi/wbnpM34jh4Q/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAXGXY1xPmVG-bIW-bLJrHxzcg3hg,21만회,1주 전,http://www.youtube.com/watch?v=wbnpM34jh4Q,2020. 5. 27.,댓글 239개,3.8천개,132개,"
      36:18
    "
6,"핑 비거리 아이언 G710! g700, i500 과 비교하여 보여드립니다. [ping g710]",https://i.ytimg.com/vi/x6wjoQu3VoM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCWuBlfXWBFcC4UR8_lOG1OCKDjbA,3.3만회,1주 전,http://www.youtube.com/watch?v=x6wjoQu3VoM,2020. 5. 25.,댓글 45개,375개,16개,"
      22:35
    "
7,종합 퍼팅레슨 6분만에! 나에게 맞는 퍼팅방법 [퍼팅교습가 김봉진프로],https://i.ytimg.com/vi/Ztqtcr_dJrA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCpR4_3e4DCEsssQG_ubLAdPWhDNg,2.8만회,1주 전,http://www.youtube.com/watch?v=Ztqtcr_dJrA,2020. 5. 23.,댓글 17개,511개,11개,"
      6:45
    "
8,KPGA 소문난 장타자 장승보! 시작하자  309m! 그의 장타비법과 김셩 비거리 늘리기! [심짱의 나드짱],https://i.ytimg.com/vi/q7-QUBNj6-o/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDqIIFp0dhnYB6r1XqAX5lqEJR3Wg,12만회,2주 전,http://www.youtube.com/watch?v=q7-QUBNj6-o,2020. 5. 21.,댓글 81개,1.4천개,56개,"
      21:03
    "
9,후반전 시작하자 3홀에 4언더! 눈앞에서 봤습니다^^ [골프존카운티 선운],https://i.ytimg.com/vi/AHXy6EBQhl0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLArSlKwnefruvcgWwWbuwXyhT_iHA,26만회,2주 전,http://www.youtube.com/watch?v=AHXy6EBQhl0,2020. 5. 19.,댓글 180개,1.9천개,103개,"
      51:10
    "
