,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,스틸 1위를 할 수 있었던 비결 공개 ? [곰PD의 드래프트 도전기 EP.14],https://i.ytimg.com/vi/F1QqgQkFxh4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAb8UdSu4olT4SiQSu_zkAZ3N1lqg,1.4만회,1일 전,http://www.youtube.com/watch?v=F1QqgQkFxh4,2020. 6. 5.,댓글 39개,210개,6개,"
      9:02
    "
1,역대급 조던 서울 매장에 방문해보았습니다,https://i.ytimg.com/vi/7HiQYR4W4iE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC0jeZpdu-iBxx_eCOSDaBuayvGNw,5.8만회,4일 전,http://www.youtube.com/watch?v=7HiQYR4W4iE,2020. 6. 2.,댓글 103개,700개,8개,"
      12:37
    "
2,MVP 허훈이 쿠로코의 농구를 본다면?,https://i.ytimg.com/vi/HROXGEoSfGQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLClAfpEVDZccSjIlkrV7u9TuUrR1g,6.5만회,1주 전,http://www.youtube.com/watch?v=HROXGEoSfGQ,2020. 5. 29.,댓글 186개,718개,17개,"
      6:36
    "
3,KBL 수비왕을 상대로 일반인은 몇 득점할 수 있을까? ? [곰PD의 드래프트 도전기 EP.13],https://i.ytimg.com/vi/6iDUDph5IYY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB5NlQ2-O_7TuOHmGkaw_3P2onXOQ,3.7만회,1주 전,http://www.youtube.com/watch?v=6iDUDph5IYY,2020. 5. 26.,댓글 93개,345개,11개,"
      9:15
    "
4,싱크로율 100%로 뽈인러브의 슛을 따라 한 구독자들 ㄷㄷㄷ,https://i.ytimg.com/vi/egTzZsCq5UQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCklOWftZh8MCrX7wQSIZI6r0yzBw,2.3만회,2주 전,http://www.youtube.com/watch?v=egTzZsCq5UQ,2020. 5. 22.,댓글 68개,252개,9개,"
      8:24
    "
5,농구 덕후 유튜버들과 한 판 승부 ? [곰PD의 드래프트 도전기 EP.12],https://i.ytimg.com/vi/0tfjBTX9Lyk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDG-tMyUZA-gm7S0tOlxb2AVMWpQQ,3.4만회,2주 전,http://www.youtube.com/watch?v=0tfjBTX9Lyk,2020. 5. 19.,댓글 159개,357개,12개,"
      15:00
    "
6,뽈인러브 서열 1위는 누구???,https://i.ytimg.com/vi/oDpJAZBcOhg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBxAgKajuFWDbila17hopqCIwH2Cw,5.5만회,3주 전,http://www.youtube.com/watch?v=oDpJAZBcOhg,2020. 5. 15.,댓글 167개,630개,15개,"
      10:47
    "
7,휴먼다큐 농구가 좋다 : 나는 농구선수가 되고 싶습니다 ? [곰PD의 드래프트 도전기 EP.11],https://i.ytimg.com/vi/4EaDSjeRHDo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDWyVdACWO38-OhNvIwnq9cheZY-g,1.5만회,3주 전,http://www.youtube.com/watch?v=4EaDSjeRHDo,2020. 5. 12.,댓글 102개,232개,9개,"
      25:46
    "
8,이렇게 골을 넣는다고? 구독자들의 역대급 난이도 슛들을 따라 해보았다!!!,https://i.ytimg.com/vi/3MSElw2Qq-A/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD6D_zwFVcGeWUMBQ8nOYNAZqhWpA,4만회,4주 전,http://www.youtube.com/watch?v=3MSElw2Qq-A,2020. 5. 8.,댓글 88개,442개,11개,"
      14:05
    "
9,리듬 전도사가 알려주는 반 박자 빠르게 농구하는 법 ? [곰PD의 드래프트 도전기 EP.10],https://i.ytimg.com/vi/HBTJiDU6Hi8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA6ASpekwJfawdUv7EmdL_Hhzk7iQ,1.8만회,1개월 전,http://www.youtube.com/watch?v=HBTJiDU6Hi8,2020. 5. 5.,댓글 62개,226개,10개,"
      12:13
    "
