,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,골프 드라이버 레슨 샬로윙 스쿼트 성공하는 비결 골프스윙 이기호프로,https://i.ytimg.com/vi/0MBlgVBya-w/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLClaUAHKt1QnZ_VZecTIJI010FpbQ,11만회,6일 전,http://www.youtube.com/watch?v=0MBlgVBya-w,2020. 5. 30.,댓글 104개,2.9천개,86개,"
      14:25
    "
1,골프레슨 드라이버 하프스윙편 골프스윙 이기호프로,https://i.ytimg.com/vi/1k0ykMh9MqQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAt4cI20E7Y-CYPV0l2buXqkDcySw,4.5만회,1주 전,http://www.youtube.com/watch?v=1k0ykMh9MqQ,2020. 5. 23.,댓글 45개,1.4천개,16개,"
      4:55
    "
2,드라이버 백스윙 테이크백 편 골프스윙 이기호프로,https://i.ytimg.com/vi/zIDN4x8RfJw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDG_Bhw5zM43ay1qnwq9EEKbDo1wA,3.6만회,1주 전,http://www.youtube.com/watch?v=zIDN4x8RfJw,2020. 5. 23.,댓글 19개,1.1천개,19개,"
      4:23
    "
3,똑바로 멀리치려면? 어프로치 찍어치기 발라치기 골프스윙 이기호프로,https://i.ytimg.com/vi/stxOGVa-Edo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBt7iHkuLPv97UMSytHQKpFLgdW9A,5.9만회,2주 전,http://www.youtube.com/watch?v=stxOGVa-Edo,2020. 5. 16.,댓글 54개,1.8천개,16개,"
      10:47
    "
4,90타 깨고 싱글로! 100m 이내 어프로치 샷 골프스윙동영상 이기호프로,https://i.ytimg.com/vi/1hKWya1XFo0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBh-r7Oc4kNIXCH5erZdZJqJPnt1A,1.7만회,2주 전,http://www.youtube.com/watch?v=1hKWya1XFo0,2020. 5. 16.,댓글 12개,675개,6개,"
      5:13
    "
5,똑바로 멀리치려면? 드라이버스윙 숏퍼팅 에이밍 골프스윙동영상 이기호프로 숏 퍼터,https://i.ytimg.com/vi/o3BN1XtJ8-o/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAymWNzF-OkCKZtMlguEP-ThE7XLg,8.4만회,3주 전,http://www.youtube.com/watch?v=o3BN1XtJ8-o,2020. 5. 9.,댓글 63개,1.4천개,41개,"
      17:55
    "
6,똑바로 멀리치려면? 드라이버스윙 퍼팅 필드레슨 골프스윙동영상 이기호프로,https://i.ytimg.com/vi/c4twDwUchOs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAhHGkSxHXjj674G_Bm1lXvjvJSdg,4.6만회,1개월 전,http://www.youtube.com/watch?v=c4twDwUchOs,2020. 5. 2.,댓글 62개,1천개,21개,"
      15:59
    "
7,똑바로 멀리치려면? 골프스윙템포 아이언 임팩트 골프스윙동영상 이기호프로,https://i.ytimg.com/vi/CmYj-JBebOI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBT68_0diKYzSXdEn0G9jWcDemuYQ,7.1만회,1개월 전,http://www.youtube.com/watch?v=CmYj-JBebOI,2020. 4. 25.,댓글 84개,2.3천개,25개,"
      10:15
    "
8,똑바로 멀리치려면? 드라이버스윙 인투아웃 드로우 치는법 골프스윙동영상 이기호프로,https://i.ytimg.com/vi/LOGua9yV7mY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAlMW7y3ntBNway0AOPdqF3Y4vmtQ,22만회,1개월 전,http://www.youtube.com/watch?v=LOGua9yV7mY,2020. 4. 18.,댓글 68개,2.8천개,58개,"
      11:41
    "
9,똑바로 멀리치려면? 골프 임팩트 힘빼는 방법 골프스윙 힘빼기 전환동작 이기호프로,https://i.ytimg.com/vi/9PWLTxbShgs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA_-tfDHotVUYj-Qnc7PAmNh2XBmA,19만회,1개월 전,http://www.youtube.com/watch?v=9PWLTxbShgs,2020. 4. 12.,댓글 77개,3.7천개,61개,"
      10:28
    "
