,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,과연 이 몸으로 대회 나가면 몇등할까? (Feat.율리예스),https://i.ytimg.com/vi/mxGYv35cgak/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-SY0sztHsAzbd3d0tmeD608mAjA,8.5만회,4일 전,http://www.youtube.com/watch?v=mxGYv35cgak,2020. 6. 2.,댓글 148개,1천개,26개,"
      9:30
    "
1,바디프로필 몸 잘나오는 꿀팁! 이건 꼭!,https://i.ytimg.com/vi/vWD6QAPzHC4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLADswbXIXNIPN1kq1bDAJ873-iqrw,3.1만회,1주 전,http://www.youtube.com/watch?v=vWD6QAPzHC4,2020. 5. 30.,댓글 89개,297개,15개,"
      5:27
    "
2,여자친구가 이걸 FLEX 해줬어요..... 클라스 ㅎㄷㄷ,https://i.ytimg.com/vi/qi_xRjXKICQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCjcp3_QDBaUq61ouwq9OQvoEVTRQ,1.6만회,2주 전,http://www.youtube.com/watch?v=qi_xRjXKICQ,2020. 5. 22.,댓글 73개,342개,10개,"
      3:50
    "
3,[동기부여] 2020년 첫 대회에 도전했습니다. (포징/과정/다이어트식단포함),https://i.ytimg.com/vi/NhSDGFlUhU8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLApA5loKI-N9daY1IMnnvBnQMl_Sw,7.4만회,2주 전,http://www.youtube.com/watch?v=NhSDGFlUhU8,2020. 5. 19.,댓글 194개,1천개,27개,"
      9:58
    "
4,야외에서 포즈연습 및 다이어트식단 그리고 생일 ??,https://i.ytimg.com/vi/jAboMyTsQDY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB-Tesn8dqSwF_ECE35v3ISTR0Fbg,1.1만회,3주 전,http://www.youtube.com/watch?v=jAboMyTsQDY,2020. 5. 12.,댓글 37개,201개,8개,"
      4:48
    "
5,다이어트할땐 이렇게 먹습니다..... 다이어트 하는법,https://i.ytimg.com/vi/AZOryvn4cP4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAeqSdEKPiDACAb7ryAOpyB4Hge3A,7.7만회,1개월 전,http://www.youtube.com/watch?v=AZOryvn4cP4,2020. 5. 4.,댓글 117개,794개,24개,"
      6:41
    "
6,집에 닭가슴살을 놔두고 왔을때....식단하는법,https://i.ytimg.com/vi/YzsXGilZ1e4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCXnGJ_tqd0AGgcX7TtFzi8AI6Leg,5.7만회,1개월 전,http://www.youtube.com/watch?v=YzsXGilZ1e4,2020. 4. 21.,댓글 159개,733개,21개,"
      2:51
    "
7,MBC에 또..나왔어요.... 고정...?,https://i.ytimg.com/vi/gU_5BtFpZoI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDBy9P-BTgaxKTFXMzOuQfSEp0mbA,29만회,1개월 전,http://www.youtube.com/watch?v=gU_5BtFpZoI,2020. 4. 13.,댓글 329개,2.8천개,44개,"
      8:36
    "
8,커플요가&운동 2탄 ㅋㅋㅋㅋ,https://i.ytimg.com/vi/sZ1cQFSpCCE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB66IXBMAor1V6mP6LYcGTOgwI7mg,5.2만회,1개월 전,http://www.youtube.com/watch?v=sZ1cQFSpCCE,2020. 4. 13.,댓글 72개,421개,11개,"
      3:49
    "
9,[몰카] 길거리에서 똥쌌을때 여친반응 ㅋㅋㅋㅋ 리얼 구역질ㅋㅋㅋ,https://i.ytimg.com/vi/6YgA6djwTGA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDOXpiMmmoff0OMvcLQmnk-LKLYVA,1.7만회,1개월 전,http://www.youtube.com/watch?v=6YgA6djwTGA,2020. 4. 9.,댓글 75개,318개,15개,"
      4:48
    "
