,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,본편보다 더 웃기는 새싹밟기 미방분 대방출ㅋㅋㅋㅋㅋ,https://i.ytimg.com/vi/FADdjAUyxEc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDE0xMNYdC2rOF0s0M0TK6_uTbMfw,3만회,3일 전,http://www.youtube.com/watch?v=FADdjAUyxEc,2020. 6. 3.,댓글 46개,469개,6개,"
      8:11
    "
1,이운재 꼼짝 못하게 만든 이형택의 발리슛.,https://i.ytimg.com/vi/hTHjqtAQSgI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBCtKp1h4dSFfbLxzmx46X1_NGdiQ,56만회,6일 전,http://www.youtube.com/watch?v=hTHjqtAQSgI,2020. 5. 31.,댓글 151개,1천개,37개,"
      4:20
    "
2,(토크온)에서 이천수로 롤하깈ㅋㅋㅋㅋㅋㅋㅋㅋ,https://i.ytimg.com/vi/i3fO33FT3hI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD5BT-bb5ZUPD197RDs_pfGT-1Bow,9.9천회,1주 전,http://www.youtube.com/watch?v=i3fO33FT3hI,2020. 5. 29.,댓글 32개,119개,4개,"
      6:32
    "
3,[롤] 이제 브론즈는 가볍게 이기는 이천수.,https://i.ytimg.com/vi/lSPUZOVHxTY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBkujMehtKsQmoRvyaLmFq63ZIdhQ,7.2천회,1주 전,http://www.youtube.com/watch?v=lSPUZOVHxTY,2020. 5. 27.,댓글 28개,66개,10개,"
      5:14
    "
4,송종국 무한깐족에 폭발직전 유상철 감독님ㅋㅋㅋㅋㅋㅋㅋㅋ,https://i.ytimg.com/vi/KT07bpq_-KQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC4ENp7qtYwGkIPFK7U5ZTukNVCYg,6.8만회,1주 전,http://www.youtube.com/watch?v=KT07bpq_-KQ,2020. 5. 23.,댓글 149개,577개,13개,"
      10:42
    "
5,[롤] 강의 도중 드러누워버린 테스터훈.,https://i.ytimg.com/vi/4isQp0RKNnE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDlYlSgAkNW4wYjaTQ3pba1_3mMzw,7.9천회,2주 전,http://www.youtube.com/watch?v=4isQp0RKNnE,2020. 5. 21.,댓글 17개,82개,7개,"
      6:43
    "
6,[롤] 테스터훈의 롤 실력은?,https://i.ytimg.com/vi/Hfo1tcBXFfI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqH5XoY9WUrurFp-QchsL7jPLwpQ,8.4천회,2주 전,http://www.youtube.com/watch?v=Hfo1tcBXFfI,2020. 5. 19.,댓글 29개,79개,6개,"
      7:51
    "
7,고딩들의 야유에 폭주하는 하승진.,https://i.ytimg.com/vi/ayeWN2KyZUI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCKcuMCecsTutAIHweXN5J-vjH2WQ,17만회,3주 전,http://www.youtube.com/watch?v=ayeWN2KyZUI,2020. 5. 15.,댓글 300개,1.5천개,37개,"
      12:41
    "
8,[롤] 골대 부술 기세로 덩크하는 이천수.,https://i.ytimg.com/vi/phUkQMhGTBE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBTqZE2MIUH_ZHg-ZpbvxqaJdfFKg,2만회,3주 전,http://www.youtube.com/watch?v=phUkQMhGTBE,2020. 5. 12.,댓글 42개,143개,22개,"
      5:20
    "
9,우지원 떡바르는 고딩.,https://i.ytimg.com/vi/Sgl-wJ26Vo4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA_agN3vvHifhUw55rxkNV8iRtZqw,24만회,4주 전,http://www.youtube.com/watch?v=Sgl-wJ26Vo4,2020. 5. 8.,댓글 243개,1.2천개,58개,"
      8:07
    "
