,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,이 기술까지 익히면 수비는 절대 못막는다!ㅣFootballEyeㅣ,https://i.ytimg.com/vi/2ZJXUANO5JU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCk4sk-2S-yNRC-VSm602ifoLBNJA,3.4만회,3주 전,http://www.youtube.com/watch?v=2ZJXUANO5JU,2020. 5. 15.,댓글 36개,498개,6개,"
      4:29
    "
1,수비가 아무리 압박해도 그냥 탈압박 가능한기술!ㅣFootballEyeㅣ,https://i.ytimg.com/vi/w8Hual0zeDM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCQkkYIWAUYWcNcVafWpiZS_m8OWQ,3.4만회,4주 전,http://www.youtube.com/watch?v=w8Hual0zeDM,2020. 5. 8.,댓글 30개,435개,9개,"
      4:24
    "
2,초등학생의 무서운 팬텀 드리블!?ㅣ 풋볼with아이 ㅣ,https://i.ytimg.com/vi/M9kw683Li20/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAzwuXStnzPlH-XrHWNhrlb4-S2ug,9.1천회,1개월 전,http://www.youtube.com/watch?v=M9kw683Li20,2020. 5. 3.,댓글 11개,64개,7개,"
      2:28
    "
3,10초만에 풋살 중앙에서 수비 농락 후 슈팅까지 끝내는 기술!ㅣFootballEyeㅣ,https://i.ytimg.com/vi/UEG3N1qwayE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDG0HtJs_KhSksPh6FF-ZTHSxbEcg,3.3만회,1개월 전,http://www.youtube.com/watch?v=UEG3N1qwayE,2020. 5. 1.,댓글 21개,301개,6개,"
      4:19
    "
4,애매한 볼을 100% 내 볼로 만드는 기술! ㅣFootball eyeㅣ,https://i.ytimg.com/vi/_4AEbMWU3Ag/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAiUIS-gT9d9qBwaJTdTEw7VQryXw,1만회,1개월 전,http://www.youtube.com/watch?v=_4AEbMWU3Ag,2020. 4. 28.,댓글 8개,152개,4개,"
      3:56
    "
5,저학년 초등학생의 미친 실전 기술!!? 왜이렇게 잘해!!ㅣ 풋볼with아이 ㅣ,https://i.ytimg.com/vi/b8LtcBS0SsA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCgRx_lxN7pIIFqcn59Ba-fmFO_iA,5.2천회,1개월 전,http://www.youtube.com/watch?v=b8LtcBS0SsA,2020. 4. 27.,댓글 4개,52개,2개,"
      5:08
    "
6,와....초등학생 바디페인팅이 너무 좋잖아!?ㅣ 풋볼with아이 ㅣ,https://i.ytimg.com/vi/uM6U-U3H0Fc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAdvevQfp9X6G8IJApSjVi8KtztDQ,2.1만회,1개월 전,http://www.youtube.com/watch?v=uM6U-U3H0Fc,2020. 4. 21.,댓글 14개,96개,6개,"
      2:37
    "
7,초등학생 3학년의 멋진 3대3대결(Feat.새로운 친구들의 등장)ㅣ 풋볼with아이 ㅣ,https://i.ytimg.com/vi/sdUzKNNzRBI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAx7SOvJboapzt-9y-DhFcZfDcDQg,4.1천회,1개월 전,http://www.youtube.com/watch?v=sdUzKNNzRBI,2020. 4. 17.,댓글 14개,49개,1개,"
      6:41
    "
8,수비를 등졌을 때 100% 벗어날 수 있는 스킬ㅣ Football eye ㅣ,https://i.ytimg.com/vi/jWUHejmgBNM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAfnGSsFipfEMDsf0Y_DD3M7sl1wQ,3.1만회,1개월 전,http://www.youtube.com/watch?v=jWUHejmgBNM,2020. 4. 15.,댓글 24개,485개,7개,"
      4:19
    "
9,아마추어와 선수출신의 실전 기술의 차이!?ㅣ Football eye ㅣ,https://i.ytimg.com/vi/mqjMYT3c7Mk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCkGEEeDbGUQ0xLlvHv5ecVw9n5qg,9천회,1개월 전,http://www.youtube.com/watch?v=mqjMYT3c7Mk,2020. 4. 14.,댓글 8개,109개,6개,"
      6:51
    "
