,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,세계 최고 속도로 살을 빼는 최강 다이어트!! - 강하나 스트레칭(2020.06),https://i.ytimg.com/vi/scFFbj_lt18/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBjhF8PgFI75s2yXaiMFlMfSnjzEA,4.3만회,1일 전,http://www.youtube.com/watch?v=scFFbj_lt18,2020. 6. 4.,댓글 129개,2.2천개,7개,"
      13:47
    "
1,오늘은 자기전! 이걸로 운동 끝!! 하루의 피로를 풀어주는 초간단 전신스트레칭 - 강하나 스트레칭(2020.06),https://i.ytimg.com/vi/Lzv9lv2fx54/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCqJPesxsirUzPgU4gZNFH_PEPOuA,9.4천회,4일 전,http://www.youtube.com/watch?v=Lzv9lv2fx54,2020. 6. 1.,댓글 29개,282개,3개,"
      17:36
    "
2,칼로리폭발!! / 다이어트를 끝장내는 엑기스 동작 총출동!! - 강하나 스트레칭(2020.05),https://i.ytimg.com/vi/f3oh0Kljf-Y/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD4BsfaM8ZJzXsx7xllbh3jL73wrg,4.1만회,1주 전,http://www.youtube.com/watch?v=f3oh0Kljf-Y,2020. 5. 28.,댓글 105개,1.6천개,12개,"
      30:02
    "
3,"강하나의 폼롤러,요가매트 런칭 촬영현장 """"coming soon""""  - 강하나 스트레칭(2020.05)",https://i.ytimg.com/vi/759QLfTINyU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLArPXSLoUvwYa02ypb97CrJkysDGQ,6.2천회,1주 전,http://www.youtube.com/watch?v=759QLfTINyU,2020. 5. 26.,댓글 35개,118개,2개,"
      3:33
    "
4,"""4주챌린지/같은몸무게 다른 체형/중요한건 체지방 관리!! - 강하나 스트레칭(2020.05)",https://i.ytimg.com/vi/qq2Nwcc9lFk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDPc6EvqPLb8R1ry6XDjjoqg76Vrw,3.2만회,2주 전,http://www.youtube.com/watch?v=qq2Nwcc9lFk,2020. 5. 21.,댓글 36개,539개,28개,"
      11:49
    "
5,골반 전.후방경사 운동법 / 초보자 운동법 / 슬럼프 완전 극복 / 라방 공지 / 강하나 Q&A - 강하나 스트레칭(2020.05),https://i.ytimg.com/vi/ty8jXqyMooo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAHyj-pYav2eFnGdvohwOELP5JHjw,1.2만회,2주 전,http://www.youtube.com/watch?v=ty8jXqyMooo,2020. 5. 18.,댓글 49개,411개,2개,"
      17:01
    "
6,운동 후 허리 아픔 | 관절 뚝 소리 | 이 영상으로 완전 해결!!-강하나Q&A - 강하나스트레칭(2020.05),https://i.ytimg.com/vi/6ZYeIGVWZ-U/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDi19EYeFyaZGuVEQqjejOAuP9JBA,9.6천회,3주 전,http://www.youtube.com/watch?v=6ZYeIGVWZ-U,2020. 5. 14.,댓글 38개,296개,1개,"
      19:19
    "
7,허벅지 사이즈 (XL에서 XS로) 앞벅지 볼록 해결!!뒷벅지셀룰제거  - 강하나 스트레칭(2020.05),https://i.ytimg.com/vi/PR7fcArgHh8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDZPl_yH6SagCDsPDtxkXAHZ-HJmA,15만회,3주 전,http://www.youtube.com/watch?v=PR7fcArgHh8,2020. 5. 11.,댓글 230개,6.8천개,28개,"
      11:34
    "
8,"??하체 살빠지는 고강도 동작이지만, 4분만에 끝????- 강하나 스트레칭(2020.05)",https://i.ytimg.com/vi/CtbNWQxypRU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqbosiBFFTeRkfw3_OKhhjISDkuQ,2.9만회,4주 전,http://www.youtube.com/watch?v=CtbNWQxypRU,2020. 5. 7.,댓글 32개,891개,1개,"
      5:38
    "
9,"눈과 몸이 냉수마찰 하듯  시원해지는 ""딱!!!10분"" 야외 스트레칭 bench,chair stretching ( - 강하나 스트레칭(2020.05)",https://i.ytimg.com/vi/axPSYwXd0Ok/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAKC-eWxt7AFtVyXRMoOnRkn-gw5Q,1만회,1개월 전,http://www.youtube.com/watch?v=axPSYwXd0Ok,2020. 5. 4.,댓글 30개,254개,0개,"
      11:09
    "
10,4분투자 전신초토화!!! Fullbody burning 오늘은 이걸로 운동 끝!!!- 강하나 스트레칭(2020.04),https://i.ytimg.com/vi/d2XfmY-iuq0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD66xcK9gOhoGQk2tKtVKMSosa21w,8.6만회,1개월 전,http://www.youtube.com/watch?v=d2XfmY-iuq0,2020. 4. 27.,댓글 87개,2.9천개,15개,"
      7:00
    "
11,"평생 종아리알을 갖고 살았다면..... ""오늘 해결할때""  -  강하나 스트레칭(2020.04)",https://i.ytimg.com/vi/QbANRcjn5UU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCE0Zip3YP4SoYeDQKexdFHy3r4LA,2.6만회,1개월 전,http://www.youtube.com/watch?v=QbANRcjn5UU,2020. 4. 23.,댓글 42개,839개,2개,"
      25:41
    "
12,보기 싫은 부유방 없애기!! (10년 젊어보이는 등!!) - 초초초간단동작 BRA BULGE& SLIM BACK  - 강하나 스트레칭(2020.04),https://i.ytimg.com/vi/MJVJt4aaA0o/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDvI7AuTWpqtmjSxcWyzVXL7cHVFA,10만회,1개월 전,http://www.youtube.com/watch?v=MJVJt4aaA0o,2020. 4. 20.,댓글 62개,2.2천개,25개,"
      19:37
    "
13,하체 살 빠지는 근육만 콕 집어운동하는 쉽고 효과 빠른 하체운동inner thigh exercise - 강하나 스트레칭(2020.04),https://i.ytimg.com/vi/qX4DiSIrYlc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCq96xHWeb8ipPd2DYzk5fptbdgPQ,31만회,1개월 전,http://www.youtube.com/watch?v=qX4DiSIrYlc,2020. 4. 16.,댓글 403개,1.2만개,56개,"
      21:08
    "
14,"최단시간내 지방제로13분 복부서킷운동(뒷목통증NO, 허리통증NO)13min abs workout - 강하나 스트레칭(2020.04)",https://i.ytimg.com/vi/B9ka7HhYJU8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBYrkR5K42QxtBJgZSlAgaWcAdhuA,14만회,1개월 전,http://www.youtube.com/watch?v=B9ka7HhYJU8,2020. 4. 13.,댓글 119개,3.2천개,43개,"
      23:49
    "
15,7일동안 -3KG 빼기 도전!!! - (전신 슬림해지는 서킷 운동)  -  강하나 스트레칭(2020.04),https://i.ytimg.com/vi/1mBnMWdLHRU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCmhAc8xbIhWRtgP6S1s8WGXVoWng,18만회,1개월 전,http://www.youtube.com/watch?v=1mBnMWdLHRU,2020. 4. 9.,댓글 294개,5.7천개,31개,"
      13:34
    "
16,"1주일만에 슬림해지는 팔뚝살 빼기 편집본!!! - slimarms ,upper body workout (강하나 스트레칭2020.04)",https://i.ytimg.com/vi/ocD_ziDYubw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCkYH3h1kaWce5f81wKnmGzmDuNWA,26만회,1개월 전,http://www.youtube.com/watch?v=ocD_ziDYubw,2020. 4. 6.,댓글 391개,7.2천개,65개,"
      19:20
    "
17,홈트족들 모두모여!!! 2탄  (60분)  -  강하나 스트레칭(2020.04),https://i.ytimg.com/vi/QhV4H8T5T0s/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAGQpNRUfzZNhob6Qtiqn09CN-O4g,3.1만회,2개월 전,http://www.youtube.com/watch?v=QhV4H8T5T0s,2020. 4. 2.,댓글 88개,929개,7개,"
      1:00:30
    "
18,홈트족들 모두모여!!!  (50분) -  강하나 스트레칭(2020.03),https://i.ytimg.com/vi/kQlEdkcXaQo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAL5Boimlsp_SfOcOsopD9ApDO0yQ,4.5만회,2개월 전,http://www.youtube.com/watch?v=kQlEdkcXaQo,2020. 3. 26.,댓글 134개,1.4천개,12개,"
      52:33
    "
19,아무운동!!! (급찐급빠20분) - 강하나 스트레칭(2020.03),https://i.ytimg.com/vi/s3siw_EW6-c/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDwQVX3RCQN7nuOnCFddMFv4G7WYA,3.3만회,2개월 전,http://www.youtube.com/watch?v=s3siw_EW6-c,2020. 3. 19.,댓글 72개,773개,13개,"
      20:41
    "
