,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,남아공월드컵 16강에 빛나는 공격수! 센스 미쳤다... 레게노 예약!(with. K리그 신인왕 출신 ㅎㅎㅎㅎ),https://i.ytimg.com/vi/XlNQ2gUqJ8g/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBUzeLXNn2-luE4IZzdow9V0W5RfA,2.5만회,22시간 전,http://www.youtube.com/watch?v=XlNQ2gUqJ8g,2020. 6. 5.,댓글 43개,201개,4개,"
      8:05
    "
1,최근 달라진 이강인의 피지컬! 그래서 분석해 보았습니다! 가장 이상적인 축구선수 몸은????,https://i.ytimg.com/vi/WMm99h7hiY8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA07VB7HzkBh3fasyY7VR4sENOaog,6.5만회,1일 전,http://www.youtube.com/watch?v=WMm99h7hiY8,2020. 6. 5.,댓글 149개,679개,50개,"
      7:50
    "
2,"10대프리키커 진짜 이 정도 일 줄은 몰랐다ㄷㄷㄷ(메시,네이마르도 힘들어한 로봇 골키퍼와의 대결!!!!)",https://i.ytimg.com/vi/g1v5qIeeX2w/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB24fuOHujx7zJPy8XelThtJhs9Cg,8.8만회,2일 전,http://www.youtube.com/watch?v=g1v5qIeeX2w,2020. 6. 4.,댓글 358개,1.3천개,28개,"
      6:30
    "
3,레전드 김병지 앞에서 슈퍼세이브 하는 여자 국가대표 골키퍼! (소름주의),https://i.ytimg.com/vi/WUrFiY11Ev0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDNbMJfOXfKeEgH8HP2CXNC8LcGaQ,1만회,4일 전,http://www.youtube.com/watch?v=WUrFiY11Ev0,2020. 6. 2.,댓글 30개,163개,4개,"
      9:04
    "
4,"국대를 대적하는 아마추어 클라스 보소?? ㄷㄷ(김병지, 김형범, 이승렬, 심서연, 정인환, 윤영글, 조찬호)",https://i.ytimg.com/vi/c-LjddjzAVs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAkOu_OVFVmlNkcuW8Ja9wun_Zdlg,1.8만회,5일 전,http://www.youtube.com/watch?v=c-LjddjzAVs,2020. 6. 1.,댓글 40개,202개,5개,"
      7:10
    "
5,김병지가 뽑은 대한민국 역대 골키퍼 순위!,https://i.ytimg.com/vi/bq7QTEj4ohc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDp9WY7ju9PFjiQ9ROUslws054P6Q,6.7만회,1주 전,http://www.youtube.com/watch?v=bq7QTEj4ohc,2020. 5. 24.,댓글 470개,863개,38개,"
      8:08
    "
6,아마추어계의 뭉찬 꽁병지FC 2차 모집,https://i.ytimg.com/vi/JHojd3H9cPk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCNR6XZuBxyq9YE-YGE7YXZYpFdSQ,4.7천회,2주 전,http://www.youtube.com/watch?v=JHojd3H9cPk,2020. 5. 22.,댓글 20개,85개,1개,"
      0:50
    "
7,"키 큰 공격수 vs 키 작은 공격수, 답답해서 현역 감독한테 물어보았습니다",https://i.ytimg.com/vi/umvYMgOUznQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAcKdYp98AYWSfZ_ZJnCXkiJ-u78w,1.9만회,2주 전,http://www.youtube.com/watch?v=umvYMgOUznQ,2020. 5. 21.,댓글 86개,314개,9개,"
      7:00
    "
8,김병지가 뽑은 우리나라 역대 측면수비수 순위,https://i.ytimg.com/vi/H3TgGWz1TUs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBkc2CJHVee8j1eMFhKqAzsqVr1Zg,9.2만회,2주 전,http://www.youtube.com/watch?v=H3TgGWz1TUs,2020. 5. 20.,댓글 448개,1천개,31개,"
      6:40
    "
9,"이강인, 쿠보 여러분이 감독이라면 누구 쓰실 거예요?",https://i.ytimg.com/vi/qOZU9OB9FvY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB02W82bXr3kbKHowhTaI1f_6aBPg,2.5만회,2주 전,http://www.youtube.com/watch?v=qOZU9OB9FvY,2020. 5. 19.,댓글 413개,393개,38개,"
      8:29
    "
