,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,현지 취재기자가 알려주는 손흥민 사인과 유니폼 겟 명당 [달수네 라이브],https://i.ytimg.com/vi/Yu74cEJm1u8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBOB-VJJES4CIRUoKjHcgSn_1utjg,4.2천회,7시간 전,http://www.youtube.com/watch?v=Yu74cEJm1u8,2020. 6. 6.,댓글 25개,191개,6개,"
      14:38
    "
1,"피를로, 만치니의 뜻을 아시나요? [이탈리아 성명학]",https://i.ytimg.com/vi/MoYKZssvSsw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAFrfoHwjPy8fuvSAjWx2wCbhXlRw,3.7천회,13시간 전,http://www.youtube.com/watch?v=MoYKZssvSsw,2020. 6. 5.,댓글 20개,130개,3개,"
      7:02
    "
2,[PL재개 팀분석 울버햄튼 편] 챔스 최대복병 울버햄튼 20명의 조직력,https://i.ytimg.com/vi/7cHTarxJmEo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB0ZjBSPnkOpe6MKV0BdidCkha5UA,9천회,1일 전,http://www.youtube.com/watch?v=7cHTarxJmEo,2020. 6. 5.,댓글 41개,186개,9개,"
      5:44
    "
3,동해안더비! 서울vs전북! 홍시후vs정승원 격돌 예측 [K리그 5R 프리뷰],https://i.ytimg.com/vi/XlRb_pgjC1c/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBENBpbi5e9t4wIngrKsFOWw8t_pQ,5.8천회,1일 전,http://www.youtube.com/watch?v=XlRb_pgjC1c,2020. 6. 4.,댓글 38개,147개,5개,"
      15:34
    "
4,"[PL재개 팀분석 맨시티 편] 김덕배, 사네, 라포르트 복귀한 맨시티의 미친 더블 스쿼드",https://i.ytimg.com/vi/HfT5KKpIWNk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDw7j84ngGpLTqVzLgHceGCuu74ig,2.1만회,2일 전,http://www.youtube.com/watch?v=HfT5KKpIWNk,2020. 6. 4.,댓글 113개,378개,16개,"
      5:48
    "
5,"18년전 오늘의 영웅, 유상철 당신을 응원합니다 [달수네 라이브]",https://i.ytimg.com/vi/txO54ikU71Y/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBfrP3KY9PtEqv8Y58yCzFZ-BtYOA,4.7천회,2일 전,http://www.youtube.com/watch?v=txO54ikU71Y,2020. 6. 4.,댓글 37개,198개,2개,"
      1:51
    "
6,(훈련 동영상 입수) 벌크업 이강인 발렌시아 주전 경쟁 도움될까 [위클리 라리가],https://i.ytimg.com/vi/BQwyanWHlZU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB0N5hCD484AK7pNoL38W2EhxkbAA,5.7만회,2일 전,http://www.youtube.com/watch?v=BQwyanWHlZU,2020. 6. 3.,댓글 187개,718개,33개,"
      17:35
    "
7,"[PL재개 팀분석 토트넘편] 손흥민, 케인, 베르흐베인에 시소코까지 복귀한 토트넘 전력 분석",https://i.ytimg.com/vi/qz2Op6xT4tU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDyUk_0ZkkWNnSk94nnpNon7p6tUw,6만회,3일 전,http://www.youtube.com/watch?v=qz2Op6xT4tU,2020. 6. 3.,댓글 266개,969개,35개,"
      8:11
    "
8,맨유는 왜 이갈로 임대 연장했나 그래픽 분석 [달수네 라이브],https://i.ytimg.com/vi/WuMdExj2ETw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBGGw_zWO26msMYJI4WrsK-fefUWg,1.5만회,3일 전,http://www.youtube.com/watch?v=WuMdExj2ETw,2020. 6. 3.,댓글 54개,268개,10개,"
      6:30
    "
9,"[PL재개 팀분석 첼시편] 캉테 윌리안 변수, 최종전까지 뛸까?",https://i.ytimg.com/vi/bwtxgqkqkbc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBLsDB1_Nh4cX_0sg6pFH3WalVhcw,1.5만회,4일 전,http://www.youtube.com/watch?v=bwtxgqkqkbc,2020. 6. 1.,댓글 85개,270개,14개,"
      7:05
    "
