,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,#11. [번개볼S2] 이번에도 가봉맨 팔아야했나....?,https://i.ytimg.com/vi/N58fQR4vgrk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAztjFwpbod7syXF5AeTKoFQalE0Q,1.7천회,1시간 전,http://www.youtube.com/watch?v=N58fQR4vgrk,2020. 6. 6.,댓글 60개,194개,7개,"
      39:59
    "
1,[다이어추] 추멘 삭발 D-70 (쿠키영상 있음),https://i.ytimg.com/vi/jxsvEPZ7aSM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCfYM87TwdgzdWmD3IhhxqXnfRICw,4.3천회,3시간 전,http://www.youtube.com/watch?v=jxsvEPZ7aSM,2020. 6. 6.,댓글 160개,485개,7개,"
      10:12
    "
2,"[방구석토크] 재개 전, 19/20 프리미어리그 베스트11 체크",https://i.ytimg.com/vi/Aj9EE603F2s/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDPHFjkX3uHynH8TQXh5Q5uqoX3yg,3.3만회,6시간 전,http://www.youtube.com/watch?v=Aj9EE603F2s,2020. 6. 6.,댓글 769개,886개,28개,"
      14:11
    "
3,"[방구석토크] 재개 전, 19/20 라리가 베스트11 체크",https://i.ytimg.com/vi/VRwLyrzyY5M/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCZBRKLAKN0XQ9gifmlT9mh3wFUIg,4.1만회,9시간 전,http://www.youtube.com/watch?v=VRwLyrzyY5M,2020. 6. 5.,댓글 324개,867개,20개,"
      21:34
    "
4,"[방구석토크] 재개 전, 19/20 세리에 A 베스트11 체크",https://i.ytimg.com/vi/i4KY7EL6kpA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBt4Wute2WhdPPZHglnK8bt2W2Tdw,3.9만회,12시간 전,http://www.youtube.com/watch?v=i4KY7EL6kpA,2020. 6. 5.,댓글 228개,797개,24개,"
      15:34
    "
5,"#10. [번개볼S2] 박번개, 뒤통수 조심해!!",https://i.ytimg.com/vi/q-64UAGHk5U/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCTm6McIyFLTEPXfilrQrRH1OW4qQ,4.3만회,1일 전,http://www.youtube.com/watch?v=q-64UAGHk5U,2020. 6. 5.,댓글 107개,511개,17개,"
      41:54
    "
6,[밸런스게임] 홍대에서 공개 빨래 vs 직원들 앞에서 공개 빨래,https://i.ytimg.com/vi/LgADboqLeuU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA35oyJz8CBqmW9n1SGfZyaTFqfIg,4.8만회,1일 전,http://www.youtube.com/watch?v=LgADboqLeuU,2020. 6. 5.,댓글 383개,1.4천개,22개,"
      10:15
    "
7,"[방구석토크] 베르너, 첼시 이적 임박!? 왜 리버풀은 영입 안 했나?",https://i.ytimg.com/vi/qWfx0iQO9v4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA9aCkuIihvIv-M8VsFau8WAs8Quw,10만회,1일 전,http://www.youtube.com/watch?v=qWfx0iQO9v4,2020. 6. 4.,댓글 834개,2천개,40개,"
      14:07
    "
8,"#9. [번개볼S2] 박번개 아스날의 새로운 ACE, 율리안 드락슬러",https://i.ytimg.com/vi/-JmNgXXgr2Q/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCKBnvViHraIEvMGeTNyTs_NyQrfg,4.9만회,2일 전,http://www.youtube.com/watch?v=-JmNgXXgr2Q,2020. 6. 4.,댓글 155개,606개,21개,"
      42:27
    "
9,[추배달] 영화 해바라기 보면서 먹기 좋은 치킨,https://i.ytimg.com/vi/0fRzgRqXXx4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBrgNL23xLESmserDzwKd_8OCScWw,5만회,2일 전,http://www.youtube.com/watch?v=0fRzgRqXXx4,2020. 6. 4.,댓글 246개,1.1천개,28개,"
      16:31
    "
