,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,식사를 합니다 (feat. 짐승처럼),https://i.ytimg.com/vi/N-f3s3nEQFg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBl8YbnWOrxMgwSiAYCewU4RZQSJg,1만회,2일 전,http://www.youtube.com/watch?v=N-f3s3nEQFg,2020. 6. 4.,댓글 30개,120개,4개,"
      1:54
    "
1,하반신 마비 과연 어떻게 운동해야 될까? ( feat. 영상 속 주인공 꼭 연락 줘!),https://i.ytimg.com/vi/DdaghEZDXw0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA79nancBshte7Nl7HDioSa74-5Tg,5천회,4일 전,http://www.youtube.com/watch?v=DdaghEZDXw0,2020. 6. 2.,댓글 37개,173개,2개,"
      3:55
    "
2,고2 키:173cm 몸무게:60kg 몸이 더 이상 변하지 않는 이유?? (feat. 고2가 몸이. . ㄷ ㄷ ㄷ 너 찐이다.),https://i.ytimg.com/vi/W-7_MTDfNhY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLACp4dLKL1do4D4V0WC5CmP8vKNWw,5.9만회,1주 전,http://www.youtube.com/watch?v=W-7_MTDfNhY,2020. 5. 28.,댓글 130개,720개,20개,"
      8:52
    "
3,거북목 라운드 숄더가 심한 힘콩이 하는 스트레칭은?? ( feat . 꼭 1주일만 따라해보세요!),https://i.ytimg.com/vi/mZxGJfkBxmg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDG7vXiR64OvsZHkyZltvXAupQX1g,6.4천회,2주 전,http://www.youtube.com/watch?v=mZxGJfkBxmg,2020. 5. 19.,댓글 33개,245개,1개,"
      6:36
    "
4,감사합니다. 힘콩의 성장스토리,https://i.ytimg.com/vi/rcDS7MJTd-8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBlstQUHRAq0woNnayMxv-lyoQS3Q,5.8천회,2주 전,http://www.youtube.com/watch?v=rcDS7MJTd-8,2020. 5. 17.,댓글 29개,100개,5개,"
      0:09
    "
5,178cm 78kg 하체비만이라 고민입니다..,https://i.ytimg.com/vi/5sIpgEH7S4c/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDSsoIq4JRjJ6xjebWhCUk12RFPuA,4만회,3주 전,http://www.youtube.com/watch?v=5sIpgEH7S4c,2020. 5. 12.,댓글 84개,361개,11개,"
      6:47
    "
6,하체운동경력 6년차 vs 1년에 6번 하체운동경력자 (feat . 역시 나는 하체킹!),https://i.ytimg.com/vi/-Q5FchkYqH0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA9hNSta2XMdrMvWZsAkoei7dtmTg,1.2만회,4주 전,http://www.youtube.com/watch?v=-Q5FchkYqH0,2020. 5. 7.,댓글 42개,135개,5개,"
      3:51
    "
7,자칭 피트니스 여신과 간단하게 햄버거 두당 4개?? (feat . 요새 입맛이 없습니다.),https://i.ytimg.com/vi/O4wI6MZciKo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDCRty9SopzbRBbuL7b8o1GJwdUXQ,1만회,1개월 전,http://www.youtube.com/watch?v=O4wI6MZciKo,2020. 5. 5.,댓글 51개,125개,6개,"
      12:56
    "
8,힘콩의 차리뷰 휴.. 별거 없네요 (feat. 맥라렌?? 뻘컵?? 음.. ),https://i.ytimg.com/vi/ZxIt-7P_TXM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAZx8ZWlUGg0lrQvuiqvrMJD3x2yw,1.4만회,1개월 전,http://www.youtube.com/watch?v=ZxIt-7P_TXM,2020. 4. 30.,댓글 51개,227개,20개,"
      7:37
    "
9,어깨의 중요성?? 얼굴의 중요성?? (feat. 이거 기획한 애 옆자리로. . ),https://i.ytimg.com/vi/42OBVPrQOJE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC6pmsfHjjuoYvEaASYeWCxqPiY5A,1.5만회,1개월 전,http://www.youtube.com/watch?v=42OBVPrQOJE,2020. 4. 29.,댓글 37개,141개,13개,"
      0:11
    "
10,안녕하세요 자칭 피트니스 여신 아지니를 소개합니다. ( feat. 힘콩하체는 정말 부실?? ),https://i.ytimg.com/vi/2ymzGAre2fI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCJiAuraBMj5DM2dlbai6aUW0YO1g,1.1만회,1개월 전,http://www.youtube.com/watch?v=2ymzGAre2fI,2020. 4. 28.,댓글 24개,109개,3개,"
      3:40
    "
11,키 172cm 몸무게 102kg 초고도비만 너는 절대 살 못뺀다!,https://i.ytimg.com/vi/bl-T_uO9Kr8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBKJpizHn9HyoOsDDyqlkG-bItIfA,14만회,1개월 전,http://www.youtube.com/watch?v=bl-T_uO9Kr8,2020. 4. 23.,댓글 440개,1.9천개,50개,"
      10:07
    "
12,약 안빨고 만든 초 진지 운동광고영상 (feat. 진지하게 모델 뻘컵),https://i.ytimg.com/vi/IOCt5l7w1RI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDd26TRJ3NrINl_WDG9x5k9CsSvZg,6천회,1개월 전,http://www.youtube.com/watch?v=IOCt5l7w1RI,2020. 4. 21.,댓글 23개,137개,7개,"
      1:42
    "
13,약 1도 안빨고 만든 운동광고영상 (feat. 후.. 혼신의 힘들다함),https://i.ytimg.com/vi/9cCkf7zpsOE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCHfEyBUUm2rB5GbBe04uMhWLMWyg,1.1만회,1개월 전,http://www.youtube.com/watch?v=9cCkf7zpsOE,2020. 4. 13.,댓글 45개,168개,10개,"
      0:31
    "
14,하루에 딱 5분! 집에서 하는 맨몸 5분 복근 운동!,https://i.ytimg.com/vi/8290BKA7v5w/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCsqMDZk0JmOi1keZ0w8e4SIt23Dw,1.8만회,2개월 전,http://www.youtube.com/watch?v=8290BKA7v5w,2020. 4. 2.,댓글 37개,459개,10개,"
      0:58
    "
