,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,13연승 UFC 최강 챔피언을 깨트려버린 충격적인 그 경기 !!,https://i.ytimg.com/vi/zm2NdDZ3O8k/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC_tQAqalXaiufYAuy3ziNNxo7pRg,3.8만회,1주 전,http://www.youtube.com/watch?v=zm2NdDZ3O8k,2020. 5. 23.,댓글 43개,504개,31개,"
      15:22
    "
1,러시아 다운 살벌한 발상 ㄷㄷ 가늘고 긴 링에서 단체로 싸운다 !! #TTC 3경기,https://i.ytimg.com/vi/uh5J749HL5Q/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC2B35nFodJYBTJFGMqkGzLp_dZqg,2.1만회,2주 전,http://www.youtube.com/watch?v=uh5J749HL5Q,2020. 5. 22.,댓글 35개,223개,5개,"
      10:17
    "
2,세계에서 가장 싸움을 잘하는 여자..!!? 체급을 넘나들며 모조리 때려눕히는 여전사 ㄷㄷ,https://i.ytimg.com/vi/DWcguO9H_dg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAy22UOg6jGDnxcO7WZl9fLE10nWA,17만회,2주 전,http://www.youtube.com/watch?v=DWcguO9H_dg,2020. 5. 21.,댓글 217개,1.3천개,88개,"
      10:31
    "
3,(여성 MMA) 대한민국 태권도 파이터 vs 프랑스 킥복싱 파이터,https://i.ytimg.com/vi/A3_HQh8idv0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC4tnOfhTNUzrqEu1PJxUhVarvqsQ,2.5만회,2주 전,http://www.youtube.com/watch?v=A3_HQh8idv0,2020. 5. 20.,댓글 80개,179개,15개,"
      9:30
    "
4,마이크 타이슨보다 KO승률 높은 헤비급 복서? KO승률만 98% ㄷㄷ,https://i.ytimg.com/vi/pt_l0UdcCIc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDzh9QtYfyz_76ZYr5KJFX-e9a9Eg,87만회,2주 전,http://www.youtube.com/watch?v=pt_l0UdcCIc,2020. 5. 19.,댓글 522개,3.6천개,235개,"
      12:08
    "
5,격투기에 특화된 피지컬 !!? 운동 배우고 3달만에 파이터가된 진정한 싸움 천재 프란시스 은가누 !!!,https://i.ytimg.com/vi/z0WRQCNsNmw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCQyJOdx3OMQmMMp_eJ_13man2bHQ,66만회,2주 전,http://www.youtube.com/watch?v=z0WRQCNsNmw,2020. 5. 17.,댓글 601개,4.2천개,345개,"
      13:38
    "
6,(실제 싸움) 55kg 프로 복서 vs 아저씨 스트리트 파이터,https://i.ytimg.com/vi/5TtHfi8etyg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCYM8I_YeShW00BpjYAn_OSaQhTIw,13만회,2주 전,http://www.youtube.com/watch?v=5TtHfi8etyg,2020. 5. 16.,댓글 171개,690개,39개,"
      2:54
    "
7,전세계 최강 MMA 선수의 키가 160cm라고 !!? 드미트리우스 존슨 ㄷㄷ,https://i.ytimg.com/vi/hsanK0fleuY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBkMWTE88_F-zRzFEfFBOexypV2Yg,14만회,3주 전,http://www.youtube.com/watch?v=hsanK0fleuY,2020. 5. 15.,댓글 87개,992개,61개,"
      14:44
    "
8,스턴건 김동현 제자중에 초사이언이 있다고..!!?,https://i.ytimg.com/vi/TpsLmsSdUos/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC6wT2uoRkAoZlJ9BEdyN64NxDemg,1.3만회,3주 전,http://www.youtube.com/watch?v=TpsLmsSdUos,2020. 5. 14.,댓글 33개,146개,9개,"
      15:40
    "
9,스테로이드 없이는 이길 수 없는 괴물? 탈인간급 맷집과 파워를 자랑하는 마크 헌트 ㄷㄷ,https://i.ytimg.com/vi/zr0EGHDh5qA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC871t6To0VbirHdj4CnkJ83WWN5A,48만회,3주 전,http://www.youtube.com/watch?v=zr0EGHDh5qA,2020. 5. 13.,댓글 375개,2.2천개,112개,"
      11:54
    "
10,영화 300을 모티브로 만든 단체 격투기 !! 돌아가면서 싸우는 4대4 격투 ㄷㄷ #TTC 2탄 !!,https://i.ytimg.com/vi/gsoDUG3MaoY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD8_OVt-Zc0mBfoPG4hxXXd60tPPg,19만회,3주 전,http://www.youtube.com/watch?v=gsoDUG3MaoY,2020. 5. 13.,댓글 271개,1.2천개,83개,"
      17:41
    "
