,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,엘리트 체육이 낳은 악,https://i.ytimg.com/vi/GWxBBtJf0CA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCmlJI7MJG5jzXK-qNk3z_982I8qw,16만회,5일 전,http://www.youtube.com/watch?v=GWxBBtJf0CA,2020. 6. 1.,"댓글 1,578개",6.1천개,160개,"
      8:10
    "
1,보디빌더들은 무슨 근거로 피지크를 무시하는 걸까?,https://i.ytimg.com/vi/OVfkdy6imew/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDRKW0iWVu-pZ200G-DrW8PMDDGlw,22만회,1주 전,http://www.youtube.com/watch?v=OVfkdy6imew,2020. 5. 28.,댓글 996개,4.3천개,155개,"
      7:53
    "
2,강형욱이 헬스 트레이너라면..? - 흑자헬스,https://i.ytimg.com/vi/t2ZSaxZULTI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB11cBXKrhzKI83aIRCw4AIqTouZQ,18만회,2주 전,http://www.youtube.com/watch?v=t2ZSaxZULTI,2020. 5. 17.,"댓글 1,139개",4.3천개,172개,"
      4:07
    "
3,흑자헬스가 마사지 건을 협찬받으면 생기는 일 [트라택 액티브건],https://i.ytimg.com/vi/MxwHwBURGTs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB6vPbVwpMLn3aFxGddZbTE3iT1Eg,19만회,3주 전,http://www.youtube.com/watch?v=MxwHwBURGTs,2020. 5. 15.,"댓글 1,258개",3.7천개,121개,"
      1:34
    "
4,구독자 운동 피드백 1편 - 오바트레이닝,https://i.ytimg.com/vi/UH0POb-VND8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB5U_K5R1J-cNW1RhzsuHkBiphfZg,32만회,3주 전,http://www.youtube.com/watch?v=UH0POb-VND8,2020. 5. 13.,"댓글 1,782개",5천개,204개,"
      12:32
    "
5,저는 오늘부터 헬스 유튜버입니다,https://i.ytimg.com/vi/yoRaPh8qhGI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDrNVhY-2OVmDY9XtCxGqSF-_r1dQ,24만회,3주 전,http://www.youtube.com/watch?v=yoRaPh8qhGI,2020. 5. 11.,"댓글 2,189개",5.6천개,209개,"
      1:22
    "
6,패션쇼 - 흑자헬스는 어떤 옷을 입을까?,https://i.ytimg.com/vi/FTij9J_ARok/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBvA_3X0gVm6cAfdAeN6qWFxOhbIw,20만회,4주 전,http://www.youtube.com/watch?v=FTij9J_ARok,2020. 5. 9.,"댓글 1,779개",4.6천개,139개,"
      4:30
    "
7,사과의 정석 - 사과 제대로 하기,https://i.ytimg.com/vi/a0Z_i-LEIrA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBEsQsTsKSDefUPFpsLLKu8yzwZ6w,26만회,4주 전,http://www.youtube.com/watch?v=a0Z_i-LEIrA,2020. 5. 7.,"댓글 1,430개",5천개,424개,"
      2:43
    "
8,저중량으로 근육을 키울 수 없는 이유,https://i.ytimg.com/vi/ViT9KpolnR4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCjLPdcQvMIbE-6OTWejY_LuNxi3g,36만회,1개월 전,http://www.youtube.com/watch?v=ViT9KpolnR4,2020. 5. 6.,"댓글 1,898개",5.8천개,195개,"
      9:38
    "
9,못생겼으면 벌크업 하라고! 제발!!,https://i.ytimg.com/vi/TUkaPxLAwbw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAO20jKRm7oSnGC_nOFvwFPCS1p0w,25만회,1개월 전,http://www.youtube.com/watch?v=TUkaPxLAwbw,2020. 4. 30.,"댓글 2,316개",4.8천개,127개,"
      4:33
    "
10,[배짱이] 흑자헬스가 귀귀의 만화를 광고하는 영상,https://i.ytimg.com/vi/s2k60YsLy9s/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCB6d4xZGwD6Wo7rHf2-OYIzsrJig,9만회,1개월 전,http://www.youtube.com/watch?v=s2k60YsLy9s,2020. 4. 29.,댓글 414개,1.9천개,66개,"
      3:48
    "
11,유튜브는 수준 미달 트레이너들의 사신입니다,https://i.ytimg.com/vi/Rd-KnBvXB8g/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBpCL66x5W5_R5GXwWtehgJAlntTQ,29만회,1개월 전,http://www.youtube.com/watch?v=Rd-KnBvXB8g,2020. 4. 27.,"댓글 1,770개",6.1천개,174개,"
      6:26
    "
12,역대 최악의 트레이너. 이건 사람이 아닙니다,https://i.ytimg.com/vi/h3pZQGEPlp4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAO-Y-Lypj9nkq7TSu7-szyy82hZQ,58만회,1개월 전,http://www.youtube.com/watch?v=h3pZQGEPlp4,2020. 4. 24.,"댓글 2,703개",1.3만개,194개,"
      12:16
    "
13,"거짓말, 통수 전문 트레이너가 PT를 회당 50만 원 받아먹어?",https://i.ytimg.com/vi/mvxh1PfYVGE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBNphu-PSUTrqf0fzhK4g4qXhEhyg,54만회,1개월 전,http://www.youtube.com/watch?v=mvxh1PfYVGE,2020. 4. 21.,"댓글 1,750개",8.8천개,175개,"
      5:06
    "
14,"간헐적 단식, 키토제닉, 저중량 훈련에 대해",https://i.ytimg.com/vi/Yf_5H7Zfp0I/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDJvYglgAXJpYX-G1NzUa7dhRHCNg,20만회,1개월 전,http://www.youtube.com/watch?v=Yf_5H7Zfp0I,2020. 4. 18.,"댓글 1,378개",3.8천개,160개,"
      6:57
    "
15,"어깨가 넓어진다는 증거, 그럼 골반은?",https://i.ytimg.com/vi/CUAABW7zdLY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAdzM6LhID9cTPhGQzEhBLpfRIXuA,51만회,1개월 전,http://www.youtube.com/watch?v=CUAABW7zdLY,2020. 4. 16.,"댓글 2,128개",7.7천개,197개,"
      6:45
    "
