,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,8MIN TABATA WORKOUT I 전신 고강도 타바타 8분 (진짜힘듦주의),https://i.ytimg.com/vi/H7QollPZa9Q/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBoWEp-w2hfyN5vQ5IxC_KVwRrXOA,17만회,3주 전,http://www.youtube.com/watch?v=H7QollPZa9Q,2020. 5. 8.,댓글 291개,4.1천개,22개,"
      11:04
    "
1,속보)심으뜸 본격 스트리머 데뷔???,https://i.ytimg.com/vi/q2mFQqE_mkM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDSThNKl9dsb60KOpsYC1_sYDVDUQ,24만회,4주 전,http://www.youtube.com/watch?v=q2mFQqE_mkM,2020. 5. 7.,댓글 265개,2.5천개,40개,"
      8:35
    "
2,"엉밑살 제거운동 끝판왕. 정확하게 자극점 찾는 방법, 셀룰라이트, 순환관리, 운동법 대공개!!!",https://i.ytimg.com/vi/4fiPPPmIkHI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDLc65NRQ_6NTjU7TRsBW0tlvkl9Q,13만회,1개월 전,http://www.youtube.com/watch?v=4fiPPPmIkHI,2020. 5. 4.,댓글 137개,2.7천개,42개,"
      18:39
    "
3,"옆구리, 뒷구리 이제 안녕할 때가 되었습니다....",https://i.ytimg.com/vi/Tq_DZrOS8Hs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAsiJNkEqXOY6cJtysouCPaQHn1Wg,8만회,1개월 전,http://www.youtube.com/watch?v=Tq_DZrOS8Hs,2020. 5. 1.,댓글 158개,1.6천개,35개,"
      16:46
    "
4,마운틴클라이머의 정석 I How to mountain climber,https://i.ytimg.com/vi/DFtVTpRBsAY/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDCxxjHgV2KK7VtVkHsLaMOoLuBvg,4만회,1개월 전,http://www.youtube.com/watch?v=DFtVTpRBsAY,2020. 4. 29.,댓글 62개,854개,11개,"
      12:28
    "
5,하루100개 스쿼트 챌린지(응용동작으로 재밌게 하기),https://i.ytimg.com/vi/0OU6l2KYRxo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqk3eg4W39qeB7wog8M6DMn5o7iQ,6.9만회,1개월 전,http://www.youtube.com/watch?v=0OU6l2KYRxo,2020. 4. 28.,댓글 144개,1.7천개,13개,"
      13:51
    "
6,상하체불균형 : 상체비만 운동법 I  upper body strength and fat burning workout,https://i.ytimg.com/vi/87uwSVdvPY8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDsaOCcBdU7fDTh67mKcQd7UvI1-g,10만회,1개월 전,http://www.youtube.com/watch?v=87uwSVdvPY8,2020. 4. 23.,댓글 139개,2.6천개,20개,"
      20:04
    "
7,스쿼트 500개 with 빡빡이삼형제,https://i.ytimg.com/vi/AlXWczieeD8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBDcM-OYJs_ZopeIH1tYMWwahtanA,18만회,1개월 전,http://www.youtube.com/watch?v=AlXWczieeD8,2020. 4. 21.,댓글 301개,1.6천개,24개,"
      19:37
    "
8,망했어요….. 유튜브 테러당했습니다.....,https://i.ytimg.com/vi/rGhGmRSlL6c/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDmU04ZaNw-8VYa9pNr4P-0TPtv8Q,58만회,1개월 전,http://www.youtube.com/watch?v=rGhGmRSlL6c,2020. 4. 17.,댓글 753개,5.5천개,109개,"
      15:53
    "
9,ENG) 상하체불균형 : 하체비만 운동법 I Leg fat burning workout and stretch,https://i.ytimg.com/vi/UaX5G9pHvUM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAwHMNciz8roDKYvO74BgB9YtXvLg,62만회,1개월 전,http://www.youtube.com/watch?v=UaX5G9pHvUM,2020. 4. 17.,댓글 520개,1.4만개,102개,"
      17:54
    "
10,ENG) 체지방 태우는 고강도 타바타+스쿼트 챌린지(땀폭발주의) I TABATA + SQUAT CHALLENGE,https://i.ytimg.com/vi/D5H62WkQg_4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLClECQKoKU01tpSnbPsKETUX6QZvg,48만회,1개월 전,http://www.youtube.com/watch?v=D5H62WkQg_4,2020. 4. 14.,댓글 344개,6천개,83개,"
      9:14
    "
