,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,짜파게티 소세지 계란후라이 먹방 MUKBANG,https://i.ytimg.com/vi/h7aXWABtSZY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA44AKOUDvGlCtTwnPQ5CmxNVMhOA,14만회,19시간 전,http://www.youtube.com/watch?v=h7aXWABtSZY,2020. 6. 2.,댓글 274개,4.8천개,271개,"
      11:37
    "
1,엽기떡볶이 베이컨 당면 먹방 MUKBANG,https://i.ytimg.com/vi/t5esTOYv8Mg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCqt7p6RSZVhC7TFhzj9FOLSECTxQ,13만회,1일 전,http://www.youtube.com/watch?v=t5esTOYv8Mg,2020. 6. 1.,댓글 197개,3.6천개,253개,"
      10:44
    "
2,BBQ 뱀파이어 치킨 SPICY FRIED CHICKEN 먹방 Mukbang,https://i.ytimg.com/vi/vJd2dJiyP9o/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCo7R95W-1kbaCQj-aBTsKmsUEHrw,13만회,2일 전,http://www.youtube.com/watch?v=vJd2dJiyP9o,2020. 5. 31.,댓글 367개,3.9천개,248개,"
      11:41
    "
3,골뱅이비빔국수 고기왕만두 먹방 Mukbang,https://i.ytimg.com/vi/F4fngUubNKg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA5ufFRPew3OE3-hi3erAnLT9g_eA,21만회,4일 전,http://www.youtube.com/watch?v=F4fngUubNKg,2020. 5. 29.,댓글 200개,5천개,362개,"
      9:15
    "
4,산더미 스팸 어묵볶음 계란후라이 집밥 먹방 MUKBANG,https://i.ytimg.com/vi/L4noQAsy1-s/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBbsMp1njd8CIxl5MPO9t1bDNtn4g,19만회,5일 전,http://www.youtube.com/watch?v=L4noQAsy1-s,2020. 5. 28.,댓글 210개,4.4천개,419개,"
      10:03
    "
5,BBQ 자메이카통다리구이 치킨 CHICKEN 먹방 Mukbang,https://i.ytimg.com/vi/1L1Fxv_UT2Q/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLALYkLFdo4kHObecswxb3CmQeO6OA,19만회,6일 전,http://www.youtube.com/watch?v=1L1Fxv_UT2Q,2020. 5. 27.,댓글 198개,4.7천개,343개,"
      5:29
    "
6,크림진짬뽕 소세지 계란후라이 먹방 MUKBANG,https://i.ytimg.com/vi/NkSgqQG5xsY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCG78PEsnrX-GbHfjeOA8sm8nB1LQ,22만회,1주 전,http://www.youtube.com/watch?v=NkSgqQG5xsY,2020. 5. 26.,댓글 329개,5.6천개,463개,"
      8:57
    "
7,로제볶이 파스타 떡볶이 중국당면 먹방 Mukbang Eating Sound,https://i.ytimg.com/vi/OL7P9DlRDiM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAtByzqGAimUN4TnSDQQo0d0NhVpQ,19만회,1주 전,http://www.youtube.com/watch?v=OL7P9DlRDiM,2020. 5. 25.,댓글 213개,4.9천개,321개,"
      6:09
    "
8,불닭비빔면VS지옥의야끼소바 라면 먹방 SPICY NOODLES CHALLENGE MUKBANG,https://i.ytimg.com/vi/K-FRL-R2iRY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB_GnpDtgbYkt82Y_WgJB6nGdaLzA,18만회,1주 전,http://www.youtube.com/watch?v=K-FRL-R2iRY,2020. 5. 24.,댓글 353개,4.5천개,458개,"
      6:37
    "
9,순살 양념 치킨 콘치즈 먹방 Mukbang Eating Sound,https://i.ytimg.com/vi/56vrQ30NaGE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD3GxjMniavfxxt6PLotegm4eI8hg,16만회,1주 전,http://www.youtube.com/watch?v=56vrQ30NaGE,2020. 5. 23.,댓글 200개,4천개,290개,"
      10:48
    "
10,뚜레쥬르 러브앤초코 케이크 먹방 MUKBANG,https://i.ytimg.com/vi/EQ2dFcFvVhI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD21eG9edzdrwAzi4CE4KDo_tuFyA,11만회,1주 전,http://www.youtube.com/watch?v=EQ2dFcFvVhI,2020. 5. 22.,댓글 179개,2.8천개,249개,"
      10:27
    "
11,육회비빔밥 먹방 MUKBANG,https://i.ytimg.com/vi/HMjkr-BUOts/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBpYThRNJKCCWPPPIAEV6kLpLNbnw,16만회,1주 전,http://www.youtube.com/watch?v=HMjkr-BUOts,2020. 5. 21.,댓글 225개,4.3천개,341개,"
      8:39
    "
12,해물짬뽕 라면 먹방 Mukbang Eating Sound,https://i.ytimg.com/vi/m2Hr69T3Hc4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBPp60uDcdbR476Hc9G0xE_sASA0w,24만회,1주 전,http://www.youtube.com/watch?v=m2Hr69T3Hc4,2020. 5. 20.,댓글 332개,5.5천개,391개,"
      7:30
    "
13,쇠고기꼬치 닭껍질꼬치 새우꼬치 먹방 Mukbang Eating Sound,https://i.ytimg.com/vi/nAyFe5hwVD4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCLHwSvPDOJkihHZdnEFb5AJLbqFA,11만회,2주 전,http://www.youtube.com/watch?v=nAyFe5hwVD4,2020. 5. 19.,댓글 131개,2.9천개,246개,"
      14:10
    "
14,냉짬뽕 볶음김치 먹방 MUKBANG,https://i.ytimg.com/vi/qY5Rirqmf6w/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC2RdpHuoI-MTKTEDtlxMesjy9Kqg,11만회,2주 전,http://www.youtube.com/watch?v=qY5Rirqmf6w,2020. 5. 18.,댓글 145개,2.7천개,320개,"
      5:20
    "
15,앵그리 짜파구리 Chapaguri Cup Noodle 라면 먹방 Mukbang,https://i.ytimg.com/vi/G8KM0Dm6N_U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB8tifN1rHO5r9AGi48vyifc8tx-w,34만회,2주 전,http://www.youtube.com/watch?v=G8KM0Dm6N_U,2020. 5. 17.,댓글 408개,7.4천개,435개,"
      10:57
    "
16,느림보슈크림 빵 먹방 Mukbang Eating Sound,https://i.ytimg.com/vi/g3qMYZReEi4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCW-R_gd4W53IHPt_bQ_LX8Ju_uAw,12만회,2주 전,http://www.youtube.com/watch?v=g3qMYZReEi4,2020. 5. 16.,댓글 282개,2.9천개,279개,"
      5:49
    "
17,스프링롤 훈제연어스프링롤 게맛살스프링롤 새우스프링롤 먹방 Mukbang Eating Sound,https://i.ytimg.com/vi/J7TSNHs3x-U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAZIvJ6RUYGvlvKDN3TiQx49OeXYA,17만회,2주 전,http://www.youtube.com/watch?v=J7TSNHs3x-U,2020. 5. 15.,댓글 282개,4.2천개,291개,"
      12:17
    "
18,밤토리4X프란6 불닭볶음면 빨리 먹기 Korean Spicy Noodle Challenge Mukbang,https://i.ytimg.com/vi/ejB7tGwoJj8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCgkE_8vn9b_x55eItQkHZaXzw0dQ,15만회,2주 전,http://www.youtube.com/watch?v=ejB7tGwoJj8,2020. 5. 14.,댓글 390개,4.5천개,395개,"
      4:28
    "
19,편집본 응급실떡볶이 치즈토핑 먹방 MUKBANG,https://i.ytimg.com/vi/JnLrwwwKyv8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA0iU9AgwV5SJRlSi43zk18o17jDA,14만회,2주 전,http://www.youtube.com/watch?v=JnLrwwwKyv8,2020. 5. 13.,댓글 210개,3천개,323개,"
      13:24
    "
