,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,보들보들 계란떡볶이 :: Fried Egg Tteokbokki,https://i.ytimg.com/vi/1tdY-WGL3nQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCx2RTXix4NyqPQfUsJCFrdJ_dvBA,57만회,6일 전,http://www.youtube.com/watch?v=1tdY-WGL3nQ,2020. 5. 29.,"댓글 1,721개",2.4만개,326개,"
      3:28
    "
1,매콤달콤 분식집 라면땅,https://i.ytimg.com/vi/M5zoFVG9WbI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB1RRt6zlKkMpo96qwYyaa77TaJ2A,51만회,1주 전,http://www.youtube.com/watch?v=M5zoFVG9WbI,2020. 5. 22.,"댓글 1,579개",2.1만개,1천개,"
      4:11
    "
2,퐁신한 계란말이 초밥,https://i.ytimg.com/vi/jyUUHITab8w/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAt91Ws0RhAIBhXWiaCPMkZUQ24dg,75만회,3주 전,http://www.youtube.com/watch?v=jyUUHITab8w,2020. 5. 14.,"댓글 1,826개",3.6만개,248개,"
      4:03
    "
3,딸기 샌드위치,https://i.ytimg.com/vi/8XzBuv7_hyY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDLfI1dqg-Ar596Z6Vlf-LRAkaUiA,62만회,4주 전,http://www.youtube.com/watch?v=8XzBuv7_hyY,2020. 5. 7.,"댓글 1,660개",2.9만개,516개,"
      3:29
    "
4,맛있는 잡채밥,https://i.ytimg.com/vi/SbL9If8L_gs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCb9Nixn9cjKqnrNcVzwKNptGRaOg,63만회,1개월 전,http://www.youtube.com/watch?v=SbL9If8L_gs,2020. 4. 30.,"댓글 1,786개",2.6만개,241개,"
      3:18
    "
5,바삭바삭 카라멜 식빵 팝콘,https://i.ytimg.com/vi/PBwymcwI9dI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAmudxXOVOooDDhYsdAyrzY13V_2g,454만회,1개월 전,http://www.youtube.com/watch?v=PBwymcwI9dI,2020. 4. 24.,"댓글 5,272개",23만개,2.7천개,"
      3:25
    "
6,밥도둑 반숙 계란장,https://i.ytimg.com/vi/bOLafpzjJSk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC9QtV6ovDQdb5cHYTDUpXr7_nGdQ,156만회,1개월 전,http://www.youtube.com/watch?v=bOLafpzjJSk,2020. 4. 17.,"댓글 3,068개",5만개,860개,"
      3:26
    "
7,쌀종이 튀기기,https://i.ytimg.com/vi/jqzpHWEACao/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB5Nva84lyobBJgl0__ig1LjsHmKg,254만회,1개월 전,http://www.youtube.com/watch?v=jqzpHWEACao,2020. 4. 11.,"댓글 6,319개",6.2만개,1.9천개,"
      3:29
    "
8,볶음우동 :: 간단요리 :: #96,https://i.ytimg.com/vi/ienGoTyboNE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA71bBgXwC9JwLZ9iqUukDPcD8wkg,113만회,1개월 전,http://www.youtube.com/watch?v=ienGoTyboNE,2020. 4. 8.,"댓글 2,331개",4.3만개,340개,"
      3:29
    "
9,두부 참치전 :: #95,https://i.ytimg.com/vi/Yh5w2sTPl4I/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBfBR-lHDDKWI--P32BDi0O6W8F5Q,77만회,2개월 전,http://www.youtube.com/watch?v=Yh5w2sTPl4I,2020. 4. 1.,"댓글 1,683개",2.7만개,231개,"
      3:03
    "
