,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,"ASMR 수제초콜릿 먹방 (트러플, 퍼지)",https://i.ytimg.com/vi/OWlzPsT_jq4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDzvu8StOzDUDcvyx9LrVkPmv90Ng,23만회,2주 전,http://www.youtube.com/watch?v=OWlzPsT_jq4,2020. 5. 17.,"댓글 1,346개",7.4천개,204개,"
      10:09
    "
1,ASMR 짬뽕 먹방,https://i.ytimg.com/vi/mEyNl2p-5Mw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDF4ZpTXa4no0B-uk0liZxCyBzAuw,14만회,2주 전,http://www.youtube.com/watch?v=mEyNl2p-5Mw,2020. 5. 15.,댓글 643개,4.9천개,125개,"
      9:46
    "
2,ASMR 쫄볶이 튀김만두 먹방,https://i.ytimg.com/vi/XkJBaIZcX1U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDknzdTgwVlxVqpLA4uBJ0IYaeJYg,23만회,3주 전,http://www.youtube.com/watch?v=XkJBaIZcX1U,2020. 5. 13.,댓글 886개,8.6천개,188개,"
      11:59
    "
3,ASMR 새우튀김우동 먹방,https://i.ytimg.com/vi/sx6bLrcHVis/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLABFXpxN6IKBBG3nN8oPsbobnd-ug,15만회,3주 전,http://www.youtube.com/watch?v=sx6bLrcHVis,2020. 5. 11.,댓글 684개,5.8천개,137개,"
      14:01
    "
4,ASMR 잔디젤리 대왕주사기젤리 먹방,https://i.ytimg.com/vi/Npv6C1f8upE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD8_hk7n0PqC6lKSMMuEs2VYluBWw,17만회,3주 전,http://www.youtube.com/watch?v=Npv6C1f8upE,2020. 5. 9.,댓글 673개,5.3천개,184개,"
      6:51
    "
5,ASMR 메밀국수 먹방 (빅바이트),https://i.ytimg.com/vi/KJAPJ23B7es/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBwm3JsXr8N10mx2EHhDZIVFvEfxA,14만회,3주 전,http://www.youtube.com/watch?v=KJAPJ23B7es,2020. 5. 7.,댓글 642개,4.9천개,189개,"
      10:12
    "
6,ASMR 건조 마시멜로우 먹방 (마시멜로우 시리얼),https://i.ytimg.com/vi/0ZOjZP_pa20/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDNL_w3BLBM0p4dMBGHJZCTY3D5Sg,26만회,4주 전,http://www.youtube.com/watch?v=0ZOjZP_pa20,2020. 5. 5.,댓글 946개,7.8천개,165개,"
      9:24
    "
7,ASMR 쫄면 먹방,https://i.ytimg.com/vi/rG8JFNOxNAs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAMi2EqIPGfygMpX2iMNgrrn2gzPw,17만회,1개월 전,http://www.youtube.com/watch?v=rG8JFNOxNAs,2020. 5. 3.,댓글 601개,6천개,103개,"
      10:28
    "
8,ASMR 치즈부은 돈까스 먹방,https://i.ytimg.com/vi/hfb8h0kOWwg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAqVyghLS16d0v_bQEcXAttpjxW0A,12만회,1개월 전,http://www.youtube.com/watch?v=hfb8h0kOWwg,2020. 5. 1.,댓글 503개,4.3천개,110개,"
      10:00
    "
9,ASMR 얼린마시멜로우 먹방 (Fail),https://i.ytimg.com/vi/GFCfVqPPl_4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAyqU-BZhLEWfFY4qCrXUOG0e2xbQ,37만회,1개월 전,http://www.youtube.com/watch?v=GFCfVqPPl_4,2020. 4. 29.,댓글 947개,9.4천개,228개,"
      5:10
    "
10,ASMR 초밥 게튀김롤 먹방🍣,https://i.ytimg.com/vi/6lvCq6m-nQc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA-OzIIL8-9B_sECK62i02oEk_VPA,15만회,1개월 전,http://www.youtube.com/watch?v=6lvCq6m-nQc,2020. 4. 27.,댓글 655개,5.6천개,126개,"
      7:49
    "
11,"ASMR 하리보 프리마베라, 컬러라도, 베리젤리 독일젤리 먹방",https://i.ytimg.com/vi/7OKchXoaeWE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAP5gddma5rIkt1eOqXDUp2NOwL6A,39만회,1개월 전,http://www.youtube.com/watch?v=7OKchXoaeWE,2020. 4. 25.,"댓글 1,217개",1만개,305개,"
      14:29
    "
12,ASMR 식빵피자 먹방🍕,https://i.ytimg.com/vi/BqGCIHO3sEY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCLvvBbi2dUx7T3d95nxMXmk6cWtw,19만회,1개월 전,http://www.youtube.com/watch?v=BqGCIHO3sEY,2020. 4. 23.,"댓글 1,080개",7.4천개,125개,"
      7:55
    "
13,ASMR 대왕 초콜릿 얼음 먹방 🍫❄️,https://i.ytimg.com/vi/hkrZ_aQQGas/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCBk6nZVPD6owICjg4CTB_0fssnzQ,28만회,1개월 전,http://www.youtube.com/watch?v=hkrZ_aQQGas,2020. 4. 21.,"댓글 1,065개",9천개,203개,"
      10:35
    "
14,"ASMR 까르보불닭볶음면 중국당면,치즈추가 먹방",https://i.ytimg.com/vi/QHEeU0GovWw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDfot3ktO0ifEARx02X1YTaAEyVYQ,29만회,1개월 전,http://www.youtube.com/watch?v=QHEeU0GovWw,2020. 4. 19.,"댓글 1,779개",1만개,222개,"
      11:57
    "
15,ASMR 후라이드치킨 양념치킨 먹방,https://i.ytimg.com/vi/h8KAwpY7izA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAuT2aATl8QpKTjetok3WTvpUqYNg,26만회,1개월 전,http://www.youtube.com/watch?v=h8KAwpY7izA,2020. 4. 17.,댓글 914개,8천개,154개,"
      14:35
    "
16,ASMR 크리스피크림 도너츠 먹방,https://i.ytimg.com/vi/CWpj-hwh5IQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDlnWc5uzFonBgFHGIjpecB1MJ8tA,21만회,1개월 전,http://www.youtube.com/watch?v=CWpj-hwh5IQ,2020. 4. 15.,댓글 810개,6.5천개,162개,"
      9:31
    "
