,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,오늘도 수고했어! 비타민 톡톡💛 레모나 마카롱 만들기! - 아리키친,https://i.ytimg.com/vi/IcYJWVGApFo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC46Udz_sMiJbRLoaeeh47myIeBvw,12만회,4일 전,http://www.youtube.com/watch?v=IcYJWVGApFo,2020. 5. 30.,댓글 622개,4.8천개,49개,"
      12:23
    "
1,포켓몬스터가 밥속에 풍덩~! 캐릭터 밥상 만들기♥ - 아리키친,https://i.ytimg.com/vi/G2y9l94ybJc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDdBdNCZHkjskIsotV_R1P2Hetxdg,11만회,1주 전,http://www.youtube.com/watch?v=G2y9l94ybJc,2020. 5. 23.,댓글 554개,4.6천개,56개,"
      10:49
    "
2,온라인샵 오픈! 이제 아리키친 디저트를 택배로 받아보세요♥,https://i.ytimg.com/vi/sxpnIN-qvnU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA9ccj-2sMty-FgH2QzuUaTyDSaeQ,4.2만회,1주 전,http://www.youtube.com/watch?v=sxpnIN-qvnU,2020. 5. 22.,댓글 368개,2.1천개,30개,"
      3:42
    "
3,아따맛나! 시원하게 쨘🍺 재료 3가지! 미니어처 맥주젤리 만들기! - 아리키친,https://i.ytimg.com/vi/f_GtWqQROUM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDQkX1CujF4ywmsI6DwnS5X0VYDGw,40만회,2주 전,http://www.youtube.com/watch?v=f_GtWqQROUM,2020. 5. 16.,댓글 817개,9.9천개,184개,"
      7:44
    "
4,대환장파티💢 4500번 젓고 때려 만드는 삼불점🔥 - 아리키친,https://i.ytimg.com/vi/GG7NgIHUe4s/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC0yL3TyyTjBLYwhylF7DNkPP1gxQ,35만회,1개월 전,http://www.youtube.com/watch?v=GG7NgIHUe4s,2020. 5. 2.,댓글 818개,8.1천개,146개,"
      12:14
    "
5,고품격 딸기 생크림 멜팅케이크 만들기 🍰✨ Berry-Thx!! - 아리키친,https://i.ytimg.com/vi/9r7Foi69nz0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBznV6Mp1jd1F9JUc0RDl2x7M98uA,17만회,1개월 전,http://www.youtube.com/watch?v=9r7Foi69nz0,2020. 4. 25.,댓글 472개,5.6천개,50개,"
      9:40
    "
6,먹지 말고 뿌려보세요! 케이크를 더 반짝이게✨ 코하쿠토 스프링클 응용편! - 아리키친,https://i.ytimg.com/vi/7hFmU6yLzm0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD2L3b7J6MB0Qe-DDir64JAsmccpg,32만회,1개월 전,http://www.youtube.com/watch?v=7hFmU6yLzm0,2020. 4. 18.,"댓글 1,051개",1만개,116개,"
      10:58
    "
7,요거통통~♥ 딸기요거트 다쿠아즈케이크 만들기! - 아리키친,https://i.ytimg.com/vi/E_wKv49FZpk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBRGiFjWdFxCIjQ9iM4dB5nUvcL7A,21만회,1개월 전,http://www.youtube.com/watch?v=E_wKv49FZpk,2020. 4. 11.,댓글 562개,7.1천개,74개,"
      12:00
    "
8,클래식 블루💙 럭셔리 로얄 크라운 케이크 만들기! - 아리키친,https://i.ytimg.com/vi/0ta79SKLb0Q/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDfg2d2Uyk_8G5TXfwuJbH18Swecw,47만회,2개월 전,http://www.youtube.com/watch?v=0ta79SKLb0Q,2020. 4. 4.,"댓글 1,256개",1.3만개,180개,"
      12:40
    "
9,바삭~쫄깃!치즈쭉쭉♥ ٩(๑❛ᗨ❛๑)۶ 옥수수 멜론빵 만들기!  - 아리키친,https://i.ytimg.com/vi/Cfg3IRBFd2M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBQMg7FECu34jpYqyXz35NQ3EpLoA,17만회,2개월 전,http://www.youtube.com/watch?v=Cfg3IRBFd2M,2020. 3. 28.,댓글 486개,5.4천개,64개,"
      12:16
    "
