,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,계란샌드위치로 후식 먹방~! 20200604/mukbang,https://i.ytimg.com/vi/3JkjUES59hI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLABavc39qTYTTdwWlSADEu54cxWIA,5.3만회,11시간 전,http://www.youtube.com/watch?v=3JkjUES59hI,2020. 6. 4.,댓글 85개,1.1천개,38개,"
      41:18
    "
1,시~원하게 중국냉면으로 속풀이 먹방!! 20200604/Mukbang,https://i.ytimg.com/vi/VI_9QncmfDA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAfuVDAiwIzlH6VTwRSwc-Dpm-Erg,8.3만회,12시간 전,http://www.youtube.com/watch?v=VI_9QncmfDA,2020. 6. 4.,댓글 122개,1.8천개,64개,"
      39:52
    "
2,"양꼬치 없는 양꼬치 술방! 20200603/Mukbang, eating show",https://i.ytimg.com/vi/0XcyduBICQ8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDajaT2Aqbbu-DrM-IWNRkZAJ_yxw,7.6만회,23시간 전,http://www.youtube.com/watch?v=0XcyduBICQ8,2020. 6. 3.,댓글 214개,1.4천개,61개,"
      47:47
    "
3,배스킨라빈스 신상 없는 신상 리뷰 먹방..? 20200602/Mukbang,https://i.ytimg.com/vi/rbizeZnJ614/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAts3P1jUvzGcQghGAi0gT2zwh73g,10만회,2일 전,http://www.youtube.com/watch?v=rbizeZnJ614,2020. 6. 2.,댓글 106개,1.2천개,41개,"
      41:29
    "
4,"라볶이,김밥,만두,돈까스 등 분식 먹방!! 20200602/Mukbang, eating show",https://i.ytimg.com/vi/JihLDjKLuGo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDl_8u9HgqzQCt1YKUvPcv2vpsTlw,22만회,2일 전,http://www.youtube.com/watch?v=JihLDjKLuGo,2020. 6. 2.,댓글 220개,3.6천개,98개,"
      44:49
    "
5,명랑핫도그 휴게소세트와 시리얼 먹고 골드버튼 언빡싱!! 20200601,https://i.ytimg.com/vi/s6jF_kslyqQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD0LH7NMTTXdKHEhrzNPmMRUZtd8Q,14만회,3일 전,http://www.youtube.com/watch?v=s6jF_kslyqQ,2020. 6. 1.,댓글 167개,2.9천개,73개,"
      54:35
    "
6,"6월1일 우유의 날 맞이 우유크림 오므라이스 먹방~! 20200601/Mukbang, eating show",https://i.ytimg.com/vi/FciHCApKNU4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDxCLhiklis26M72lexcsfKVmnuAg,12만회,3일 전,http://www.youtube.com/watch?v=FciHCApKNU4,2020. 6. 1.,댓글 133개,1.9천개,65개,"
      41:54
    "
7,[ENG/EDIT] 햇님의 점심 한 끼 먹방편~! /20200528 방송 편집버전,https://i.ytimg.com/vi/6Ck5uH051rg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAJ_ufkFX8yrcvwcmDUdYH-WovRhg,14만회,4일 전,http://www.youtube.com/watch?v=6Ck5uH051rg,2020. 5. 31.,댓글 206개,2.2천개,47개,"
      19:44
    "
8,[ENG/EDIT]   참깨라면 8개 끓여먹기 먹방편~! / 20200527방송 편집버전,https://i.ytimg.com/vi/CIdRIOmLRSU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-McQWCXHTNmOXsb0draaAsTcG4Q,6만회,5일 전,http://www.youtube.com/watch?v=CIdRIOmLRSU,2020. 5. 30.,댓글 98개,1.2천개,29개,"
      15:15
    "
9,"언니는 점심에 뭐 먹어요?? 햇님의 점심 한 끼 1편  20200528/Mukbang, eating show",https://i.ytimg.com/vi/mDXM1cRCePE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCnW289_lzNC-Uo-5qOYPejjpMrGA,31만회,1주 전,http://www.youtube.com/watch?v=mDXM1cRCePE,2020. 5. 28.,댓글 281개,4.5천개,120개,"
      46:19
    "
10,"너무 길어서 나눠서 올리는 햇님의 점심 한 끼 2편  20200528/Mukbang, eating show",https://i.ytimg.com/vi/jPycHwm2Tdw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBI1n_ivMJh6a0nSlLM9DtaUXASFQ,19만회,1주 전,http://www.youtube.com/watch?v=jPycHwm2Tdw,2020. 5. 28.,댓글 268개,3.1천개,108개,"
      1:36:31
    "
11,"KFC에그타르트로 후식먹방~!! 20200527/Mukbang, eating show",https://i.ytimg.com/vi/m778yQf7xTU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAl7oubXR8j10n5TWID_Nr4duzE9g,10만회,1주 전,http://www.youtube.com/watch?v=m778yQf7xTU,2020. 5. 27.,댓글 129개,1.7천개,49개,"
      44:51
    "
12,참깨라면 8개 끓여먹기!! 20200527/Mukbang,https://i.ytimg.com/vi/OHtGlHzHPSg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCURzG84gq1vryQVcNVbhdQd1a51A,20만회,1주 전,http://www.youtube.com/watch?v=OHtGlHzHPSg,2020. 5. 27.,댓글 244개,3.2천개,105개,"
      56:56
    "
13,오늘은 간단히 쌀국수만 먹는 방송!! 20200526/Mukbang,https://i.ytimg.com/vi/QKpHOZ9V8Cc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCbM_85bZpRrpYT8T-w3eMCIjAsXg,30만회,1주 전,http://www.youtube.com/watch?v=QKpHOZ9V8Cc,2020. 5. 26.,댓글 361개,4.8천개,121개,"
      47:25
    "
14,퀴즈노스 샌드위치와 클램차우더로 후식먹방!! 20200525/Mukbang,https://i.ytimg.com/vi/Jmo4ikjnNQY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqk-FRirFWcxqJds0KtyYyEUMpTw,11만회,1주 전,http://www.youtube.com/watch?v=Jmo4ikjnNQY,2020. 5. 25.,댓글 105개,1.6천개,60개,"
      48:56
    "
15,간만에 낙곱새!! 낙곱새 4인분에 밥 비벼먹기~!!  20200525/Mukbang,https://i.ytimg.com/vi/KMjiQ0O9a-w/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA0Sya2LcGCir-lqVxV8VHy436Ceg,20만회,1주 전,http://www.youtube.com/watch?v=KMjiQ0O9a-w,2020. 5. 25.,댓글 195개,3.2천개,103개,"
      42:00
    "
