,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,보리비빔밥 무한리필 4천원!! 고추장불고기 3천원!! 맛있게 냠냠 야식이 먹방,https://i.ytimg.com/vi/EvP6jEA1Tsg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDmc0lUESTp9VMXmJUJBBQziCcxTA,5.4만회,15시간 전,http://www.youtube.com/watch?v=EvP6jEA1Tsg,2020. 6. 4.,댓글 222개,2.6천개,46개,"
      11:21
    "
1,30년 2대째 내려오는 치킨집이 안망한 이유.. 3마리만 묵자! 야식이 먹방,https://i.ytimg.com/vi/eHGTRELCiuk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBRXfR2XuoCLqeUEGE-HiUHoIXOOA,17만회,2일 전,http://www.youtube.com/watch?v=eHGTRELCiuk,2020. 6. 2.,댓글 385개,4.6천개,93개,"
      23:57
    "
2,17만 5천원짜리  2.6키로 연어초밥 1피스ㄷㄷㄷ,https://i.ytimg.com/vi/wCb11JtSMIU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA8d3dYXXqZQP_YD1SIj75--vazxw,18만회,6일 전,http://www.youtube.com/watch?v=wCb11JtSMIU,2020. 5. 29.,댓글 474개,4.4천개,143개,"
      19:47
    "
3,칡물냉면 칡비빔냉면 갈비에 싸먹고 고기만두 김치만두 또묵자 야식이 먹방,https://i.ytimg.com/vi/edmvAwcml1E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCDZCZApwpY4lVasO1utiulf_Tdpg,19만회,1주 전,http://www.youtube.com/watch?v=edmvAwcml1E,2020. 5. 26.,댓글 353개,5.2천개,123개,"
      17:02
    "
4,채끝살 넣고 짜파구리 기생충같이... 멕시카나 까르보불닭치킨 또묵자 야식이 먹방,https://i.ytimg.com/vi/3ndgOtfY0To/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA7ZUJzNH9_UUkr2QHcNMMEXZ4CYA,21만회,1주 전,http://www.youtube.com/watch?v=3ndgOtfY0To,2020. 5. 23.,댓글 354개,4.7천개,133개,"
      12:34
    "
5,김치찌개라면 1봉지.. 스팸 두부 넣고 김치찌개 끓여서 또묵자!! 야식이 먹방,https://i.ytimg.com/vi/Ykf500C7A4M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAbB5WamCFrUbU_4agKmi4kdsnLEA,43만회,2주 전,http://www.youtube.com/watch?v=Ykf500C7A4M,2020. 5. 20.,댓글 610개,7천개,243개,"
      13:11
    "
6,치즈1키로..페퍼로니 핵폭탄피자..무뼈닭발이랑 먹었습니다!! 야식이 먹방,https://i.ytimg.com/vi/p0UDZM_jEDY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBF62Hij8jyJPG-IKnz-Mk1KjgTJw,16만회,2주 전,http://www.youtube.com/watch?v=p0UDZM_jEDY,2020. 5. 18.,댓글 569개,4.7천개,143개,"
      18:12
    "
7,1900원??노브랜드버거 전메뉴 시켜서 고3학생 1개주고 10개만 묵자!! 야식이 먹방,https://i.ytimg.com/vi/u61GA2cgqqg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDL_XgGweqP0nXew7jrpdfI7xKh9g,20만회,2주 전,http://www.youtube.com/watch?v=u61GA2cgqqg,2020. 5. 16.,댓글 464개,4.9천개,132개,"
      18:20
    "
8,소고기 스테이크 무한리필 17900원!! 꽃등심 피자 파스타 또묵자!! 야식이 먹방,https://i.ytimg.com/vi/r0cA_yVDEuM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB2-sLOJBNFfQHtjpkzbJIlF8ggAg,21만회,3주 전,http://www.youtube.com/watch?v=r0cA_yVDEuM,2020. 5. 14.,댓글 321개,5.2천개,116개,"
      17:15
    "
9,연어국수 1.2키로먹고 회전초밥 32접시 먹고 피자 치킨 만두..또묵자 야식이 먹방,https://i.ytimg.com/vi/g-0jNMbZYGg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCDooCpB_vBtxE90whmag5RMN7fYA,55만회,3주 전,http://www.youtube.com/watch?v=g-0jNMbZYGg,2020. 5. 12.,댓글 775개,9천개,216개,"
      18:47
    "
