,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,낮에 즐기는 캠핑엔 이걸 드셔보세요! #캠핑요리 | Camping Recipes [아내의 식탁],https://i.ytimg.com/vi/yv-EHizSC_g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCs13gx1xKwTY6m0a5NSMW-I9JKTA,1.7만회,21시간 전,http://www.youtube.com/watch?v=yv-EHizSC_g,2020. 6. 4.,댓글 52개,735개,21개,"
      8:25
    "
1,"캠핑, 좋아하세요? | 캠핑요리 | Camping Recipes | BBQ [아내의 식탁]",https://i.ytimg.com/vi/RaA465tT_EM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDjQe1ji9nrFPjIjmikV8Ufw5bJng,6.8만회,1주 전,http://www.youtube.com/watch?v=RaA465tT_EM,2020. 5. 28.,댓글 85개,2.3천개,47개,"
      7:20
    "
2,누구나 손쉽게 만들어 먹을 수 있는 홈메이드 빙수 레시피 : 6 Homemade Shaved Ice Recipes,https://i.ytimg.com/vi/RVnEhrW96B4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD6nHnTy8d8KNBYgP8z1Q1yaROHzQ,3.1만회,2주 전,http://www.youtube.com/watch?v=RVnEhrW96B4,2020. 5. 21.,댓글 59개,1.1천개,27개,"
      6:51
    "
3,"닭요리, 이렇게만 따라하세요! [아내의 식탁]",https://i.ytimg.com/vi/5kpfzmBftmU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBDg_QoQaFOsXl_ZWPHhZLbob6M7w,6.2만회,3주 전,http://www.youtube.com/watch?v=5kpfzmBftmU,2020. 5. 14.,댓글 87개,2.2천개,22개,"
      21:11
    "
4,"어떻게 먹어도 맛있는 달걀지단김밥, 달걀김밥 🍱: 2 Eggs Kimbap Recipes [아내의 식탁]",https://i.ytimg.com/vi/Ja-vnhMPUmc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB6DGRvbFRW3MZZ88dxTfujRhwRUQ,7.2만회,4주 전,http://www.youtube.com/watch?v=Ja-vnhMPUmc,2020. 5. 7.,댓글 54개,2.1천개,22개,"
      10:01
    "
5,직접 키운 콩나물로 만든 3가지 요리👩‍🍳 : 3 Easy Bean Sprouts Recipes [아내의 식탁],https://i.ytimg.com/vi/4kk4Mdsrw-M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAqZ7W7WbvPFx8pGbovDKOWvnxi6g,3.2만회,1개월 전,http://www.youtube.com/watch?v=4kk4Mdsrw-M,2020. 4. 30.,댓글 62개,1천개,11개,"
      9:16
    "
6,집에서 피크닉 기분 내기 좋은 샌드위치 3가지  : Let's have a picnic at home! 3 Sandwiches Recipes [아내의 식탁],https://i.ytimg.com/vi/InWxY_9EumA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAr7huPHBx_iEzl-HMpDa6Ug3s8lA,9.1만회,1개월 전,http://www.youtube.com/watch?v=InWxY_9EumA,2020. 4. 23.,댓글 69개,3.6천개,28개,"
      9:21
    "
7,주꾸미볶음 맛있게 먹는 방법! 주꾸미삼겹 | Korean Spicy Webfoot Octopus : Five Delicious Ways,https://i.ytimg.com/vi/KtWfYT_onb0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCGqAnq0fCKNuhb5HKwKPVs0uXoew,4.8만회,1개월 전,http://www.youtube.com/watch?v=KtWfYT_onb0,2020. 4. 17.,댓글 85개,1.6천개,17개,"
      6:51
    "
8,불맛 가득! 집에서 만들기 쉬운 중화요리 3가지🔥: 3 Easy Chinese Foods at home [아내의 식탁],https://i.ytimg.com/vi/y6-i094BGxY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBINmqI_xKxMsFZs7nKSvSfrCCODQ,5.2만회,1개월 전,http://www.youtube.com/watch?v=y6-i094BGxY,2020. 4. 16.,댓글 293개,1.4천개,29개,"
      9:16
    "
9,집콕요리! 폭-신폭신한 식감의 수플레 오믈렛 : Souffle Omelette [아내의 식탁],https://i.ytimg.com/vi/n0WGZawQwgM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC19MoxDP02k7yO6QwalPh-UFoDJA,13만회,1개월 전,http://www.youtube.com/watch?v=n0WGZawQwgM,2020. 4. 9.,댓글 103개,2.5천개,50개,"
      2:56
    "
10,"세상에서 제일 스윗한 홈카페 | 루이보스라임에이드, 베리판나코타 : The Sweetest Dessert [아내의 식탁]",https://i.ytimg.com/vi/ruIM8tvBfo8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAqUrhEsJJ5Wm0D8mfrg2om3-OFdQ,8만회,2개월 전,http://www.youtube.com/watch?v=ruIM8tvBfo8,2020. 4. 2.,댓글 367개,3.2천개,32개,"
      8:26
    "
11,후루룩 한 입에 말아 쏙! 국수 3가지 🍜 : 3 Korean Noodles Recipes [아내의 식탁],https://i.ytimg.com/vi/XNPZmbGfYaY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCxCGIv4nvIQJ2jgamaY_7iGPvqMg,40만회,2개월 전,http://www.youtube.com/watch?v=XNPZmbGfYaY,2020. 3. 26.,댓글 167개,9.2천개,106개,"
      10:01
    "
12,"뜨끈한 흰 밥과 함께라면, 삼겹살김치말이찜 : Samgyeopsal Kimchi Jjim | Steamed Pork Belly Kimchi [아내의 식탁]",https://i.ytimg.com/vi/omX7QmaRHe8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBIBsuzvGWiLLg1dqsqi8mtijoC-A,36만회,2개월 전,http://www.youtube.com/watch?v=omX7QmaRHe8,2020. 3. 20.,댓글 146개,4.9천개,60개,"
      5:31
    "
13,라떼 위 달달한 달고나 듬뿍! 달고나커피 ☕️ : Dalgona Coffee [아내의 식탁],https://i.ytimg.com/vi/TxVDGYv4sNA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDWvO_pMZsWx1T0751yM6swpvAZzw,122만회,2개월 전,http://www.youtube.com/watch?v=TxVDGYv4sNA,2020. 3. 18.,댓글 666개,1.9만개,307개,"
      2:24
    "
14,면역력을 높이는 힐링푸드 6가지 💪 : 6 Healing Foods to Boost Your Immunity [아내의 식탁],https://i.ytimg.com/vi/YjsH03aqUPM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCeaJJT6qE2Jl8j58ETltjPMqAzHA,13만회,2개월 전,http://www.youtube.com/watch?v=YjsH03aqUPM,2020. 3. 12.,댓글 241개,3.3천개,54개,"
      12:16
    "
15,소중한 하루를 채워 줄 주말을 위한 홈 브런치 레시피 🍽 : 3 Brunch Recipes for the Weekend [아내의 식탁],https://i.ytimg.com/vi/8hhRC_92StQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAtsmxPUzX4NZ0243kANJJr938H8w,11만회,2개월 전,http://www.youtube.com/watch?v=8hhRC_92StQ,2020. 3. 6.,댓글 80개,3천개,30개,"
      9:35
    "
16,마음도 든든 속도 든든! 두부요리 4가지 🍲: 4 Soft and Spicy Du-bu(Tofu) Dishes [아내의 식탁],https://i.ytimg.com/vi/1TsPbwmw7FU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCQp6Jxun5Gfemk0cZpMja8zFt5gg,17만회,3개월 전,http://www.youtube.com/watch?v=1TsPbwmw7FU,2020. 2. 27.,댓글 68개,3.7천개,32개,"
      11:26
    "
17,"요리의 기본, 소금 제대로 알기 : Types of Salt🧂 [아내의 식탁]",https://i.ytimg.com/vi/ESp_GB2XSGo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC0-bQg9gx7aFdDvtszRoCFx0Lk8A,1.5만회,3개월 전,http://www.youtube.com/watch?v=ESp_GB2XSGo,2020. 2. 18.,댓글 38개,567개,14개,"
      2:36
    "
18,"로맨틱한 발렌타인데이 보내는 법, 말차 파베 초콜릿 🍫 : Green tea Pave Chocolate ｜Matcha Chocolate [아내의 식탁]",https://i.ytimg.com/vi/Lq2LLeHc5z8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDBqb_TCsFYtydpupyDy6ygp61sxg,3.2만회,3개월 전,http://www.youtube.com/watch?v=Lq2LLeHc5z8,2020. 2. 13.,댓글 59개,1.3천개,9개,"
      5:10
    "
19,간장의 종류가 이렇게 많다고? : Types of Ganjang (Soy sauce) 🍶 [아내의 식탁],https://i.ytimg.com/vi/fu3xGU66a4A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBhnQftqcwOYl4LZKAA88MZaqJnkg,1.5만회,3개월 전,http://www.youtube.com/watch?v=fu3xGU66a4A,2020. 2. 11.,댓글 39개,562개,11개,"
      3:03
    "
