,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,신메뉴나온기념 핫 후라이드크리스피+차돌박이쨈삥 먹방. Mukbang,https://i.ytimg.com/vi/0568ERgsuIw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDv6oblYI1k6eqM4r2SgsVpE5ZgWg,1.5만회,16시간 전,http://www.youtube.com/watch?v=0568ERgsuIw,2020. 6. 4.,댓글 77개,475개,22개,"
      10:42
    "
1,간식먹으러 신전떡볶이+블랙알리오 윙콤보 먹방. Mukbang,https://i.ytimg.com/vi/O_qzL1ux1ws/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCBBirx68Md8sHnPuUCNw1yQJODUQ,1.6만회,1일 전,http://www.youtube.com/watch?v=O_qzL1ux1ws,2020. 6. 3.,댓글 58개,399개,22개,"
      10:52
    "
2,환장하는 조합 짜파게티+파김치+슈프림순살치킨 먹방. Mukbang,https://i.ytimg.com/vi/Ae49SeHrErQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAAztUTgbwJkw_3Hn16P74-vQVSDw,2.6만회,2일 전,http://www.youtube.com/watch?v=Ae49SeHrErQ,2020. 6. 2.,댓글 89개,643개,43개,"
      10:30
    "
3,아침9시에 계곡에서 오리불고기 먹고 후식으로 집밥 먹방. Mukbang,https://i.ytimg.com/vi/s1-pYP45TeA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAw3lZpowrbJ6Z3JMetiv7TaUmvdg,2.1만회,3일 전,http://www.youtube.com/watch?v=s1-pYP45TeA,2020. 6. 1.,댓글 87개,499개,34개,"
      11:03
    "
4,"간식으로 만화카페먹고 후식으로 피자+통삼겹 먹방,  mukbang",https://i.ytimg.com/vi/Q6iO-CKr8cc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAogffR056IWSqNEJCvEAOWwWMBHA,1.7만회,4일 전,http://www.youtube.com/watch?v=Q6iO-CKr8cc,2020. 5. 31.,댓글 71개,442개,21개,"
      11:01
    "
5,먹을수록 찝찝해지는 블랙치킨+똥집튀김+미니핫도그+치즈볼 먹방. Mukbang,https://i.ytimg.com/vi/05BxVZ-_A0E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB6Zt0s3ielCm-QPB-oJAlT_f9A1w,2.7만회,5일 전,http://www.youtube.com/watch?v=05BxVZ-_A0E,2020. 5. 30.,댓글 76개,578개,34개,"
      10:33
    "
6,24시간 소고기무한리필가서 돼지고기 먹방. Mukbang,https://i.ytimg.com/vi/i3Rb9FlizJw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBMqR_46clyE0qxfacEGvCdRKORpA,2.2만회,6일 전,http://www.youtube.com/watch?v=i3Rb9FlizJw,2020. 5. 29.,댓글 84개,471개,27개,"
      12:20
    "
7,먹장하려고 얼큰이국밥+보쌈+수제떡갈비 먹방. Mukbang,https://i.ytimg.com/vi/jt0IYzozUrc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCs4ZXOV5dEUczvghL1G8ymcFLPfA,1.9만회,1주 전,http://www.youtube.com/watch?v=jt0IYzozUrc,2020. 5. 28.,댓글 67개,440개,25개,"
      11:16
    "
8,섭씨 1000도짜리 소갈비찜+공화춘+육계장 먹방. Mukbang,https://i.ytimg.com/vi/3hHjX2UIC7E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBNwxq1ryRNUgZs36lqdIdXcCXG-Q,2.2만회,1주 전,http://www.youtube.com/watch?v=3hHjX2UIC7E,2020. 5. 27.,댓글 57개,495개,35개,"
      11:21
    "
9,훈훈한 훈제삼겹피자+훈제치킨+치즈습하게리 먹방. Mukbang,https://i.ytimg.com/vi/SzkoNm4TcAc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBBBxQgffH0bO5aIwHyZBPAs6o9XA,2.5만회,1주 전,http://www.youtube.com/watch?v=SzkoNm4TcAc,2020. 5. 26.,댓글 93개,642개,40개,"
      11:06
    "
10,범프리카 인생치킨 닭떡볶이+허니콤보 먹방. Mukbang,https://i.ytimg.com/vi/yNlgUaTthsM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCsoi5kNQVQ4lr2FVnXIv1lDON7lg,4.7만회,1주 전,http://www.youtube.com/watch?v=yNlgUaTthsM,2020. 5. 25.,댓글 147개,1천개,52개,"
      11:31
    "
11,육즙이 팡팡터지는 웰빙돼지막창+소갈비살+왕뚜껑컵라면 먹방. Mukbang,https://i.ytimg.com/vi/qtJ9vS5TYV4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA85UqSOdgm1tueRR53GaNDEVQBvQ,2.1만회,1주 전,http://www.youtube.com/watch?v=qtJ9vS5TYV4,2020. 5. 24.,댓글 53개,499개,29개,"
      11:12
    "
