,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,딱새우에 미친놈이 시원한 메밀소바를 만들면!,https://i.ytimg.com/vi/95B8-KLEe4Q/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBanIsTqylg1LOArhI0_mGp8Y8YGw,37만회,5일 전,http://www.youtube.com/watch?v=95B8-KLEe4Q,2020. 5. 30.,댓글 904개,4천개,269개,"
      8:29
    "
1,통스테이크로 짜장면 만드는 법!,https://i.ytimg.com/vi/9wZrru0P_00/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDdEZVkLBVF4PUyqH_t0KP35D13WA,33만회,1주 전,http://www.youtube.com/watch?v=9wZrru0P_00,2020. 5. 28.,댓글 888개,4.3천개,161개,"
      10:14
    "
2,피자집 알바생이 파스타 만드는 법,https://i.ytimg.com/vi/EIk-4FwXhOM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA_3EBT8bqqXW6b6QW3TDnnvqCeMw,54만회,1주 전,http://www.youtube.com/watch?v=EIk-4FwXhOM,2020. 5. 25.,댓글 919개,6.2천개,269개,"
      10:06
    "
3,소고기 담가 먹는 새로운 방법!,https://i.ytimg.com/vi/ZfosD28Jvlg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAAd8kDyIu8t-jeNDoeCLaVt4_mjQ,31만회,4주 전,http://www.youtube.com/watch?v=ZfosD28Jvlg,2020. 5. 7.,댓글 863개,3.4천개,166개,"
      10:05
    "
4,참치를 흔들어 먹는 법,https://i.ytimg.com/vi/pGJA21qJpYA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAiR4ZHApIwN2YuFSOSwFOH7wJHYA,38만회,1개월 전,http://www.youtube.com/watch?v=pGJA21qJpYA,2020. 5. 1.,댓글 922개,4천개,200개,"
      10:03
    "
5,대창을 말아서 먹는 법,https://i.ytimg.com/vi/j8SvUNK3KoY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAWOrcl0VEDLgt6_gHWCtQXXXP83Q,59만회,1개월 전,http://www.youtube.com/watch?v=j8SvUNK3KoY,2020. 4. 26.,"댓글 1,179개",5.5천개,298개,"
      10:06
    "
6,랍스터에 미친 장첸이 마라롱샤 만드는 법,https://i.ytimg.com/vi/0_ij7P_ihJs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCTPInYhh9TBr9-DZEQJr0TyaguVg,87만회,1개월 전,http://www.youtube.com/watch?v=0_ij7P_ihJs,2020. 4. 23.,"댓글 1,951개",8.5천개,556개,"
      10:17
    "
7,컵라면 뒤집어 먹는 법,https://i.ytimg.com/vi/mnYsAoM0D74/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBriYO8iPBiiqr3Bh7yGLL8dAUTog,112만회,1개월 전,http://www.youtube.com/watch?v=mnYsAoM0D74,2020. 4. 17.,"댓글 1,746개",9.2천개,882개,"
      10:05
    "
8,탕후루에 미친놈이 꿀꽈배기를 만나면,https://i.ytimg.com/vi/2GfDJ7XWUl0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD5-4M3mzG7RIF1TB5mJ3kQG5aVig,49만회,1개월 전,http://www.youtube.com/watch?v=2GfDJ7XWUl0,2020. 4. 13.,댓글 886개,5천개,311개,"
      6:43
    "
9,통오징어에 소세지를 끼우면! 미친 홈파티,https://i.ytimg.com/vi/BOSV7WA7oOM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCnqEiOcZ1cwoLgDPGHcoNlPKeY-Q,62만회,1개월 전,http://www.youtube.com/watch?v=BOSV7WA7oOM,2020. 4. 11.,"댓글 2,641개",9천개,553개,"
      11:07
    "
10,고깃집 알바생이 토스트를 만들면,https://i.ytimg.com/vi/mJbL9U8ring/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCfE70_A6U0OLI00D_9zPHd0V14bw,32만회,1개월 전,http://www.youtube.com/watch?v=mJbL9U8ring,2020. 4. 5.,댓글 756개,3.8천개,172개,"
      4:20
    "
11,상위 1%가 전복을 비비면,https://i.ytimg.com/vi/qfUyaW3BfQY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLALiuLaur0tIn9EVcM51kwEa0yejA,41만회,2개월 전,http://www.youtube.com/watch?v=qfUyaW3BfQY,2020. 4. 4.,댓글 920개,4.8천개,204개,"
      10:05
    "
