,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,🍕치즈 왕창 들어간 시카고 피자 만들기!! 초거대 피자는 항상 맛있어♥,https://i.ytimg.com/vi/9WRIyHH_2dM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB8ggCs_1-jQuOJ_1S4quxrFvybJg,1.1만회,1일 전,http://www.youtube.com/watch?v=9WRIyHH_2dM,2020. 6. 3.,댓글 94개,629개,15개,"
      11:15
    "
1,"짜장면 1분컷🙊 2젓가락만에.. 짜장면,짬뽕,탕수육,볶음밥 먹방!  행복..❤️ SINCOOK MUKBANG",https://i.ytimg.com/vi/rd9AS04t2WE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCFOx-NJ8Mjb8uHGBijDvwHIrxkCA,4.2만회,6일 전,http://www.youtube.com/watch?v=rd9AS04t2WE,2020. 5. 29.,댓글 142개,1.4천개,26개,"
      9:42
    "
2,"3일 다이어트후 야식 먹방!! 매운 국물닭발,무뼈닭발,오돌뼈,주먹밥 뿌시기❤️드라마보면서 야식으로 다이어트 끝😋 SINCOOK MUKBANG",https://i.ytimg.com/vi/03toMBGsJ20/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBhJTDniugsODZqoYkNesunjPjYqQ,5.7만회,1주 전,http://www.youtube.com/watch?v=03toMBGsJ20,2020. 5. 27.,댓글 202개,1.8천개,36개,"
      10:10
    "
3,유튜버의 24시간 밀착 브이로그⏰ 귀차니즘의 끝판왕 현실 일상 VLOG,https://i.ytimg.com/vi/6T8kDQxiVJo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD5yFHIG_tSBMzN0PYT7VIXijo4aw,2만회,1주 전,http://www.youtube.com/watch?v=6T8kDQxiVJo,2020. 5. 22.,댓글 128개,1천개,10개,"
      11:39
    "
4,자취한끼! 집밥 만들어먹자~ 묵은지 닭볶음탕에 중국당면까지 넣고! 밑반찬으로 마늘쫑 무침까지! 소소한 집밥먹방♥ SINCOOK MUKBANG,https://i.ytimg.com/vi/XsomgphYFBk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDTIfQu0aTEeYc3z2Bfo95Nu_78Tg,2.9만회,2주 전,http://www.youtube.com/watch?v=XsomgphYFBk,2020. 5. 20.,댓글 109개,1.2천개,22개,"
      12:47
    "
5,4kg 짜리 초거대 김밥 만들기!! 대왕 준하김밥 드디어 만들었다! 맛있는건 다들어갔다!!,https://i.ytimg.com/vi/VIsvNp4Zt0g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDC3TPmKdtNA9F3hmo6QjpR7VOZMw,2.7만회,2주 전,http://www.youtube.com/watch?v=VIsvNp4Zt0g,2020. 5. 15.,댓글 116개,1천개,22개,"
      14:47
    "
6,"초거대 김밥!! 직접만든 준하김밥 먹방♥ (삼겹살,명란마요,피자,김치전,순대,어묵,지단,튀김 등등..)",https://i.ytimg.com/vi/Cg5fXuf0dW4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDwvdGUm7vN0zbW3Z6-4dfQonO-Yg,2.3만회,3주 전,http://www.youtube.com/watch?v=Cg5fXuf0dW4,2020. 5. 14.,댓글 108개,798개,16개,"
      9:29
    "
7,"새벽 편의점 먹방!! 역시 새벽 야식은 편의점이지❤️(유산슬라면,불백도시락,맵칼떡볶이,자메이카 닭다리,샌드위치,펭수 마카롱)",https://i.ytimg.com/vi/QfeWitEX-vY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAd0XoC9GPqzpzxnpQBmpJ_lAK9oA,20만회,3주 전,http://www.youtube.com/watch?v=QfeWitEX-vY,2020. 5. 8.,댓글 352개,6.4천개,134개,"
      13:16
    "
8,*실험요리* 어묵으로 면을 뽑았다!! 수제 어묵면 만들기!! 어묵라면? 어묵우동? 떡볶이랑 먹으면 꿀조합♥,https://i.ytimg.com/vi/A8GltMsGvXY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAAUEsHCEkm3LMCOCPDozfYV_J3GA,1.7만회,1개월 전,http://www.youtube.com/watch?v=A8GltMsGvXY,2020. 5. 4.,댓글 110개,757개,8개,"
      10:12
    "
9,"모든 찹쌀떡 마스터 영상👍 초코찹쌀떡,딸기크림찹쌀떡,콘치즈팡팡 찹쌀떡,오레오 찹쌀떡 인절미까지 만들기!!",https://i.ytimg.com/vi/GssTuyp2ydw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAJ3ciuuLkxVZjcZDEH8FdBqocamw,1.9만회,1개월 전,http://www.youtube.com/watch?v=GssTuyp2ydw,2020. 4. 30.,댓글 132개,978개,13개,"
      10:55
    "
