,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,"먹데이트VLOG 마늘닭볶음탕+상등심카츠+최자로드 만두+크림파스타+라면+김밥 등등등~ 너무 많아..먹부림!! (ENG,JP SUB)",https://i.ytimg.com/vi/jFFzOynnuxE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCxFjMGh1ObUVYZNbR44CnC542nJw,9만회,20시간 전,http://www.youtube.com/watch?v=jFFzOynnuxE,2020. 6. 4.,댓글 122개,2.2천개,49개,"
      24:39
    "
1,"무한리필 치즈돈까스🧀+냉모밀 질리게 먹기~🍖❤ (ENG,JP SUB)",https://i.ytimg.com/vi/ZtKUaW3pPcE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCj48e_OjT9Y7L2wrNn4p2c8CZ0ww,16만회,3일 전,http://www.youtube.com/watch?v=ZtKUaW3pPcE,2020. 6. 1.,댓글 222개,3.6천개,67개,"
      13:41
    "
2,"셀프로 눈썹을 염색했다..망했다.... 진짜 나 어떡함ㅋㅋㅋㅋㅋㅇㅏ!!!!!!(ENG,JP SUB)",https://i.ytimg.com/vi/UNFHQ4CQTT4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB2qsdMtMM0mP1zO1Mvj8GYpbK8DQ,20만회,1주 전,http://www.youtube.com/watch?v=UNFHQ4CQTT4,최초 공개: 2020. 5. 27.,댓글 579개,4.8천개,117개,"
      14:21
    "
3,"편의점 신메뉴 먹방리뷰! 요즘 핫한 음식을 찾아봅시다~😎🔥불닭크림쫄면,숯불닭갈비,콘마요빵,초코슈크림,달고나우유,등등!(ENG,JP SUB)",https://i.ytimg.com/vi/H8zisOU9tAo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAB5iuLzYvsVwetfalGmKJrEIFRKQ,21만회,1주 전,http://www.youtube.com/watch?v=H8zisOU9tAo,2020. 5. 25.,댓글 181개,4.2천개,138개,"
      19:27
    "
4,"무한리필 라면 질리도록 먹고 질려서 햄버거까지 먹은 리얼먹방데이트..^ㅡ^V브이 (ENG,JP SUB)",https://i.ytimg.com/vi/acDAbER56IU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDrK47QpGxNJaER9n3y4cJXAVlYuA,23만회,1주 전,http://www.youtube.com/watch?v=acDAbER56IU,최초 공개: 2020. 5. 22.,댓글 248개,4.3천개,163개,"
      19:54
    "
5,"입짧은 푸드유튜버들(?)나도표 통삼겹살+무뼈닭발+치즈계란말이 디저트까지🍖 +나도,입짧은햇님,더스쿱,돌체테리아 [시니극장3편] (ENG,JP SUB)",https://i.ytimg.com/vi/FsdOOFd92X4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCoNhskawH8bKGyoCt7GhlTKsijkg,31만회,2주 전,http://www.youtube.com/watch?v=FsdOOFd92X4,2020. 5. 18.,댓글 228개,5.8천개,116개,"
      21:56
    "
6,"대왕와플 먹다 생긴 일...😵와플대학&신림대왕와플/와플먹방! (ENG,JP SUB)",https://i.ytimg.com/vi/sXfWDQiFy0Q/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLARj81WgdSHfgLrpJgOW5GdsrV8nw,15만회,3주 전,http://www.youtube.com/watch?v=sXfWDQiFy0Q,2020. 5. 13.,댓글 204개,3.1천개,96개,"
      17:26
    "
7,"마라탕 먹고 공주가 되어보았다..^ㅡ^❤ 손오공마라탕+꿔바로우+레치키치 스튜디오(ENG,JP SUB)",https://i.ytimg.com/vi/A2FVqIAafvI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDCDBMj8lNcg-x-qumas6QigzrT2A,15만회,3주 전,http://www.youtube.com/watch?v=A2FVqIAafvI,2020. 5. 11.,댓글 220개,2.9천개,92개,"
      14:24
    "
8,"집밥이시니#2 취향이 달라도 너무 다른 나와 너.. 오겹살VS회+명랑핫도그+뿌링클+치즈볼+제육볶음+배달음식(ENG,JP SUB)",https://i.ytimg.com/vi/SYn9DRqZIfE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA2dASrVRpN7haKsibq2FBJkfFsig,16만회,4주 전,http://www.youtube.com/watch?v=SYn9DRqZIfE,2020. 5. 7.,댓글 191개,3천개,85개,"
      20:51
    "
9,"짜파구리 맛있게 먹는 4가지 방법! 신메뉴 먹방리뷰(ENG,JP SUB)",https://i.ytimg.com/vi/_r8VEu9LKp8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBWDDRmdeobztSVB6UECg3IEa2vlQ,13만회,1개월 전,http://www.youtube.com/watch?v=_r8VEu9LKp8,2020. 5. 5.,댓글 189개,2.9천개,79개,"
      12:38
    "
10,"집밥이시니#1 맛있는 거 만들어 먹기 +남자친구 요리 얻어먹기😎 치즈로제파스타+추억의 몬테크리스토+김치사발면 그리고 게임..(ENG,JP SUB)",https://i.ytimg.com/vi/2nVX_7GD_2g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCDDzyVsuJTX5vV785DBi-vWNrE0w,18만회,1개월 전,http://www.youtube.com/watch?v=2nVX_7GD_2g,최초 공개: 2020. 5. 2.,댓글 154개,3.5천개,121개,"
      27:53
    "
11,"24시간 VLOG 무한리필 제육볶음+순두부찌개+된장찌개 혜자 쌈밥정식! 올만에 본 친구들 24시니 일상 (ENG,JP SUB)",https://i.ytimg.com/vi/7Y0p_ckelos/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBbOUJuyZBKN1bnE8ZmVA-uj4qEKA,13만회,1개월 전,http://www.youtube.com/watch?v=7Y0p_ckelos,2020. 4. 30.,댓글 159개,2.8천개,84개,"
      13:54
    "
12,"육개장 컵라면+삼각김밥 꿀조합..♥ 라면먹방 텐션높음 주의⚡ (ENG,JP SUB)",https://i.ytimg.com/vi/VfcbLKiBFww/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDlKfk1D-9hpPSDEYT77NFa6_pQtg,19만회,1개월 전,http://www.youtube.com/watch?v=VfcbLKiBFww,2020. 4. 26.,댓글 237개,3.4천개,154개,"
      12:30
    "
13,"출장미용사 남자친구를 불러 앞머리를 잘라보았습니다ㅎ_ㅎ~!망ㅋㅋㅋㅋㅋㅋㅋ(ENG,JP SUB)",https://i.ytimg.com/vi/yxkrgqcU1IM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD3PHse9F_mpT7Tjiuc_4NE5gt-Yw,13만회,1개월 전,http://www.youtube.com/watch?v=yxkrgqcU1IM,최초 공개: 2020. 4. 23.,댓글 152개,2.3천개,73개,"
      10:37
    "
14,"[쌩얼 VLOG] 집순이 닭볶음탕+쟝블랑제리 맘모스빵+돌체테리아 초코휘낭시애+봄옷 하울! 하루종일 방구석라이프 (ENG,JP SUB)",https://i.ytimg.com/vi/MP9zJKVPAQA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAXS7pSwQXHhAubyTlqLrEbBQcNow,12만회,1개월 전,http://www.youtube.com/watch?v=MP9zJKVPAQA,2020. 4. 20.,댓글 157개,2.5천개,87개,"
      24:27
    "
15,"4월 편의점 신메뉴 먹방리뷰!❤ 반반치즈볶음밥,크림슈크림,모찌샌드,샤오롱만두,캔디바우유,대만샌드위치,벚꽃빵등등!ENG,JP SUB)",https://i.ytimg.com/vi/rFLVglP5BJM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAjjqxgh5-7-f4KIGmu36uk9l0bRg,17만회,1개월 전,http://www.youtube.com/watch?v=rFLVglP5BJM,2020. 4. 15.,댓글 226개,3.6천개,119개,"
      17:47
    "
16,"햇님언니표 이래도 되나~싶게 돼지고기 김치찜 만들어 먹기! 입짧은시니(ENG,JP SUB)",https://i.ytimg.com/vi/HixijBM7OaA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA3EdWlxbtOvKmct1qHy_OKnNVJWQ,10만회,1개월 전,http://www.youtube.com/watch?v=HixijBM7OaA,2020. 4. 11.,댓글 123개,2.1천개,68개,"
      14:41
    "
17,"신메뉴 베리베리맛 너도나도떡 찹쌀떡 리뷰 먹방~!❤ +딸기,딸기롤(ENG,JP SUB)",https://i.ytimg.com/vi/tC7aK_NRk34/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAsn1-lWCpDLVgugv5bZiiddgNG7g,13만회,1개월 전,http://www.youtube.com/watch?v=tC7aK_NRk34,2020. 4. 7.,댓글 154개,2.8천개,108개,"
      12:41
    "
18,"중국당면으로 잡채 만들어 먹기❤ 초간단 원팬요리 뚝딱🍳!!(ENG,JP SUB)",https://i.ytimg.com/vi/2OdCmaH004Y/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC0W6eB5m7-y0ZYG7y1jd8mvfvIeA,10만회,2개월 전,http://www.youtube.com/watch?v=2OdCmaH004Y,2020. 4. 5.,댓글 137개,2.4천개,64개,"
      15:33
    "
19,"치즈떡볶이+스파게티=마크정식+치즈듬뿍 명랑핫도그+뿌링소스 먹방❤ (ENG,JP SUB)",https://i.ytimg.com/vi/hlfo_HAhvtk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD9BMbsVmYGGnV-tu0TUerWk33mYg,15만회,2개월 전,http://www.youtube.com/watch?v=hlfo_HAhvtk,2020. 4. 1.,댓글 193개,3.2천개,93개,"
      12:04
    "
