,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,냉삼의 전설! 파채삼겹살 봉용불고기,https://i.ytimg.com/vi/GGmMDkIlSWk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqsL_iZVhm8gvNRZF-Xsniq39BCA,4.8만회,23시간 전,http://www.youtube.com/watch?v=GGmMDkIlSWk,2020. 6. 4.,댓글 255개,885개,29개,"
      11:20
    "
1,한우 스테이크 마장동 사장님처럼 먹었습니다.,https://i.ytimg.com/vi/4lMu6WaxEM4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB1VseSiekIgT0LtRoaLKUIyLPcUQ,5.6만회,2일 전,http://www.youtube.com/watch?v=4lMu6WaxEM4,2020. 6. 2.,댓글 107개,810개,51개,"
      11:09
    "
2,맛상무가 제일 좋아하는 불고기집 공개합니다,https://i.ytimg.com/vi/2NMfDCcEUtc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBY4jQq2vOy66Vo1g4H9EzHoEs8Yw,7.3만회,5일 전,http://www.youtube.com/watch?v=2NMfDCcEUtc,2020. 5. 30.,댓글 144개,1.1천개,53개,"
      10:02
    "
3,"이베리코 돼지보다 유명한 칼솟을 5,900원에?",https://i.ytimg.com/vi/8wvv0YDT5eg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCzsQDvYi1VqgMRMn6Y31d7l5HjRw,6.7만회,6일 전,http://www.youtube.com/watch?v=8wvv0YDT5eg,2020. 5. 29.,댓글 143개,924개,67개,"
      10:38
    "
4,진짜 생 소갈비가 나오는 무한리필,https://i.ytimg.com/vi/fm0x44kLFbw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBGWtXhIY9Po_QgPeDu2WJ3OyFKDg,26만회,1주 전,http://www.youtube.com/watch?v=fm0x44kLFbw,2020. 5. 27.,댓글 375개,2.3천개,108개,"
      12:46
    "
5,2040년 카페에 가 봤습니다.,https://i.ytimg.com/vi/t0la4Y_doDM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB3Q6hTMbKv_Y0Zd2IXPBNs6E-o9Q,2.3만회,1주 전,http://www.youtube.com/watch?v=t0la4Y_doDM,2020. 5. 25.,댓글 151개,557개,27개,"
      6:11
    "
6,냉동 삼겹살 소문난 집 가 봤습니다,https://i.ytimg.com/vi/s8cO2i5IQag/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLArSkUq3MIhTFFUz8EpzJ4u8mV61Q,11만회,1주 전,http://www.youtube.com/watch?v=s8cO2i5IQag,2020. 5. 24.,댓글 284개,1.4천개,65개,"
      11:30
    "
7,딱 오개월만 장사하고 문 닫는 집. 진미콩국수,https://i.ytimg.com/vi/2-rCGVYidJ8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBbDg1O70PxxyY_GIJnT6dSfx77zA,7.1만회,1주 전,http://www.youtube.com/watch?v=2-rCGVYidJ8,2020. 5. 22.,댓글 221개,1.1천개,46개,"
      8:39
    "
8,한우 뭉티기 이렇게 싼 집 처음입니다!,https://i.ytimg.com/vi/ePlTeInehsE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCRuxYMZRTxJFhHuRCUDvHfwwfzhA,13만회,2주 전,http://www.youtube.com/watch?v=ePlTeInehsE,2020. 5. 20.,댓글 265개,1.9천개,78개,"
      10:21
    "
9,역대급!! 한 방에 정리했습니다,https://i.ytimg.com/vi/PYAjK79UPyE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD3BylYIraXz-ah_-f78OAj9JOpmg,11만회,2주 전,http://www.youtube.com/watch?v=PYAjK79UPyE,2020. 5. 18.,댓글 260개,2천개,88개,"
      13:26
    "
