,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,바스크 치즈케이크 만들기 : Basque Burnt Cheesecake Recipe | Cooking tree,https://i.ytimg.com/vi/epqSe-OxkXA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDtJ_Gu7CWy1lht6KoiDrZfj2s8yg,3.1만회,11시간 전,http://www.youtube.com/watch?v=epqSe-OxkXA,2020. 6. 4.,댓글 127개,2.1천개,20개,"
      5:18
    "
1,체리 케이크 만들기 : Cherry Cake Recipe | Cooking tree,https://i.ytimg.com/vi/wLg4Fbv2ArY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC--xLQYvEAwJg9X_M6d0BPhVoZRw,12만회,2일 전,http://www.youtube.com/watch?v=wLg4Fbv2ArY,2020. 6. 2.,댓글 244개,7.2천개,39개,"
      14:54
    "
2,진한~🍫 초콜릿 칩 아이스크림 만들기 : Chocolate Chip Ice Cream Recipe | Cooking tree,https://i.ytimg.com/vi/xuP_g7mePsw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCgBTQmxIfX3vvVX5jk-LzTdBhjRg,15만회,5일 전,http://www.youtube.com/watch?v=xuP_g7mePsw,2020. 5. 29.,댓글 321개,9.9천개,45개,"
      6:58
    "
3,우유 찜케이크 만들기 : Steamed Milk Cake Recipe | Cooking tree,https://i.ytimg.com/vi/7XWZos6EqvQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA705x5iUFWaTE5uy7TPgFhyT-VhA,33만회,1주 전,http://www.youtube.com/watch?v=7XWZos6EqvQ,2020. 5. 28.,댓글 596개,1.9만개,92개,"
      5:39
    "
4,노오븐~ 청포도 치즈케이크 만들기 : No-Bake Green Grape Cheesecake Recipe | Cooking tree,https://i.ytimg.com/vi/Z70dXE8g_tg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBvaEUIunPJBt5KP0fPh7zsBgScSw,9.2만회,1주 전,http://www.youtube.com/watch?v=Z70dXE8g_tg,2020. 5. 26.,댓글 167개,4.9천개,23개,"
      7:27
    "
5,하트💕 크레이프 케이크 만들기 : Heart Crepe Cake Recipe | Cooking tree,https://i.ytimg.com/vi/0Bpi1IA92TQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAGXLrIBOgI5lwG3Azb1y20eEgSfA,33만회,1주 전,http://www.youtube.com/watch?v=0Bpi1IA92TQ,2020. 5. 22.,댓글 495개,1.8만개,96개,"
      11:36
    "
6,밀가루 없이! 초콜릿 케이크 만들기 : Flourless Chocolate Cake Recipe | Cooking tree,https://i.ytimg.com/vi/XxeDX9dNQGk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB25hu3on_rKFcDfMSlNk_DDlv50Q,15만회,2주 전,http://www.youtube.com/watch?v=XxeDX9dNQGk,2020. 5. 21.,댓글 301개,8천개,40개,"
      7:53
    "
7,윗면도 예쁜~ღ'ᴗ'ღ 연유 롤케이크 만들기 : Condensed milk Roll Cake Recipe | Cooking tree,https://i.ytimg.com/vi/5Gf7fnVKKW8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCbvyyK82h8yuETWLB0HmQzsb6fww,39만회,2주 전,http://www.youtube.com/watch?v=5Gf7fnVKKW8,2020. 5. 19.,댓글 453개,1.6만개,93개,"
      10:58
    "
8,3가지 재료로~ 노오븐 오레오 케이크 만들기 : No-Oven Oreo Cake 3-Ingredient Recipe | Cooking tree,https://i.ytimg.com/vi/m7yLcjiVoos/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCVfaCvbJLVf5R6VbgotWEuiwF0Qw,52만회,2주 전,http://www.youtube.com/watch?v=m7yLcjiVoos,2020. 5. 15.,댓글 994개,2.9만개,179개,"
      6:39
    "
9,계란과자 만들기 : Egg Cookies Recipe | Cooking tree,https://i.ytimg.com/vi/q4GqHIe47ec/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDUja-DBifB3PmKPSz-h0fPjWPJaA,14만회,3주 전,http://www.youtube.com/watch?v=q4GqHIe47ec,2020. 5. 14.,댓글 230개,6.1천개,29개,"
      6:40
    "
