유투버,조회수평균,댓글수평균,좋아요평균,싫어요평균,영상길이평균,구독자수
01.백종원,0.248,0.174,0.192,0.123,0.238,1
02.떵개떵,0.113,0.159,0.127,0.147,0.273,0.991
03.문복희,0.908,0.756,0.884,0.774,0.232,0.953
04.하루한끼,0.688,0.631,1,0.471,0,0.779
05.햄지,1,0.588,0.949,1,0.259,0.77
06.쿠킹트리,0.071,0.065,0.178,0.018,0.161,0.761
07.FRAN,0.058,0.044,0.068,0.173,0.167,0.656
08.쯔양,0.475,0.454,0.36,0.272,0.305,0.56
09.유디티,0.103,0.086,0.133,0.163,0.329,0.557
10.한세,0.296,0.162,0.302,0.096,0.114,0.534
11.푸메,0.358,0.24,0.379,0.421,0.315,0.516
12.꿀키,0.082,0.041,0.102,0.022,0.204,0.452
13.MINEE EATS,0.077,0.201,0.118,0.08,0.192,0.318
14.엠브로,0.198,0.125,0.126,0.131,0.21,0.298
15.나름,0.234,0.808,0.227,0.185,0.272,0.292
16.아리키친,0.135,0.175,0.165,0.065,0.194,0.237
17.애주가,0.215,0.164,0.078,0.103,0.218,0.202
18.SOF,0.006,0.016,0.003,0.006,0.232,0.14
19.입짧은햇님,0.052,0.027,0.036,0.025,1,0.138
20.상윤쓰,0.333,1,0.39,0.27,0.197,0.109
21.야식이,0.096,0.138,0.102,0.073,0.385,0.093
22.산적TV,0.121,0.087,0.05,0.058,0.248,0.08
23.아내의식탁,0.053,0.014,0.052,0.009,0.134,0.073
24.권회훈,0,0,0,0,0.19,0.034
25.수빙수,0.307,0.586,0.298,0.165,0.208,0.029
26.먹어볼래,0.191,0.291,0.09,0.146,0.16,0.024
27.신쿡,0.018,0.026,0.033,0.011,0.223,0.006
28.가르마,0.046,0.016,0.043,0.07,0.291,0.005
29.시니,0.054,0.03,0.05,0.039,0.397,0.002
30.맛상무,0.042,0.052,0.019,0.026,0.184,0
