,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,시원한 냉모밀에 8가지 수제유부초밥/8 KINDS OF TOFU SUSHI(CONE SUSHI) & COLD SOBA  NOODLES いなり寿司 蕎麦 Mie Soba MUKBANG,https://i.ytimg.com/vi/AQxg6bjafWk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAuSMc49Bqzf6JBt_J1Lk9Bas8rSg,30만회,1일 전,http://www.youtube.com/watch?v=AQxg6bjafWk,2020. 6. 2.,댓글 679개,1.1만개,313개,"
      14:22
    "
1,"빵순이 각종 빵 먹빵 🍞 롤케이크, 치즈바게트, 육쪽크림치즈빵, 먹물치즈빵, 앙버터, 누가크래커 다양한 디저트 먹방/BREAD & CAKE FEAST! DESSERT MUKBANG",https://i.ytimg.com/vi/aAkelh3nI7Q/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAGbwTudpezmgOpAEbAgLYy5jX_Sw,26만회,3일 전,http://www.youtube.com/watch?v=aAkelh3nI7Q,2020. 5. 31.,댓글 661개,8.7천개,398개,"
      17:25
    "
2,여러가지 재료넣은 매운 마라샹궈🔥 샹궈에 촉촉한 중국식 물만두 먹방/SPICY DRY POT & DUMPLINGS MUKBANG 麻辣香鍋 Tumis pedas Lẩu xào cay,https://i.ytimg.com/vi/LatWpeWpryE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBbFTIIKJ6t9HHDrop0_1G1-y-mSQ,42만회,5일 전,http://www.youtube.com/watch?v=LatWpeWpryE,2020. 5. 29.,댓글 651개,1.3만개,374개,"
      13:39
    "
3,"흰쌀밥에 각종젓갈(명란젓 낙지젓 멍게젓 갈치속젓 칠게장)오겹살, 청국장까지 집밥 먹방/PORK BELLY & SALTED SEAFOOD KOREAN HOME MEAL MUKBANG",https://i.ytimg.com/vi/mlcG-7psr9s/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC9pRDyJux5XA7dy9IfwjImeKIqag,47만회,1주 전,http://www.youtube.com/watch?v=mlcG-7psr9s,2020. 5. 27.,댓글 727개,1.3만개,546개,"
      14:07
    "
4,연어국수 연어김밥 연어초밥 먹방/SALMON NOODLES & SUSHI ROLLS & SUSHI MUKBANG Eating Show サーモン Cá hồi 三文鱼 แซลมอน,https://i.ytimg.com/vi/uqZtmWDX3Y0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA15AHblLKYXVpXwoHsIO3k-QMcAw,37만회,1주 전,http://www.youtube.com/watch?v=uqZtmWDX3Y0,2020. 5. 25.,댓글 646개,1.3만개,382개,"
      8:15
    "
5,SNS에서 핫한 크림진짬뽕 3봉지 청양고추 게다리튀김 먹방/SPICY CREAMY CHEESE SEAFOOD NOODLES & DEEP-FRIED CRAB STICK MUKBANG,https://i.ytimg.com/vi/g_weMAeKq9s/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCQFrbnp2ApCWB-bHDdsL8tC7qZJQ,78만회,1주 전,http://www.youtube.com/watch?v=g_weMAeKq9s,2020. 5. 23.,댓글 887개,2.1만개,564개,"
      10:34
    "
6,"가장매운치토스🔥대왕치즈볼 대왕핫도그 뿌링소스먹방/XXTRA FLAMIN HOT CHEETOS(50,000 SHU) GIANT CHEESE BALL & CORN DOG MUKBANG",https://i.ytimg.com/vi/lzkM9p_VGBg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBhttVDQP7mEKJyDXT0-y46dMr6oQ,78만회,1주 전,http://www.youtube.com/watch?v=lzkM9p_VGBg,2020. 5. 21.,"댓글 1,209개",2.5만개,616개,"
      17:19
    "
7,유튜브 최초 💖새로나온 멕시카나 까르보불닭치킨 까르보불닭볶음면 치즈돈까스 미니핫도그먹방/CARBO FIRE CHICKEN & NOODLE & CHEESE CUTLET MUKBANG,https://i.ytimg.com/vi/k7YA3G8dvVU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCuH-IP5iR4vFHBmKjtbWkD0_8llA,145만회,2주 전,http://www.youtube.com/watch?v=k7YA3G8dvVU,2020. 5. 19.,"댓글 1,527개",3.4만개,1.4천개,"
      13:59
    "
8,"핵불닭볶음면 3봉지 막창 찐텐 꿀조합 먹방 / NUCLEAR FIRE SPICY NOODLES X3 (10,000SHU) 🔥GRILLED PORK INTESTINES MUKBANG",https://i.ytimg.com/vi/BEF1SSphacY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDaYSd4maQ9m5gozFRjvCHi2FxkYA,85만회,2주 전,http://www.youtube.com/watch?v=BEF1SSphacY,2020. 5. 17.,댓글 912개,1.9만개,746개,"
      12:07
    "
9,매운 운명떡볶이 후끈맛 중국당면 왕새우튀김 김말이 먹방/SPICY TTEOKBOKKI 🔥DEEP-FRIED GIANT SHRIMP! KOREAN STREET FOOD MUKBANG,https://i.ytimg.com/vi/HOK8XQ0Iwc8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA6-YdLGN8ib9UOo9lFmttbvG6IuQ,89만회,2주 전,http://www.youtube.com/watch?v=HOK8XQ0Iwc8,2020. 5. 15.,"댓글 1,061개",2.2만개,636개,"
      16:35
    "
10,새콤달콤매콤 쫄면 김밥 고향만두 얇은피왕교자 먹방/SPICY BIBIM-NOODLES & DUMPLINGS & GIMBAP * KOREAN CASUAL FOOD ❤️MUKBANG,https://i.ytimg.com/vi/RW1l6R4q4SA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-_vUnr7PbVOjwpg4nmVlgTRJTcg,67만회,3주 전,http://www.youtube.com/watch?v=RW1l6R4q4SA,2020. 5. 13.,댓글 910개,1.8만개,525개,"
      13:17
    "
11,매운 대왕해물탕 킹타이거새우 문어 가리비 전복 먹방/MASSIVE SPICY SEAFOOD SOUP 🔥KING TIGER SHRIMP OCTOPUS CRAB CLAM MUKBANG,https://i.ytimg.com/vi/fpApirvfBZs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCHGQC-AbAIQy8dQxsdkSevFepNcw,189만회,3주 전,http://www.youtube.com/watch?v=fpApirvfBZs,2020. 5. 11.,"댓글 1,546개",3.1만개,2천개,"
      20:37
    "
12,새로나온 앵그리짜파구리 3개 집김치 4종류 파김치 총각김치 오이소박이 겉절이 먹방/SPICY BLACK BEAN NOODLES X3 & 4TYPES OF KIMCHI MUKBANG,https://i.ytimg.com/vi/2rqi_6DG_9A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCoRDKmU6Dxo7fwrmiw0v94s9S8yw,296만회,3주 전,http://www.youtube.com/watch?v=2rqi_6DG_9A,2020. 5. 9.,"댓글 1,813개",5만개,1.9천개,"
      11:37
    "
13,신림순대타운 백순대 & 매운순대볶음 볶음밥 먹방/KOREAN STIR FRY BLACK PUDDING SPICY BLOOD SAUSAGE Sundae Bokkeum MUKBANG,https://i.ytimg.com/vi/2mLypR-jQ6M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAWK7ZNT5LCa1cO4ITxxatMJejHxQ,36만회,3주 전,http://www.youtube.com/watch?v=2mLypR-jQ6M,2020. 5. 7.,댓글 587개,1만개,337개,"
      18:47
    "
14,"KFC 핫크리스피치킨 징거버거 오돌뼈튀김 치킨텐더 먹방/KFC MOST POPULAR FOOD! FRIED CHICKEN, TENDER, CRISPY BURGER 💛MUKBANG",https://i.ytimg.com/vi/X9U-Jf9jU5c/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDVDeI_Jenqb3cpYIQRXkHDDlvCdw,73만회,4주 전,http://www.youtube.com/watch?v=X9U-Jf9jU5c,2020. 5. 5.,"댓글 1,057개",2만개,522개,"
      13:48
    "
15,순두부쫄면 청양고추계란말이 옛날햄 세발나물 먹방/SPICY SOFT TOFU SOUP WITH NOODLES & GRILLED HAM & SPICY EGG ROLLS MUKBANG,https://i.ytimg.com/vi/eh4wzupfD30/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD4jLZ4Z5KUOJib9Z6zqWwNT5xASg,64만회,1개월 전,http://www.youtube.com/watch?v=eh4wzupfD30,2020. 5. 3.,댓글 769개,1.6만개,497개,"
      12:32
    "
16,마라덕후표 마라탕 🔥겉바속쫀 꿔바로우 먹방/SPICY HOT POT MALATANG SWEET AND SOUR PORK 麻辣烫 Lẩu Panci Pedas MUKBANG,https://i.ytimg.com/vi/VHmWqv5cTPw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDWkzeokIhzewLbLp1r2LwDVFo5FA,91만회,1개월 전,http://www.youtube.com/watch?v=VHmWqv5cTPw,2020. 5. 1.,댓글 852개,1.9만개,688개,"
      17:59
    "
17,인도카레 🇮🇳치킨카레 시금치카레 허니난 코코넛쉬림프 먹방/INDIAN FOOD FEAST CHICKEN CURRY SPINACH CURRY COCONUT SHRIMP MUKBANG,https://i.ytimg.com/vi/iNOKZW3Gq-0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCoQyd5qua_aJaRh5LumWcG0w5v0Q,49만회,1개월 전,http://www.youtube.com/watch?v=iNOKZW3Gq-0,2020. 4. 29.,"댓글 1,203개",1.5만개,404개,"
      12:34
    "
18,랍스터맥앤치즈 랍스터치즈구이 먹방/ULTIMATE CHEESY 🦞LOBSTER MAC AND CHEESE GRILLED LOBSTER MUKBANG Makaroni dan keju,https://i.ytimg.com/vi/KxmeZ9iHBK4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBD0wjW9dMy9gbjGBcGaDPfXHjBxg,286만회,1개월 전,http://www.youtube.com/watch?v=KxmeZ9iHBK4,2020. 4. 27.,"댓글 2,124개",5.4만개,2.2천개,"
      15:05
    "
19,수백번 저어만든 달고나커피 3종류 스타벅스 타피오카펄 달고나커피 벽돌 달고나 먹방/3 KINDS OF STARBUCKS FROTHY COFFEE DALGONA MUKBANG,https://i.ytimg.com/vi/lpiLgrLKSHg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA_SGNirR0Dt9KOkA5MDqHOcZCAaw,33만회,1개월 전,http://www.youtube.com/watch?v=lpiLgrLKSHg,2020. 4. 25.,댓글 542개,1만개,411개,"
      10:40
    "
