,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,티라미수 아이스크림 만들기 Tiramisu Ice Cream Recipe | 한세 HANSE,https://i.ytimg.com/vi/xWyvjG-qd4Y/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBdfrxQPtA-oafFy0rC2jSZ-Q701A,26만회,5일 전,http://www.youtube.com/watch?v=xWyvjG-qd4Y,2020. 5. 30.,댓글 365개,9.4천개,72개,"
      5:06
    "
1,소떡소떡 Meringue Cookies Recipe | 한세 HANSE,https://i.ytimg.com/vi/q81Be7tfnYI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBzlVCA7qdsI4RXfzJfH9LSKED1Ig,16만회,1주 전,http://www.youtube.com/watch?v=q81Be7tfnYI,2020. 5. 24.,댓글 323개,4.7천개,59개,"
      3:43
    "
2,포도 요거트 마카롱 만들기 Grape Yogurt Macarons Recipe | 한세 HANSE,https://i.ytimg.com/vi/wyZOle8ZWGo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAVWwOcaFR3GUruXvUz7b6DHS0kiw,155만회,2주 전,http://www.youtube.com/watch?v=wyZOle8ZWGo,2020. 5. 16.,댓글 895개,3만개,586개,"
      5:24
    "
3,🥕당근 컵케이크 만들기 Carrot Cupcakes Recipe | 한세 HANSE,https://i.ytimg.com/vi/27yOh1cZXeI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDyBPMaSdHtT4LeAfUmOMXn-lCKkw,19만회,3주 전,http://www.youtube.com/watch?v=27yOh1cZXeI,2020. 5. 9.,댓글 276개,6.8천개,52개,"
      4:17
    "
4,티그레 만들기 Tigre Recipe | 한세 HANSE,https://i.ytimg.com/vi/GoqEoftN7OE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLACvuPE8Z5cMyjog0vVsjLMrX47jQ,12만회,1개월 전,http://www.youtube.com/watch?v=GoqEoftN7OE,2020. 5. 3.,댓글 238개,4.5천개,26개,"
      5:36
    "
5,에어프라이어! 퐁당 오 쇼콜라 만들기 세트 [Kit] Fondant au Chocolat | 한세 HANSE,https://i.ytimg.com/vi/ju2-q1izuA8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBBOxTtK0f2-d0unz_uEJ7Yj3c-0A,19만회,1개월 전,http://www.youtube.com/watch?v=ju2-q1izuA8,2020. 4. 25.,댓글 294개,7.1천개,66개,"
      5:16
    "
6,버블티 만들기 Bubble tea Recipe | 한세 HANSE,https://i.ytimg.com/vi/4B56bOdQWYI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLATUw_GO_olaBOe7mx28UwaDl071g,36만회,1개월 전,http://www.youtube.com/watch?v=4B56bOdQWYI,2020. 4. 18.,댓글 579개,1.1만개,77개,"
      3:39
    "
7,☕홈카페 영상 모음 14탄! Home Cafe Compilation (Vol. 14),https://i.ytimg.com/vi/MGX4GhEP-Xc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDhP5LNiXanr7AZGQHdn0SmKdNBag,43만회,1개월 전,http://www.youtube.com/watch?v=MGX4GhEP-Xc,2020. 4. 12.,댓글 798개,1.2만개,116개,"
      18:55
    "
8,오레오 마들렌 만들기 Oreo Madeleines Recipe | 한세 HANSE,https://i.ytimg.com/vi/udFoULzt9j0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCI4X1n6lP2IBmy1JCLUOmMzurF-A,28만회,1개월 전,http://www.youtube.com/watch?v=udFoULzt9j0,2020. 4. 5.,댓글 365개,8.8천개,70개,"
      6:46
    "
9,파베 브라우니 만들기 Pave Brownie Recipe | 한세 HANSE,https://i.ytimg.com/vi/_tbQIXdT-NI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCVgI3oobosVwk2ZeHocBSeg3Oz1A,31만회,2개월 전,http://www.youtube.com/watch?v=_tbQIXdT-NI,2020. 3. 29.,댓글 449개,1.4만개,64개,"
      4:56
    "
