,name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num,time_duration
0,몽환적인 아이돌st 메이크업 GRWM??? ft.존예 멀티팔레트 소개! | 소윤Soyoon,https://i.ytimg.com/vi/mGdA7isRxcI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBRS6fWHkyljeJVob1T8-bannmBYw,10만회,4일 전,http://www.youtube.com/watch?v=mGdA7isRxcI,2020. 5. 31.,댓글 303개,2.9천개,65개,"
      43:22
    "
1,eng) 여름 쿨톤 라이트?daily 메이크업 grwm??ft.새로운 소윤템들 소개?? Light summer daily makeup | 소윤Soyoon,https://i.ytimg.com/vi/HqXLVWWzFGo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDzNvysSLv4_qCZkD8abJE_Nhsq3A,14만회,2주 전,http://www.youtube.com/watch?v=HqXLVWWzFGo,2020. 5. 21.,댓글 403개,3천개,138개,"
      31:43
    "
2,No파데??이게 된다고 !?! 트러블쟁이가 하는 쌩노파데 메이크업??feat.이니스프리 원브랜드 메이크업! +스킨케어 꿀템들? | 소윤Soyoon,https://i.ytimg.com/vi/1hK7dYtzfWY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDbrRqrVh7NSGoNs69Cpoj_pSQOEQ,10만회,2주 전,http://www.youtube.com/watch?v=1hK7dYtzfWY,2020. 5. 17.,댓글 221개,2.2천개,63개,"
      37:56
    "
3,"요청 엄~청 많았던?? 거지존 중단발 스타일링 방법 ?????♀?feat.악성곱슬, 머릿결 바사삭 | 소윤Soyoon",https://i.ytimg.com/vi/SDM9CSvvGIw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAF9TAAzmJA-I02euwGKW-8VI64yQ,16만회,3주 전,http://www.youtube.com/watch?v=SDM9CSvvGIw,2020. 5. 14.,댓글 269개,3.7천개,46개,"
      22:22
    "
4,eng) 청초한 물광 뿜뿜 메이크업??GRWM +인생 이야기 tmi.... (말 많음 주의??) | 소윤Soyoon,https://i.ytimg.com/vi/sREmQYg9_aY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAIVoaOdR1OtuPJyxzatQ1CefgTZw,18만회,1개월 전,http://www.youtube.com/watch?v=sREmQYg9_aY,2020. 5. 1.,댓글 271개,3.4천개,85개,"
      34:07
    "
5,남자칭구랑 1주년 VLOG?? 역대급 서프라이즈 이벤트 해줬다..???? (쓸없선/노래방/바베큐파티) l 소윤Soyoon,https://i.ytimg.com/vi/oyHvX7P3KXc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBxH_liqWmJx_3qa3HlKnnAcAqc-g,16만회,1개월 전,http://www.youtube.com/watch?v=oyHvX7P3KXc,2020. 4. 25.,댓글 210개,3.7천개,36개,"
      31:26
    "
6,eng) ??요즘 매일 하는 꾸안꾸st 핑크 메이크업?? Pink Makeup 소윤Soyoon,https://i.ytimg.com/vi/aRaFjWXhg-0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLArko6n2FSUBJmwv8Q-xa5Gywqq0Q,23만회,1개월 전,http://www.youtube.com/watch?v=aRaFjWXhg-0,2020. 4. 18.,댓글 360개,5.1천개,81개,"
      30:57
    "
7,여쿨의 인생 첫 금발 VLOG ?????♀???다시는 블랙으로 염색 안 할게요 쌤…?? | 소윤Soyoon,https://i.ytimg.com/vi/R0OtecEySFE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBoYIyWI8BFfs5v5ia95EBVZPa81A,49만회,2개월 전,http://www.youtube.com/watch?v=R0OtecEySFE,2020. 4. 4.,댓글 398개,5.8천개,123개,"
      21:39
    "
8,"무계획 호캉스 VLOG?????????????+집들이, 돼지파티??",https://i.ytimg.com/vi/ahAqUVZad6s/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAOuQ0PWHltMfItMXvkEj7U9toXHw,10만회,2개월 전,http://www.youtube.com/watch?v=ahAqUVZad6s,2020. 3. 25.,댓글 143개,1.9천개,31개,"
      16:08
    "
9,??집 밖은 위험해?? 밖순이의 집순이 체험기 +코로나 미워..ㅠ,https://i.ytimg.com/vi/_EzoOKJ2TgM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBhDsvNtHrBswVIhcqbLed9IahbBw,13만회,2개월 전,http://www.youtube.com/watch?v=_EzoOKJ2TgM,2020. 3. 19.,댓글 189개,2.4천개,37개,"
      23:08
    "
10,인생 첫 퍼스널컬러 진단 받고 왔어요???? feat.골격분석,https://i.ytimg.com/vi/RKzvYh5FC8o/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDqw010s701PjnJne9giZlP7bFunA,32만회,2개월 전,http://www.youtube.com/watch?v=RKzvYh5FC8o,2020. 3. 17.,댓글 454개,4.7천개,81개,"
      34:57
    "
11,?소윤쿠션 공구 공지?NO렌즈 레드립 메이크업???? | 소윤Soyoon,https://i.ytimg.com/vi/55r2sf_qcD0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDdRJIX1iLXplv_VRathfO9gAnGoQ,12만회,2개월 전,http://www.youtube.com/watch?v=55r2sf_qcD0,2020. 3. 14.,댓글 424개,2.5천개,52개,"
      30:20
    "
